-0:43	keg-on{けごん}	ぽんぺは大丈夫なのだろうか…
-0:41	缶こーひー	しおしおしてきた
-0:40	Westeria	金銀はhgssが2009年ですね…
-0:40	121mj	しおしおしてきた
-0:39	きなこ	お帰りなさい記念	￥500
-0:39	ハセマ・スネーク	しおしおしてきた
-0:39	いざよいさくや	ふざっ・・・ふざっ・・・
-0:38	a i	しお……しお……
-0:36	レッドウッドへいぽう	久しぶりに声をきかせてくれ…！
-0:35	国士無双	全裸待機（風呂上り）
-0:35	ダンデライオン	ポケダンってどんなゲームなんだろう？
-0:35	wanhoho ojisan	待機🌸
-0:34	妖精の灯り	GBAのリメイク懐かしいなぁ
-0:33	Orpheus1221	しおしお
-0:33	藍色	しおしおしてきた
-0:30	ウェイン	悪だくみオバヒ連結
-0:30	烈火雪月	しおしお
-0:29	E. garland	間に合った💤	￥500
-0:29	ゆんゆん	１５年前へのタイムリープ実況配信会場はここでいいでしょうか？
-0:28	夜月	ポケダンは割りと毎回設定ハードだよね
-0:23	ヒナた猫宮	しおしおきめてきた
-0:23	真珠	子供ながらに泣けたのは覚えてる
-0:21	どんぐり1986	そろそろか
-0:19	きなこ	しおしおしてきた
-0:18	ぶたどん	きちゃ
-0:18	雫凪	リメイクゲーなんだね？
-0:17	ちんもくバード	しおしおしてきた
-0:16	ユウケン	間に合った！
-0:16	木一	待機
-0:16	ori ori	しおしお
-0:10	趣スケベマン	こんばんは
-0:10	げるまにうむ。	ポケダン面白そう！
-0:10	ボルツ	しおしおしてきた
-0:09	LeirosSkyly[れいろす すかいりー]	こんばんはー
-0:09	チーズ美味しい	こんばんは
-0:08	いざよいさくや	湯冷めする前に服を着ろ定期
-0:08	すてら	ポケダンだー！	￥250
-0:07	やまP	しお...しお....
-0:06	さんあ	たのしみ
-0:05	こーちゃ	お見舞い🌸	￥1,140
-0:05	antidust	こんばんは
-0:05	a i	ポケモンは青が初めてやったソフトです……
-0:03	ずん	しおしおしてきた
-0:02	壊れるほど愛しても栞桜に3分の1も伝わらないべべっち	あああ！カードなくてスパチャ出来ん！！！
-0:01	レーマリカヒ	こんばんは〜
0:00	Astral Clover	しおしお
0:05	バルビン	こんばんはー🌸
0:05	ぐぅたら	こんばんはー🌸
0:06	_ rain_	こんばんは
0:06	山北	ポケダンはローグライクだね
0:11	みつき	久しぶりのリアタイ(*´ω｀*)
0:11	ReiJougasaki	しおしお・・・
0:11	ミキわっち	待機
0:12	Tak庵[柚子栞桜味]	こんばんは🌸
0:12	十三姫	こんばんはー
0:14	なーく	こんばんはー
0:14	わかめ	こんばんはー
0:14	Fumy H	しお…しお…
0:14	カリメロ		￥1,140
0:15	サカナ	ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!
0:16	あまなつみかん	しおしお...
0:16	いざよいさくや	こんばんは～
0:16	拡散の尖兵	こんばんは
0:16	ユーミン	こんばんは～
0:17	烈火雪月	こんばんは～
0:17	ちゃぼうず_cyabouzu	こんばんはー🌸
0:17	シャルム	こんばんはー
0:17	榎本榎本	こんばんはー
0:18	つぁいす	こんばんは
0:18	mezzoforte	こんばんは～🌸
0:18	wessan	こんばんは🌸
0:18	ザッハトルテ。	こんばんはー！
0:18	Akiteru Fjimoto	こんばんは
0:18	サカナ	こんばんはー🌸
0:19	さみゅ	こんばんはー
0:19	雨の宿り木	こんばんは🌸
0:19	ごはん	こんばんは
0:20	しょう	こんばんは〜
0:20	帰宅RTA	こんばんは🌸
0:20	うみとり	こんばんは
0:20	ねこいゆずりは	こんばんは
0:21	おかしろ	こんばんわ～🌸
0:21	うぇる	きちゃ
0:21	あい	こんばんはー！
0:22	夜月	ｷﾁｬｰ！！。！！！！
0:22	nao 77	こんばんは
0:22	a ha	こんばんは！
0:23	ね ゙え ゙え ゙	こんばんは～～
0:23	芝村	こんばんは～！
0:23	グリヴェン	こんばんはー！しおしおー！
0:23	パイライトテディ	こんばんは～
0:23	西都なつ	来たか
0:24	ケケ	こんばんはー！
0:24	ヒナた猫宮	しおしおキメテきた
0:24	ピンヒロ	さとう…さとう…
0:24	りんほん	こんばんはー🌸
0:24	ネムレス	こんばんは～
0:24	あるて	こんばんは〜
0:24	ぶたどん	きちゃちゃの茶
0:24	black AYANE	こんばんわー
0:25	順平	こんばんは🌸
0:25	moti ancoro	しおニウム不足で来ました。こん！ばん！わ
0:25	rapid eye rabbit	こんばんは🌸
0:25	レイザーRR	こんばんは～
0:25	てれぽん	こんばんは～
0:26	クリスティン.	体調大丈夫かー！！！！
