-0:57	焼きそば	ママ引けたので対戦よろしくお願いします
-0:54	タニシ	待機
-0:53	Fumy H	ガチャ祈願	￥200
-0:51	カラスは可愛いのですよ?	しおしおっ！
-0:47	nannなん	一発で来て「…麻雀するか…」って展開希望
-0:43	きなこ	しおしおしてきた！
-0:43	Midgardミッドガルド	待機
-0:43	天城久秀	ママください
-0:43	のりしお	大気
-0:42	フォウマルハウト	人妻パッツモは解釈違い
-0:42	彗星夜	しお…しお…
-0:42	ミタケモカ	沼らないように。	￥200
-0:40	ゆういち	ざわ……ざわ……
-0:36	すしゅ	しおしお
-0:35	LOG	ガチャ配信ツイートを公式にRTされるVtuber…
-0:35	紫ユウキ	しおしおしてきた!
-0:35	銀河美少年	しおしお(∩ˊ꒳ˋ∩)‎
-0:34	ムラ	しおしお♡(∩ˊ꒳​ˋ∩)♡
-0:34	あまなつみかん	ママのガチャ代	￥1,140
-0:34	ちゃぼうず_cyabouzu	32歳主婦を買うはマズいですよ！
-0:33	とき	待機
-0:30	なーく	なんだかんだですぐ引きそうｗ
-0:30	あやややや		￥500
-0:28	キングペンギン	300万円以内に出ますように
-0:27	キャベツ	しお
-0:27	あきら	しおしお
-0:26	ぶたどん	きちゃ
-0:26	暇を持て余す美津濃	配信中一緒にガチャ引けるように課金してきた、待機
-0:25	テーク	しおしお…
-0:24	Nights -O	しおしおっ
-0:23	Fumy H	しおしおしてきた
-0:23	いんすりん	なんとなく一発で引く気がする
-0:22	死に鯖	なったー
-0:21	壊れるほど愛してたんだけど栞桜に10分の1も伝わらなかったべべっち	​(∩ˊ꒳​ˋ∩)
-0:19	ふらう	前の配信で雀魂disってたしこれは沼りそう
-0:19	ゆういち	21:00
-0:18	unkonownなり	しおしお
-0:18	よさく	しおしお！！♡(∩ˊ꒳​ˋ∩)♡
-0:17	ザッハトルテ。	しおしお
-0:17	みねまる	高くつくかな
-0:11	真っ黒フウ	しおしおっ！
-0:10	しれいかん	間に合った！
-0:08	明智光秀	楽しみでござる	￥200
-0:05	ガンドゥム/無気力ch	金を払えば主婦が買えるだって・・・！？
-0:05	桜もち	ガチャ運祈願	￥200
-0:05	きゅーかんばー	しおしお
-0:04	ゆういち	しおっ……しおっ……
-0:03	太刀川智樹	しおしお
-0:02	ごりらごりら	わこつー
-0:02	ププリンΩ	しお…しお…
0:02	ふくろーる	しおしお～
0:03	趣スケベマン	こんばんは
0:04	おいもちん	しおしお
0:04	Aria Yuna	待機
0:08	すりみん	悲しきガチャマシーン...
0:09	ゆういち	お
0:12	uni	しおしおしてきた
0:12	あきら	こんばんはー
0:13	くろう	こんばんは🌸
0:13	シガラミィ	しおしお...
0:14	グリヴェン	こんばんはー！しおしおー！
0:16	marianne van tienen	きちゃあああああああああ
0:16	彗星夜	こんばんはー🌸
0:17	ななみさん	こんばんは🌸
0:17	氷水	・・・けっ！すり抜けっ！！
0:17	雨の宿り木	こんばんは🌸
0:18	rapid eye rabbit	こんばんは🌸
0:19	あい	こんばんはー！
0:19	Evac 1899	こんばんは🌸
0:19	真っ黒フウ	こんばんは！
0:19	不思議の国の人形	こんばんは​🌸
0:20	Flanve F	キター
0:20	らにふ	こんばんは🌸
0:20	Jippa	こんばんわ
0:21	順平	こんばんは🌸
0:21	Nights -O	こんばんは〜
0:21	ププリンΩ	ｋｔｋｒ
0:21	kai	こんばんはー
0:21	ゆういち	こんばんは🌸
0:21	みのる	こんばんはー
0:22	レッドウッドへいぽう	ｷﾀ――(ﾟ∀ﾟ)――!!
0:22	パイライトテディ	こんばんは～
0:22	おかしろ	こんばんわ～🌸
0:22	サナ	こんばんは
0:22	みずき	当然男女どっちも引くんだよね！
0:22	マルコポーロ	こばわ～
0:23	とろTak庵	こんばんは🌸
0:23	らいむ	こんばんはー
0:24	ぐぅたら	こんばんはー🌸
0:24	Kiichang	こんばんしおちゃん！
0:24	omi	こんばんはー🌸
0:24	Westeria	こんばんはー
0:24	あきら	きたらあ
0:25	kuromen	こんばんは
0:25	わかめ	こんばんはー！
0:25	ヤマヤス	こんばんは🌸
0:26	杏	こんばんわ！🌸
0:26	まこだいあ	こんばんはー🌸
0:26	おは	こんばんは
0:26	Josh	こんばんはー
0:26	gk _y	こんばんは
0:26	あまなつみかん	こんばんはー
0:26	ザッハトルテ。	こんばんはー🌸
0:26	むあ。	ばんわー
0:26	Fumy H	こんばんはー🌸
0:26	Akiteru Fjimoto	こんばんは🌸
0:27	桜葉漬け	こんばんはー🌸
0:27	Red eyes	こんばんは～
0:27	くろしば	こんばんはー🌸
0:27	ムームー	こんばんはー！
0:27	まふぃー	こんばんは
0:28	トリフネ	こんばんは🌸
0:28	みずき	こんばんはー
0:28	のいん	こんばんは
0:28	おっ	こんばんわー🌸
0:29	Cloelia	こんばんはー🌸
0:29	カマキリ星人	こんばんは🌸
0:29	No Name	こんばんは〜
0:29	ちゃんちゃんしおしお	こんばんはー🌸
0:29	ark0125	こんばんは
0:30	日神巫言	こんばんわ🌸
0:30	しあわせターン	こんばんは～🌸
0:30	トゥートゥー	こんばんは～
0:30	ヨタ	こんばんはー
0:30	氷水	こんばんは～🌸
0:31	マイケル	こんばんはー
0:31	レッドウッドへいぽう	ガチャきちゃ
0:31	うみとり	こんばんは
0:31	Alex Ross	こんばんわー！
0:31	〆作	こんばんはー
0:31	銀河美少年	こんばんは🌸
0:32	*あいと*	こんばんは
0:32	とんとんせっとん	こんばんはー！
0:32	ふぉのん	こんばんは🌸
0:33	めたるチクワ	こんばんはー
0:33	sa	こんばんは🌸
0:33	やあけ	こんばんわ
0:34	mo's!	こんばんはー🌸
0:34	グラコロ	こんばんわ
0:34	LOG	こんばんは
0:35	ノカゼ	こんばんはー
0:35	hasuneみのOG	こんばんは～🌸
0:35	清水めだか	こんばんは
0:35	国士無双	こんばんは～
0:36	飲む牛乳	こんばんはー
0:36	si n	こんばんは～
0:37	よさく	こんばんは！🌸
0:37	拡散の尖兵	こんばんは
0:37	彩りの民	こんばんは～🌸
0:37	いんすりん	こんばんわ～🌸
0:37	はりはり	こんばんはー
0:38	芋下きぬ	こんばんわー
0:38	mezzoforte	こんばんは～
0:38	sルーク	こんばんは～
0:39	akki	こんばんはー
0:39	西都なつ	こんばんはー
0:39	さみゅ	こんばんは〜
0:39	くろらびP【okamotoon】	こんばんはー
0:39	かげちよ	こんばんはー🌸
