-0:49	日神巫言	リアルゴールド凄い定着してるなｗ
-0:47	rapid eye rabbit	ぶじに始められるかな
-0:47	さみゅ	久々の
-0:46	sakura mituki	しおしおしてきた
-0:42	嘘800	ｼｬｶｼｬｶｼｬｶｼｬｶ…
-0:42	いいさん	待機🌸
-0:41	Nights -O	YouTube復活おめでとう	￥500
-0:41	ナゴツク	YouTube復活してよかったね	￥500
-0:41	しあわせターン	可愛い顔して限界文章で草
-0:40	Orpheus1221	しお...しお...
-0:39	ReiJougasaki	しお…しお…
-0:38	桜田マッコイ	しおビーム
-0:33	maguna	復活記念	￥12,000
-0:33	Akiteru Fjimoto	栞桜ちゃんこんばんは
-0:32	指定暴カ団竹書某	栞桜栞桜
-0:31	LOG	ちゃんと始まりますように
-0:30	清水めだか	待機
-0:29	Yasu	待機
-0:28	Orange BeeBee	待機🌸 ハゲ！？
-0:27	桜もち		￥200
-0:26	いざよいさくや	さて開始できるか？
-0:25	やまP	いけるか？
-0:25	やまぶどう	リアルゴールドの人えらい広まったよねぇ
-0:24	蓮	今日も楽しんでいこう	￥1,000
-0:23	Evac 1899	しおしお～
-0:22	mezzoforte	YouTube	￥610
-0:22	飲む牛乳	間に合った、怪文書助かる
-0:18	アイラ	待機🌸
-0:18	ハセマ・スネーク	しお…しお…
-0:17	やっさん	いけるかー？
-0:17	help	待機
-0:16	Alex Ross	床になる準備しなきゃ…
-0:15	空ミミコ	全裸待機
-0:15	消しゴム	高評価
-0:14	飛鳥	待機🌸
-0:13	リセット	YouTube	￥2,440
-0:11	こもちーず	待機
-0:08	キムラキムラ	しおしおしてきた
-0:08	のしろん	待機
-0:08	Nights -O	サムネの限界コメ草
-0:07	しおかの推し床フロンターレ	さあこいー！
-0:07	りんほん	開始押した？
-0:03	コタケリョウ	待機
-0:01	レッドウッドへいぽう	開始の仕様変わってるらしいが果たして
-0:01	うずら	しお
-0:01	Midgardミッドガルド	youtube不具合解除おめでとう！	￥500
-0:01	namae tadasii	ガチャの時間か？
0:00	Amelia	髪の話題は控えていただいて…
0:00	めたるチクワ	待機
0:06	トリウナギ	鼻は平気だろうか
0:08	フォウマルハウト	来るか？来ないか？来ないな、来ないね、やめるか？ｗ
0:10	Orpheus1221	youtube頑張れ
0:12	オロチ	待機
0:12	ポリィイイイ	間に合ったー
0:14	杉田光	待機
0:16	やまP	頼むー
0:17	南国おあしす	待機
0:18	セラフィーウェア	きた
0:18	ふぉのん	こんばんは🌸
0:18	あやややや	こんばんは
0:19	あい	こんばんはー！
0:19	あきら	こんばんはー
0:19	キャベツ	きたー
0:20	ぶたどん	きちゃ
0:20	芝村	こんばんは～！
0:21	logos2501	しおしお…しおしお…
0:21	あのにます	きちゃ
0:21	Jippa	お
0:21	くろう	こんばんは🌸
0:21	しおかの推し床フロンターレ	きたー！
0:21	カラスは可愛いのですよ?	お？
0:21	帰宅RTA	きたわね！
0:22	184	きちゃあああああああああ
0:22	Jジェイ	きたー！！！
0:22	結城	しお
0:22	Amelia	きったあああああああ
0:22	ミツキ	こんばんは
0:22	日陽	しお……しお……
0:22	空ミミコ	きた
0:22	じゃがまきぃ	こんにちはー🌸
0:22	ちゃぼうず_cyabouzu	お！はじまった！
0:22	豆腐DMT	お
0:22	FJK エンタメ	こんばんはー
0:23	ぽーとぴあ	おー
