-2:10	きなこ	チャンネル登録者数7万人突破おめでとうございます🎉	￥1,140
-2:03	ヨタ	7万人おめでとうございます！	￥500
-2:02	ショウマ		￥610
-1:56	紫ユウキ	しおしおしてきた!
-1:49	みやまちかげ	七萬おめでとう！	￥700
-1:44	ちんもくバード	しおしおしてきた
-1:41	カンザキシン	しおしおしおしおしおしお
-1:32	kai	配信３分前に帰宅する幸せ
-1:23	茉名.まな.	しお…しお…
-1:22	Orpheus1221	しおしおしてきた
-1:15	si n	しおしおっ
-1:12	しまご	しおしおしてきた
-1:11	鶏だしクリーミィ	栞桜ちゃん、7万人おめでとうございます！🎉	￥1,140
-1:08	レモン	しおしおしてきた
-1:07	ザッハトルテ。	しおしおしてきた
-1:06	テーク	しおしお
-1:06	rapid eye rabbit	しおしおしてきた
-1:05	りんほん	🌸	￥200
-1:04	みーや	しお…しお…
-1:03	ShingoMk-Ⅱ	しおしおしてきた
-1:02	やまP	しお...しお...
-0:57	シオ	7萬人おめでとうございます！	￥500
-0:56	司-つかさ-	しおしおしてきた
-0:51	ネコおやじ	しおしお
-0:51	太陽の塔	七萬人突破おめでとう！	￥777
-0:48	つぁいす	7万人おめでっちゅ	￥1,140
-0:36	あまなつみかん	７万人おめでとう🌸	￥4,040
-0:33	MOTHERSHIP	七萬人おめでとー！	￥1,140
-0:33	21	7万人おめでとう！
-0:32	アリス	しお…しお…
-0:31	F K	もう7万…早すぎる…	￥700
-0:31	かいくん	間に合ったー
-0:28	集合知床ありす	7万人突破おめでとう！！	￥1,000
-0:28	いざよいさくや	こんばんは
-0:18	shimo 636	間に合った
-0:17	D.Y	七萬人おめでとう！	￥4,040
-0:16	桜もち	祝7万人	￥200
-0:13	si n	7萬人おめでとうございます～
-0:13	ぶたどん	きちゃ
-0:08	りんご田べる	待機
-0:07	keg-on{けごん}	しおしおしてきた
-0:06	pandoゴネーシャ	しお
-0:05	wanhoho ojisan	🐶こんばんわ～🌸
-0:05	ピコット	テレワーク始まった結果配信には間に合うようになるという
-0:04	ひこたろ	7万人おめでとー	￥1,000
-0:03	出雲	7萬人突破おめでとー！
-0:02	メイダイン	7万人おめでとー	￥200
-0:01	ユズ	7万人おめでとう！！
0:00	ぽーとぴあ	㊗	￥700
0:00	ほわちゃん	待機
0:04	Cloelia	7万人おめでとー！	￥500
0:06	KoMaさん	こんばんは(ﾟ▽ﾟ)/
0:06	ほむほむちゃん	七万個の床おめでとう	￥500
0:10	Z旗・ぜっとき	七萬人突破おめでとう！！！	￥1,140
0:11	えびび大福	🌸	￥200
0:11	鹿児のもち	7万人おめでとうございます	￥4,000
0:11	Ta eGa	七萬人突破おめでとー！	￥700
0:13	パイライトテディ	こんばんは～ 7万人おめでとうございます！
0:14	ぶたどん	きちゃちゃの茶
0:15	レッドウッドへいぽう	ｷﾀ――(ﾟ∀ﾟ)――!!
0:15	西都なつ	来たか
0:20	rapid eye rabbit	こんばんは🌸
0:20	cou	こんばんはー！
0:20	ワ・カ・メ	こんばんはー！
0:20	やまP	こんばんはーー🌸
0:22	ろくじょう	こんばんは🌸
0:22	山本たろう	登録者数7万人、おめでとうございます🎉	￥7,000
0:22	とろTak庵	こんばんは🌸
