-1:53	corg	たのしみー！ 心バッキバキにしていけ
-1:47	キョン	待機
-1:47	聖徳明太子	これ郡道先生がわもあるのかな？
-1:46	沢柳水面	塩分濃度高まってきた
-1:35	焼きそば	待機
-1:32	焼きそば	しおしおしてきた
-1:23	花吹雪	待機
-1:22	真珠	待機！🌸
-1:22	あきら	待機
-1:18	ふむふむ	待機🌸
-1:16	LOG	二窓待機
-1:16	ビヤラパラ	待機
-1:15	N H	最近麻雀配信多くて助かる
-1:11	Kiichang	しおしお…(ヽ´ω`)
-1:09	むあーん。	さっきぶりの待機🌸
-1:09	あいさかゆう	待機
-1:07	Westeria	配信タイトル的に先生は教わる気らしいけど肝心のしおちゃんは心折る気満々という
-1:06	いざよいさくや	次回、群道死す！
-1:04	流世	しおしお
-1:03	Orpheus1221	しおしおしてきた
-1:02	南四暗緊急事態	今日は秋刀魚か
-0:57	レモン	待機！🌸
-0:57	ほわちゃん	待機🌸
-0:54	G-RF	字牌待ちチートイツで分からせるのかな？
-0:51	ましまろ	こんばんは、リーチ
-0:49	なむ	サンマってチーできないんだ…
-0:49	十三姫	郡道さんのチャンネルもありますよ
-0:49	すしゅ	しお…しお…
-0:46	rapid eye rabbit	待機🌸
-0:46	ホキウリ	今日も全裸なんかな
-0:46	芋下きぬ	醤油ください	￥610
-0:45	うずら	待機
-0:42	yamappii	今日も楽しみだ
-0:40	太陽の塔	突発コラボのみの絡みか。
-0:39	ニシムランナー		￥1,000
-0:38	帰宅RTA	待機🌸
-0:37	やまP	しお....しお.....
-0:33	おは	まぁ敗北から学ぶことの方が多いから
-0:27	きなこ	待機🌸
-0:27	れめれめ	全裸の先生
-0:25	なーく	逆手にとってそのまま折る配信と聞いて
-0:25	調律	三色はないぞ、いいな？
-0:22	G-RF	最初から全裸なら脱衣麻雀成立しないな！
-0:19	充希	先生、19字牌しか残せない身体に...
-0:16	Makotola	最近暑いから…
-0:12	錆太刀	悲しき麻雀マシーン起動
-0:11	茉名.まな.	待機🌸
-0:08	ふむふむ	栞桜ちゃん心折りにいく気なのかな？
-0:05	月刊アフロ	三色はどこ？・・・ここ？
-0:03	ヒロノP'	麻雀勉強しにきました!
0:06	Fumy H	しおしお
0:07	花吹雪	1・9での三色同刻を見に来ました
0:10	Nacky	1
0:11	なーく	三色あるな
0:14	らにふ	こんばんは🌸
0:15	K Tony	師弟対決になるのかな？
0:16	gaty fs	サンマだと19字牌の割合増えてるのにw
0:16	Makotola	こんばんは🌸
0:17	あぎだどら	今日は何おじさんが来るのか
0:17	やまぶどう	同刻なら行けるぞ
0:18	とろTak庵	こんばんは🌸
0:18	O B	待機
0:19	Orpheus1221	きちゃああああ
0:20	パイライトテディ	こんばんはー！！
0:20	Flanve F	キター
0:21	ろき	ぬるっと始まった
0:21	グリヴェン	こんばんはー！しおしおー！
0:21	G-RF	0枚切れ字牌とか怖くて切れなくなるとマジで上がり目なくす
0:21	gaty fs	こんばんは🌸
0:21	芋下きぬ	はじまってた
0:22	なーく	始まった。もう話してるｗ
0:23	やまP	こんばんはー🌸
0:23	Nights -O	！？
0:23	とき	きちゃあああ
0:24	白くま	こんばんわー！
0:24	此処葉	こんばんはー
0:24	ふぉのん	こんばんはー🌸
0:24	白桃	三色難民おるな
0:24	順平	こんばんは🌸
0:24	ruska		HK$25.25
0:24	飛鳥	こんばんはー🌸
0:24	サニブ	こんばんはー
0:24	Fumy H	こんばんはー🌸
0:25	ムームー	こんばんはー！
0:25	nao 77	こんばんは
0:25	なひいす	きたあ
0:25	Astral Clover	こんばんは〜
0:25	ふぁりゅ	草
0:25	レプタイル	こんばんはー
0:25	ろっきー	こんにちはー
0:25	Nagatuki P	こんばんは🌸
0:25	雨の宿り木	こんばんは🌸
0:26	ローズマリー	こんばんは🌸
0:26	どんぐり1986	こんばんは🌸
0:26	Maha raja	きた～
0:26	sora neko	突然始まったｗ
0:26	Red eyes	こんばんは～♪
0:26	ビヤラパラ	ごきげんよう
0:27	バルビン	こんばんは
0:27	あのんまのんver.II	こんばんはー🌸
0:27	もるぽん	ごきげんよう～
0:27	shigure tokiame	こんばんは～
0:28	エビ天	こんばんはー🌸
0:28	21	こんばんは🌸
