-2:31	かぷ	先着順なのか
-2:30	Takebon[たけぼん]	待機
-2:30	ns zn	小悪魔コンサルタント
-2:26	氷水:ひすい	牛は出荷よー
-2:23	みーた	トラック何台いるかね
-2:22	アイリス	牛タンは栞桜に限る
-2:12	雨宮恵	牛…塩…お腹すいた
-2:08	神谷ししゃもシステム	待機
-2:04	HAR	うしさんプロがラスを取ること＝出荷
-2:01	ns zn	牛追い祭りが始まる
-1:58	バルビン	この配信来てから夕飯食べてないの思い出したわｗ
-1:54	あのにます	タン塩！？
-1:48	山北	栞桜カルビ待機
-1:47	蓮dr	待機ー
-1:43	かぐら	まぁ牛さんお昼に出荷されたからもう大丈夫なはず
-1:40	やまP	そうなんだｗ教えてくれてありがとう
-1:35	焼きそば	＃牛タン塩
-1:33	あやややや	待機が登録者数越えてる…
-1:31	ともきち	さくら塩なんていうオサレな塩って無かったっけ？
-1:30	みーた	テスト放送で出荷牛とは
-1:26	サナ	しおたん待機
-1:25	アリス・バレンタイン	待機
-1:25	榊道昭	うし…しお……潮……
-1:20	ns zn	登録してあげてｗ
-1:14	ザッハトルテ。	待機
-1:13	アリス・バレンタイン	しお
-1:10	トリウナギ	焼肉楽しみ
-1:06	いいさん	牛塩待機～
-1:03	飲む牛乳	夕飯食べてるのに腹減ってくる……
-1:03	si n	待機
-1:02	りんご田べる	待機
-0:54	Orpheus1221	しお.....しお.......
-0:49	LOG	出荷されて潰される配信者と聞いて
-0:43	あのにます	ん
-0:43	ともきち	肉肉してきたな
-0:35	不思議の国の人形	塩焼き待機
-0:35	ns zn	くるぞおおおおおおおお
-0:32	Akiteru Fjimoto	待機
-0:31	缶こーひー	出荷とは...
-0:31	Jジェイ	きますね...
-0:27	カンザキシン	そーい
-0:22	ゆう	しお
-0:16	ともきち	肉肉塩塩してきた
-0:08	グレブナーb	しお…しお…
-0:07	はえよい	しゅっか…しゅっか…
-0:05	ぶたどん	きちゃ
-0:03	やまP	しお...しお....
-0:03	十三姫	そろそろかな
-0:01	みーた	ざわ
0:00	神無月健二	塩塩してきた
0:05	田中雄一郎	パペットマペット
0:06	レッドウッドへいぽう	塩牛タン食いたいな
0:07	みのる	美味しそうな組み合わせだ
0:09	ns zn	牛カツ塩で
0:09	芝村	こんばんは～！
0:10	まゆたろす	わーい
0:11	グリヴェン	牛さんこんばんは！前原プロ来るかな？ｗ
0:16	かえるライダー	こんばんは～
