-2:18	まっちゃ	間に合った…
-2:10	bito mati	しお…しお…
-2:06	はむさんどたべろ	後少し
-2:02	ふげん	待機🌸	￥500
-2:01	ちゃぼうず_cyabouzu	寝ずにやってそう
-1:57	ぐぅたら	2日目楽しみ♡(∩ˊ꒳​ˋ∩)♡	￥500
-1:49	朱猫	あつ森しながらしおしお待機
-1:48	黒乃メロ	そうだ焼き肉だ…
-1:44	ななみさん	待機
-1:34	なーく	しおしおしてきた
-1:29	Orpheus1221	新しい家楽しみだな
-1:28	桜夏	待機！
-1:23	ori ori	しおしお
-1:22	A	離島に飯屋はあるのか
-1:22	Nights -O	しおしおしてきた
-1:18	カンザキシン	しおしおしおしおしおしお
-1:16	セラフィーウェア	待機🌸途中で抜けるかもなので前置き	￥200
-1:13	ばたぁ	待機、しおしお
-1:11	げるまにうむ。	待機
-1:09	グレブナー繧ー繝ャ繝悶リ繝シ	しおしお…
-1:04	ピンヒロ	塩分補給
-1:03	ぶたどん	きちゃ
-1:03	si n	しおしおっ
-0:59	もるぽん	しおしお
-0:57	トゥートゥー	しおしおしてきた
-0:56	嘘800	なければ作ればいいだろ！(TOKIO)
-0:56	ことこと		￥500
-0:52	ずん	しおしおしてきた
-0:51	rapid eye rabbit	しおしおしてきた
-0:44	YaMa		￥500
-0:39	ぶたどん	きちゃちゃの茶
-0:34	おおくそん	しおしお
-0:30	shimo 636	しおしお
-0:29	芋下きぬ	しおしおー
-0:28	ruska	しお…しお…
-0:26	Evac 1899	しおしお～
-0:22	趣スケベマン	こんばんは
-0:20	FJK エンタメ	塩昆布茶飲みたい
-0:20	ういろうおにぎり	しおしおしてきた
-0:19	ろき	塩…栞桜…
-0:19	Orpheus1221	しおしおしてきた
-0:14	Jジェイ	2日目はどうなるでしょうか...
-0:12	元気だしてこ	それウィンクとちゃう	￥500
-0:12	ɥʇɹıᙠ	間に合った
-0:09	wildcat5314	待機🌸
-0:08	颯斗	しおしおしてきた
-0:01	なーく	二日目楽しみだー
0:00	ladioss	間に合った、待機
0:00	FJK エンタメ	☆（ゝω・）vｷｬﾋﾟ
0:11	しあわせターン	待機🌸
0:16	ぐぅたら	こんにちはー🌸
0:16	月十字	こんにちは〜！
0:16	西都なつ	来たか
0:17	Flanve F	キター
0:18	サカナ	ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!
0:18	しゃんぷー狐	しおしおしてきた！
0:19	レイザーRR	こんばんは～
0:19	パイライトテディ	こんにちはー
0:20	エビ天	こんばんはー
0:21	暁宵	こんにちは～
0:21	グレブナー繧ー繝ャ繝悶リ繝シ	こんにちはー
0:21	メディ	こんにちわ！
0:21	ヨタ	こんにちはー
0:22	カンザキシン	梅シート娘はよ
0:22	りんほん	こんにちはー🌸
0:22	ムラ	しおしおっ♡(∩ˊ꒳​ˋ∩)♡
0:23	ういろうおにぎり	きたあああああああ
0:24	ヨウ	こんにちはー
0:24	Josh	こんにちはー🌸
0:24	ひこたろ	こんにちわ🌸
0:25	メディカタカタさん北桜神話	こんにちはー
0:25	ノカゼ	こんにちはー
0:25	うみとり	こんにちは
0:25	なーく	こんちゃー
0:25	21	こんにちは🌸
0:25	rapid eye rabbit	こんにちはー🌸
0:25	かえるライダー	こんちは～🌸
0:26	サカナ	こんにちはー🌸
0:26	清水めだか	こんにちは🌸
0:26	とな関	こんにちはー🌸
0:26	不思議の国の人形	こんにちは​🌸
0:26	真っ黒フウ	こんばんは！
0:27	wessan	こんにちは🌸
0:27	ミド	こんにちは	￥200
0:27	はてら	こんばんはー
0:27	みのる	こんにちはー
0:30	Z旗・ぜっとき	こんにちは🌸
0:30	帰宅RTA	こんばんはー
0:30	ruska	こんにちはー🌸
0:31	まっちゃ	こんにちは🌸
0:31	FJK エンタメ	こんにちはー
0:31	芝村	こんばんは～！
0:32	レプタイル	こんにちはー
0:32	Orpheus1221	こんにちはー
0:32	限界	こんにちはー
0:32	ark0125	こんにちは
0:33	a i	待ってたぜ！！
0:34	雨の宿り木	こんにちはー🌸
0:34	ミツキ	こんにちは🌸
0:34	ばたぁ	こんばんは🌸
0:34	明日カン八郎	こんにちは🌸
0:35	真珠	こんにちは～！🌸
0:35	サナ	こんにちは
0:35	gk _y	こんにちはー
0:35	猫神楽	こんばんは🌸
0:35	めざ炎	こんにちはー🌸
0:35	カンザキシン	いい音や
0:35	popongo	こんばんは～🌸
0:36	ななみさん	こんにちはー！
0:36	鏨re:oo96	こんにちはー
0:36	ヨシムネ	こんにちはー
0:37	彗星夜	こんにちはー🌸
0:38	のぎす	こんにちはー
0:38	MON JA	こんにちわー
0:38	まこだいあ	こんにちはー
0:38	mezzoforte	こんにちは～🌸
0:38	鷹綾	こんにちは
0:39	K Tony	ひさびさにライブ
0:39	yamappii	こんにちはー
0:39	Fairy Snow	こんにちはー🌸
0:40	ShingoMk-Ⅱ	こんにちは🌸
0:40	しまご	こんにちは
0:40	やまP	こんにちはー🌸
0:40	クーニャ	こんにちはー🌸
0:40	Nights -O	こんちはー
0:40	ちゃぼうず_cyabouzu	こんにちはー🌸
0:41	しょみん	こんにちはー
0:41	ザッハトルテ。	しおしお	￥200
0:41	ワ・カ・メ	こんにちはー！
0:42	雨宮恵	こんにちは🌸
0:42	シャルム	こんばんはー
0:43	moti ancoro	顔面ボコボコでくさ
0:43	たい焼き袋詰	こんにちは
0:44	ろくじょう	こんにちはー🌸
0:44	トゥートゥー	こんにちは～
0:44	U- G	こんにちはー
0:44	ずん	こんばんは🌸
0:44	おおくそん	こんにちは
0:44	tias estel	こんにちは🌸
0:44	Toccsch	こんにちは
0:45	光-ひかり-	こんにちは～
0:46	わかめ	こんにちは～
0:46	さみゅ	こんにちは
0:46	___うちゅ	こんにちはー
0:46	ゴリラのきゃんの	こんにちは🌸
0:47	としn	こんにちは
0:47	伊吹疾風	こんにちはー
0:48	si n	こんにちは～
0:48	ミルクティー.	こんにちは
0:48	キュピM	こんにちはー
0:49	Levithtuttgart	こんにちは🌸
0:50	むえ	こんにちは
0:50	こーちゃ	こんにちわー🌸
0:51	ひら野アマノ	こんにちは～
0:51	カゲン	こん
0:51	ろっきー	こんにちは🌸
0:51	拡散の尖兵	こんにちは
0:51	朝永空	こんにちはー🌸
0:53	ori ori	こんにちは
0:54	mother ship	こんにちはー🌸
0:54	たけどーら	こんにちは
0:55	やまP	こんにちはーー🌸🌸
0:56	ことこと	こんにちは🌸
0:56	えりんぎ	こんにちは～
0:56	Shi A	こんにちはー
0:58	ムームー	こんにちはー！
0:58	ナオ	こんにちはー
0:58	pv order	こんにちは🌸
0:58	くろう	こんにちは🌸
0:59	しあわせターン	こんにちは🌸
0:59	マキジグスぉー	今来たおはよう
1:00	Gyamo丸	こんにちは🌸
1:00	LeirosSkyly[れいろす すかいりー]	こんにちはー🌸
1:00	クタビレズク	こんばんは〜
1:01	いいさん	こんにちは～
1:01	山本たろう	こんにちは❗
1:02	カンザキシン	こんちゃー
1:02	Flanve F	こんにちは～
1:02	Evac 1899	こんにちは！🌸
1:02	121mj	こんにちは🌸
1:02	図書館動かない	こんにちは
1:03	KA A	こんにちはー
1:03	shimo 636	こんばんは。このサムネよｗ
1:04	首都ブラジリア	こんにちは
1:04	ロザエ	こんにちは～
1:04	ぷいみみ	こんにちはー
1:04	ダンデライオン	こんにちは〜
1:05	ka si	こんにちわ
1:05	北傘	こんにちはー
1:05	鶏だしクリーミィ	こんにちはー
1:05	小林	こんにちは
1:05	西都なつ	発展してるｗｗ
1:05	Mero D	こんちわ
1:05	shigure tokiame	こんにちは～
1:07	にいやまざくろ	こんにちはー！
1:07	せしのれ	こんにちは～	￥1,000
1:07	ayt sin	こんにちは
1:08	Lucky Shot	こんにちは
1:08	ぎん	こんにちは🌸
1:08	ぶるーD	こんにちは
1:08	シロ組ありす桜花	こんにちは～
1:08	Nights -O	こんにちわ！
1:09	ぶたどん	髪型変わっとる！
1:09	ぎんいろ	こんにちはー
1:09	ɥʇɹıᙠ	こんにちはー
1:09	FJK エンタメ	髪型そっくり
1:09	陽炎	こんにちはー
1:10	リベア	こんにちはー
1:10	クーニャ	こんにちはー
1:10	HAYASHI TTT	こんにちは🌸
1:10	a i	待ってた！
1:10	ムラ	こんにちわー🌸
1:11	ふらう	こんにちはー！
1:11	やあけ	こんにちわ
1:11	BlueMonday	こんにちは
1:11	Red eyes	こんにちはー
1:11	ゆう	こんにちは～
1:12	maruga	konnnitiha-^
1:12	おおくそん	マイホーム！！
1:12	みんきー。	こんにちは🌸
1:12	うみとり	家たってるーーー
1:13	taka32 S	こんにちは🌸
1:13	セミの抜け殻	こんにちは～
1:13	みやまちかげ	こんにちはー
1:13	21	家だ
1:14	T.T.F.	こんにちはー
1:15	楠木CO	こんにちは
1:15	かぐら	あれ家になってる
1:15	ザッハトルテ。	こんにちは！
1:15	はりはり	こんにちはー
1:16	カンザキシン	ちはー
1:16	彗星夜	こんにちはー
1:16	しおかの推し床フロンターレ	こんにちは！
1:16	レッドウッドへいぽう		￥100
1:16	ナゴツク	こんにちは🌸
1:16	順平	こんにちは
1:17	ふでぺん	こんにちは～
1:17	ひっきー	こんばんはー
1:17	霧雨	こんにちはー
1:17	御傘哀歌-みかさ	こんにちはー
1:18	白音とと	こんにちは
1:19	宮本フレデリカ	こんにちは！
1:19	shimo 636	おさげだ
1:19	みのる	家できとる！
1:19	柏君	こんにちは
1:20	トラ	こんにちは
1:20	カマボコ	こんにちはー
1:20	マイケル	こんにちはー
1:21	ももんもん	こんばんわ？こんにちわ？
1:21	桜花		￥4,040
1:21	クアッカワラビー	こんにちはー
1:22	ねみみん	こんにちわ～!
1:22	しょう	こんにちはー
1:22	Ryu Windy	家が建ってるｗ
1:22	コタケリョウ	こんにちわ
1:22	鶏だしクリーミィ	三つ編みになってる
1:23	Jジェイ	いい光景だ...
1:24	はむさんどたべろ	こにゃにゃちわ～
1:24	西都なつ	いよっ！
1:25	サナ	おー、マイホームできてる
1:25	妖精の灯り	めっちゃ変わってるww
1:25	ろき	おいでよ九蓮宝島	￥500
1:25	しおとまかのん大好き丸	こんにちは!
1:25	まにく	こんにちはー
1:26	元気だしてこ	家建ってるｗｗ
1:26	やまぶどう	こんにちはー
1:26	こけみね	こんにちはー
1:26	あらいぐま豆腐	家かわいい！
1:26	四号	こんにちは！
1:27	雨宮恵	どうなったか楽しみ
1:28	司令_つかされい	だいぶ発展したな
1:29	山本たろう	イェーイ❗
1:29	8192 ryu	こんにちわ🌸
1:29	とき	髪型が
1:29	めたるチクワ	こんちにわー
1:29	首都ブラジリア	家だ！
1:30	セラフィーウェア	こんにちはー
1:30	ふ ぃお	こんにちはー
1:30	ruska	三つ編み！
1:30	Jジェイ	nice sky
1:30	がくらた	おー！
1:32	レプタイル	髪型と家が
1:32	さーもばりっく あっと 大艦巨砲主義	こんにちはー🌸
1:32	いろ	こんにちわ～🌸
1:32	ひっきー	テントが・・・！髪型が・・・！
1:33	popongo	おさげかわいい！
1:33	きなこ	こんにちはー🌸
1:33	ゴモモロイド	こんにちは
1:34	猫神楽	家が建ってる！！
1:35	ずん	髪型が三つ編みになってるぅー！？
1:35	ori ori	家たってる！
1:36	帰宅RTA	家たっとる！
1:36	紫ユウキ	服変わってる！
1:36	雨の宿り木	マイホームだ！
1:37	マナギ	こんにちは
1:37	エビ天	家で来てる！
1:38	こうめ	こんちわー
1:38	西都なつ	騙された？
1:39	レッドウッドへいぽう	こんにちわ
1:39	Nights -O	騙されってw
1:40	路人A		HK$25.00
1:41	HAYASHI TTT	だまされｗ
1:41	おおくそん	だまされ
1:41	広輪凪	みつあみかわいい
1:41	しおかの推し床フロンターレ	集まったぞー
1:41	hayaten		￥100
1:42	やあけ	寝てる？
1:42	ぶたどん	めっちゃ進んでるやん
1:42	かげ	こんにちは～
1:43	彩りの民	お家が建ったね～！
1:43	シオ	こんちわー
1:44	Fairy Snow	ｏｈ…ちょいＡＦＫまたあとで
1:45	ろくじょう	騙されw
1:45	クーニャ	三つ編みになってるー
1:45	mo's!	こんばんはー
1:46	KA A	かわいくなってる
1:46	GPE	お洋服が！
1:46	パイライトテディ	ローン組まされた；；
1:46	桜夏	こんばんは！	￥250
1:47	卯月 シヴァ村	こんにちわ〜
1:47	rapid eye rabbit	マイホームだ
1:47	wessan	やってんねぇ
1:48	FJK エンタメ	配信レイアウトかわいい
1:48	みのる	髪型も変わってるね
1:48	図書館動かない	マイホームになってるだと
1:48	shimo 636	債務者
1:48	ガジュライ	こんばんは
1:49	なーく	マイホームたってるねｗ
1:49	友利匡志	こんにちは
1:49	Jジェイ	うん、騙されたね、たぬきに
1:50	エビ天	髪型も変わってる！
1:51	Nights -O	背負わされた借金！
1:52	たい焼き袋詰	たっかい！
1:52	雨宮恵	搾取されてるｗ
1:53	りんほん	昨日以降進めた？
1:53	クーニャ	98000
1:53	ザッハトルテ。	おめでとう！
1:54	清水めだか	家が立ってる！
1:54	北傘	悪徳商法
1:55	Flanve F	家～
1:55	首都ブラジリア	借金生活！
1:55	山北	家たってて草
1:56	山本たろう	草
1:56	ことこと	家建ってる！
1:56	サナ	悪徳商店
1:56	らどりみ	こんにちはー
1:56	愛じゃよハリー	詐欺じゃん
1:56	ns zn	倍プッシュだ
1:57	カンザキシン	ほいほいされてーらｗ
1:57	K Tony	こんちはー
1:57	オボン	おうちだ！！！
1:57	とき	８８８８
1:57	マイケル	ひでぇｗ
1:57	しょう	いぇーい
1:57	唐揚げ大好き	三つ編み可愛いやん
1:57	mo's!	おうちたっとる！
1:58	グレブナー繧ー繝ャ繝悶リ繝シ	おお
1:58	rapid eye rabbit	みつあみかわいい
1:59	21	不可抗力だった
2:00	レイザーRR	騙されたでも違いない
2:00	ムームー	債務者の仲間入りだ！
2:01	元気だしてこ	おめでとうｗ
2:01	清水めだか	おめでとう
2:01	Nights -O	かわいい
2:01	えびび大福	立派な家だ	￥500
2:02	ぐぅたら	かわいい〜
2:02	はりはり	やったぜ！
2:03	真珠	おおー！
2:03	帰宅RTA	みつあみかわよ
2:03	西都なつ	パーカーよく似合ってる
2:03	ノカゼ	家建ってる！
2:03	inou	家だけに
2:04	ひこたろ	おめでと
2:04	レイザーRR	おお変わってる！
2:04	りんほん	三つ編みあったんだ！
2:05	ぶたどん	だいぶ栞桜ちゃんになったな
2:05	彗星夜	おおー！
2:06	ロザエ	みつあみかわよ
2:06	ori ori	かわいい
2:07	彩りの民	三つ編みいいね～
2:07	Orpheus1221	三つ編み！！！
2:07	Josh	いいね
2:07	山本たろう	あら、可愛い
2:08	ことこと	三つ編みいいね
2:08	トンキン湾の人喰い虎	こんばんは～
2:09	ちゃぼうず_cyabouzu	かわいい！
2:09	趣スケベマン	三つ編みだー！
2:09	ノカゼ	おー
2:10	ザッハトルテ。	かわいい
2:10	うみとり	おお
2:10	FJK エンタメ	住宅ローンとかリアルじゃん
2:11	芋下きぬ	めっちゃやっとるーー
2:11	雨劉	こんにちは🌸	￥500
2:12	ももんもん	かわいい
