-0:22	いろ	待機…ギリセーフ・・・？
-0:21	ハテナ	しおしおしてきた
-0:21	ゆう	く！す！の！き！し！お！
-0:20	ヱシカ	🥀🥀してきた
-0:19	ポンコツ星人	しおしおしに来た
-0:18	まくらんど	1日2回お会えるよろこび
-0:17	kuzu ningen	しおしおしてきた
-0:17	ふむふむ	焼き鳥に塩いいよねー
-0:16	メイダイン	昼の部見れなかったから待機
-0:16	kuma kuma	しおしおしてきた
-0:16	てんねん水	しおしおしてきた
-0:15	shimo 636	やきとり食べるモイ？
-0:14	ねくす.	待機！
-0:14	桐生ユキ	再行動持ちだったとわ
-0:13	うれいし	しおしおしてきた
-0:11	ちかげみやま	しお…しお…
-0:11	黒川ありす	しおしお
-0:11	やまP	しお...しお....
-0:11	ねこみらーじゅ	麻雀は神視点が一番おもしろい説
-0:10	麻雀ビギナーしょーしょん	ポケモン良かったンゴねぇ
-0:10	きなこ	しおしおしてる
-0:09	KeKa	来たよ
-0:09	たいやき	栞桜先生
-0:08	筆記丸	しおしおしてきた
-0:08	バルビン	セーフ！！
-0:08	いっちゃん	しおしおっ
-0:07	ゆう	！？
-0:07	ニセゾー	今日は夜も豪運か、それとも運を使い果たしたか
-0:07	不思議の国の人形	昇段するまで終わらないって？
-0:07	ずん	しおしおしてきた
-0:06	のしろん	しおしおしてきた
-0:06	しおこんぶ	しお…しお…
-0:06	まにく	しお…しお…
-0:05	【 叶 】magica〝桜一色〟	待機中
-0:05	レーマリカヒ	萎れすぎぃ！
-0:04	jyujyuhot	しおしおしてきた
-0:03	クロラ	しおしおしてきた!
-0:03	業者さん	一日の塩分は8gまでが理想だゾ
-0:02	ねこいゆずりは	やきとりたべるモイ？
-0:02	LOG	はじまる！
-0:02	トビアアロナクス	耳に粘土詰めたい
-0:02	03cco【〇〇っこ】#NCB桜座戦2位	しおしおしてきた
-0:01	wisteri a	楽しみです。あたったらよろしくお願いします
0:00	はえよい	麻雀だああああ
0:00	どらお	マット良くない？
0:05	きゃりーほみゅぱみゅ	勝ってきた～
0:06	クロ	モイ！(っ･Θ･)っ
0:06	愛のままにわがままに僕は栞桜だけを傷つけないべべっち	くるぞ！！
0:07	F K	塩座衛門～
0:07	桐生ユキ	来るぞ、楽しみ
0:10	らにふ	こんばんは🌸
0:10	山田エミール	しおど～ん
0:11	グロム	こんばんは〜
0:11	なーく#Nark	しおしおしてきた
0:11	アイスアイス	栞桜さん
0:13	はりはり	しお
0:13	s y	しゅん
0:14	wildcat5314	そろそろかな
0:14	Amelia	きたああ
0:14	Fu ki	こんばんは🌸
0:15	AGAPE	おしおどーん
0:15	じゃがまきぃ	こんばんは🌸
0:15	ハセマ・スネーク	きたー！
0:16	おは	こんばんは🌸
0:16	香澄	しおしおしてきた
0:16	ねこいゆずりは	こんばんはー
0:16	ネムレス	きたーーーー
0:17	あのんまのん	こんばんはー！
0:17	184	siosioisoisosiosiosiso
0:17	ちかげみやま	こんばんはー！🌸
0:17	くすのき	きちゃー！
0:17	ケケ	こんばんはー
0:17	あのにます	きたー
0:17	ばたぁ	こんばんは
