-1:48	keg-on	誰を本命にするんだろうか
-1:46	Ash Alba	しおしおしてきた🌸
-1:44	mu(roku)	もうすぐ12万行きそう記念	￥200
-1:41	花吹雪	しおしお
-1:40	やる夫	しおちゃ～
-1:34	わんたん	しおしおしてきた
-1:34	Kudrjavka	待機🌸
-1:32	765 ksk	わっほいー
-1:28	キャベツ	しお
-1:28	Kiichang	しおしお…(ヽ´ω`)
-1:28	Cloelia	しおっさん待機
-1:17	しあわせターン	待機
-1:15	gaty fs	こんばんは🌸
-1:09	ういろうおにぎり	夕飯作りながら待機
-1:09	あまなつみかん	ギャンブル代	￥1,140
-1:06	レプタイル	真面目なギャンブル代	￥500
-1:06	ライヒモーク	待機
-1:02	ポン酢	待機
-1:02	ほむほむちゃん	ようつべ調子早く良くなれ代	￥500
-1:00	ねこみらーじゅ	こんばんはー
-0:58	Nights -O	しおしおっ
-0:49	にあ001	しおしおしてきた
-0:49	J PR	こんばんは🌸
-0:48	なーく	たいきぃー
-0:45	Red eyes	待機
-0:44	グレブナー基底	しお…しお…
-0:42	shimo 636	濃厚接触の時間だコラー！
-0:42	としn		￥500
-0:40	司令_つかされい	餃子臭そう
-0:40	you Itu	頼むぞyoutube君
-0:33	くーや		￥500
-0:32	アトス	ギャンブr…………仕事勝利祈願	￥500
-0:28	Ba2O[ばつお]		￥200
-0:27	ちんもくバード	しおしおしてきた
-0:26	なむ	栞桜ちゃん指名します
-0:23	ほわちゃん	しお
-0:18	諦めちゃったけど諦められないれみちゃん446#NCB	今日もギャンブラー栞桜っさんが見れると聞いて
-0:17	桜月マサ	しお…しお
-0:16	330		￥200
-0:15	ぐぅたら	しおしおしてきた
-0:10	芋けんぴ	ニンニクの匂いがしてきた
-0:10	春季限定のりしお風味	ショウガ系餃子かもしれない
-0:04	限界	しおしおしてきた
-0:04	Astral Clover	しおしお
0:00	mezzoforte	頑張って勝ってきてね	￥200
0:00	いざよいさくや	しおしおしてきた
0:09	Akiteru Fjimoto	しおしおー
0:10	rapid eye rabbit	こんばんは🌸
0:10	うみとり	こんばんは
0:11	グリヴェン	こんばんはー！しおしおー！
0:12	とろTak庵	こんばんは🌸
0:13	此処葉	こんばんはー🌸
0:13	ね ゙え ゙え ゙	こんばんは～～
0:14	雨宮恵	こんばんはっ🌸
0:15	芋下きぬ	こんばんわー
0:15	りんほん	こんばんはー🌸
0:15	ななみさん	こんばんは🌸
0:15	おっ	こんばんはー
0:15	CCR	こんばんはー
0:15	Josh	こんばんはー
0:15	彗星夜	こんばんはー🌸
0:16	Takebon	こんばんは🌸
0:16	不思議の国の人形	こんばんは​🌸
0:16	Fumy H	しおしお
0:16	卜キサメ	こんばんはー🌸
0:16	すしゅ	こんばんはー
0:16	Orpheus1221	こんばんはー
0:17	ぷるぷる運輸倉庫	きちゃー
0:17	西都なつ	来たか
0:17	ネムレス	こんばんはー🌸
0:17	諦めちゃったけど諦められないれみちゃん446#NCB	こんばんわー🌸
0:17	チーズ牛丼	こんばんは
0:18	やまP	きちゃああああああああ
0:18	23びーむ BEAM	誰になるかなー
0:18	帰宅RTA	こんばんはー
0:18	キャベツ	こんばんはー
0:19	飛鳥	こんばんはー🌸
0:19	鶏だしクリーミィ	こんばんはー🌸
0:19	とき	きたあああああああああ
0:21	Fumy H	こんばんはー🌸
0:21	ゴリラのきゃんの	こんばんはー
0:21	けうやぎはすり	こんばんはー
0:21	ちゃんちゃんしおしお	こんばんは🌸
0:21	ボルツ	こんばんわ🌸
0:22	雨の宿り木	こんばんは🌸
0:22	ようすけ	うーし
0:22	サイン	こんばんは
0:22	なーく	こんばんはぁ🌸
0:22	真っ黒フウ	こんばんは！
0:22	あのんまのんver.II	こんばんはー🌸
0:22	くろう	こんばんは🌸
0:22	パイライトテディ	こんばんは～
0:23	keg-on	こんばんは🌸
0:23	らうめん	こんばんはー
0:24	雨宿紗和/Amayadori Sawa	こんばんは🌸
0:24	レッドウッドへいぽう	きちゃ
0:24	しみこん	こんばんは
0:24	ようχ	こんばんはー
0:25	〆作	こんばんはー
0:25	6th iPodder	こんばんは～🌸
0:25	さぁや	こんばんは〜
0:25	かたるしす	こんばんは～
0:26	カマキリ星人	こんばんは🌸
0:26	ウーパーマン	こんばんはー
0:26	シヴァ村卯月	こんばんわ～～🌸
0:26	MON JA	こんばんはー
0:27	21	こんばんは🌸
0:28	ken dosagure	こんばんはー🌸
0:28	みささんべ	こんばんは
0:28	春季限定のりしお風味	こんばんわん
0:28	むあーん。	ばんわー🌸
