-1:00	司令_つかされい	魔物で勝ったようなもんかな
-0:59	暁宵	そうです
-0:58	雨宮恵	そういう事だね村田すごい
-0:57	Nights -O	草
-0:57	次郎	魔物も強かったね
-0:57	ジェイ・ J	マモノ持ちが強すぎたのよ
-0:56	じゃにー前田	草
-0:56	テーク	卍村田卍
-0:54	デへへ	村田最強！
-0:54	氷水	村田はもういない、いないんだ！
-0:54	さとゆう	そうです
-0:53	芋けんぴ	exactly
-0:53	あきら	村田は強いからね
-0:53	芋下きぬ	村田は化け物投手
-0:52	ぐぅたら	あとは内田ガチャがね
-0:50	山田太一	村田マジエース 魔物強い
-0:50	rapid eye rabbit	まあそういうことだねｗ
-0:49	黒猫	＃3はブラウザ変えると見れる
-0:48	マコトーフ	あの頃は強豪校じゃなかったけど自分のチームの強さで対戦相手決まったりする？
-0:48	ポチムゴン	転生村田はピッチャーの中でも最上級だから
-0:47	xxzxcuzx	村田最強！村田最強！
-0:46	si n	村田最強！
-0:43	アマラ	まあそうなる
-0:41	九郎判官義経	魔物ガチャ引きまくってたもん
-0:37	あきら	魔物ガチャの運も強かった
-0:37	HR RSL	正直エースの調子が勝敗に直結してた
-0:36	ハッサン	村田はもう……
-0:33	はむさんどたべろ	村田すごいね
-0:33	琵琶丸	内気の魔物が強かったですね
-0:33	雨の宿り木	村田最強！
-0:32	ぐぅたら	村田化け物だったもんなぁ
-0:32	h_in エイチイン	あと中嶋のモチベ維持
-0:28	レッドウッドへいぽう	魔物世代がどう育つか
-0:25	テーク	村田は…もう…
-0:23	Zukin Aka	たいきい
-0:19	最終上位神聖太陽騎士伯爵皇子ソリューションたつひこ	またこの人パワプロやってる
-0:18	Kiichang	しおしお…
-0:18	マコトーフ	魔物も働き詰めだったもんな
-0:18	xxzxcuzx	内田の飼ってる魔物が暴走してたね
-0:17	pv order	神様仏様村田様
-0:15	Nights -O	村田あなきあと…楠坂はどうなってしまうのか
-0:15	ねみみん	中塚くんがどこまでやれるかが新チームの課題
-0:10	ジェイ・ J	中塚君が育て切れるかだね
-0:08	kuromen	サムネが中毒者のそれ
-0:07	とろTak庵	待機
-0:06	デへへ	しお..しお...
-0:03	雨宮恵	魔物世代が育つの楽しみ
-0:03	九郎判官義経	これだけ8月21日は踏んで。特訓あるから
-0:03	HR RSL	澤崎内田がマジで大きかった
-0:02	ろりめく貌のロリコンA	栞桜待機
0:10	homuhome	多分次の一年は育成機関になるかな
0:14	不思議の国の人形	こんにちは
0:18	琵琶丸	新エース水上の成長と覚醒が待たれる
0:19	それなりの豚	３年目夏ダメだったのか そうか・・・
0:20	akitoくん	こんにちわ
0:20	Kiichang	夜のお仕事のためにパワプロ摂取していけ
0:22	うみとり	こんにちは
0:23	雨の宿り木	こんにちは🌸
0:23	レッドウッドへいぽう	きちゃ
0:23	トリフネ	こんにちはー
0:24	ひっきー	こんにちはー
0:24	ポチムゴン	こんにちわー🌸
0:25	shigure tokiame	こんにちは～
0:25	ベルボーイ	未来は小松崎しげる次第かな
0:26	Type indoor	はじまた
0:27	ふるえる	ｗｋｔｋ🌸
0:27	山田八兵衛	もっと勝ち進んでその間に水上育てたかったなぁ
0:28	kuromen	こんにちはh
0:28	ふたぴょん	こんにちはー🌸
0:28	rapid eye rabbit	きちゃ
0:29	さとゆう	こんにちはー
0:29	じゃにー前田	こんにちは
0:29	飛鳥	こんにちは🌸
0:29	SHINJI.K	こんにちは🌸
0:30	暁宵	おはようございますこんにちはー
0:31	白波せあ	こんにちはー🌸
0:31	九郎判官義経	甲子園敗退の強化イベントが8月21日にあるから
0:31	Like Enoden	こんばんはー
0:31	アルゴノゥトチームGospel	きちゃ
0:31	ジェイ・ J	今年は中塚君と心中する気持ちでやろう！
0:32	デへへ	こんにちは！
0:32	ark0125	こんにちは
0:32	サナ	こんにちは
0:32	雨宮恵	こんにちは～🌸
0:32	アトス	こんにちは🌸
0:32	こやこや	こんちは
0:33	沢柳水面	こんにちは〜🌸
0:33	てれぽん	こんにちは～🌸
0:34	rapid eye rabbit	こんにちはー🌸
0:34	卜キサメ	こんにちはー🌸
0:34	黒猫	おはようー
0:34	昌幸	めっちゃハイペースでやるやん
0:36	芝村	こんにちは～！
0:37	あまなつみかん	こんにちはー🌸
0:38	keg-on	こんにちは🌸
0:39	山田八兵衛	こんにちはー
0:39	らうめん	こんにちはー
0:39	あのときの中	こんにちはー
0:40	ルクス-luchs	そういや、このBGM名前ついてたりするのかしら？
0:40	カスティーラでじま	きちゃ！？
0:40	HAYASHI TTT	こんにちは🌸
0:40	wowicer	​こんにちわー
0:41	シヴァ村卯月	こんにちわ～～🌸
0:41	ひろたろ	こんにちはー
0:42	豆大福	こんにちはー
0:42	えいの	こんにちはー
0:42	ぐぅたら	こんにちはー🌸
0:42	black AYANE	え
0:43	Like Enoden	素で間違えた，こんにちは～
0:43	たい焼き袋詰	こんにちは
0:43	次郎	こんにちはー
0:44	年[ネン]	こんにちは🌸
0:44	si n	こんにちは～
0:45	リベア	こんにちはー
0:46	クタビレズク	こんにちはー
0:46	月十字	こんにちは〜！
0:46	ニシムランナー	こんにちわー
0:46	かくに	おはよー
0:47	鶏だしクリーミィ	こんにちはー🌸
0:47	マルコポーロ	こんばんわ～
0:47	ジェイ・ J	こんにちわー！
0:47	しょう	こんにちは〜
0:48	CHA P [チャ ピー]	こんにちは〜
0:48	つくね	こんにちはー
0:48	とろTak庵	こんにちは🌸
0:48	れめれめ	こんにちわー🌸
0:48	うしお	こんにちはー
0:48	ルクス-luchs	こんにちは🌸
0:48	ElixiR /N	やきう依存症ですねｸｫﾚﾊ
0:48	芋下きぬ	こんにちわー
0:49	木一	おはようー
0:49	くろしば	こんにちはー🌸
0:50	神崎真	やほー
0:50	Lyele Vive Th	こんにちは
0:51	北傘	こんにちはー
0:53	GAOがぉ	5時に終わって昼に始まるってｗ
0:53	炭火焼きばにら	こんにちはー
0:53	桜夏	こんにちは〜！
0:53	さぬきうどん	ハマってますなー
0:55	村野太一	楽しいのが1番
0:55	あい	こんにちはー！
0:55	九郎判官義経	こんにちはー
0:55	もふもふ団長	こんにちは～🌸
0:56	グリヴェン	こんにちは
0:57	MKtetris	こんいちはー🌸
0:57	まながつお。	こんにちはー
0:57	リコルα	こんにちは〜
0:57	mezzoforte	こんにちは～
0:58	なじー	こんにちはー
0:58	ゲーマー獅龍	こんちは〜ヾ(*´∀｀*)ﾉ
0:58	彩りの民	こんにちは〜🌸
0:59	不思議の国の人形	今日も朝活か
0:59	†すぱだんご†	こんにちは～
0:59	やゆ	きちゃー！
0:59	趣スケベマン	こんにちは
0:59	ネムレス	こんにちはー
1:00	琵琶丸	もうほぼ毎日パワプロ漬けですな楠さん
1:00	ふぉのん	こんにちはー🌸
1:00	ローズマリー	こんにちはー🌸
1:00	くまお	こんにちは🌸
1:01	トラ	監督練習キツくない？
1:01	拡散の尖兵	こんにちは
1:02	こぼちー	こんにちはー
1:02	GAOがぉ	こんにちは～🌸
1:02	編隊して変体した変態	こんにちぃーっす
1:03	でっど	こんにちは
1:03	ろくじょう	こんにちはー
1:03	J PR	こんにちは🌸
1:03	氷水	こんにちは～🌸
1:04	サインsin	こんにちは〜
1:04	アルゴノゥトチームGospel	こんにちは🌸
1:04	*ねう*	こんにちは
1:04	マコトーフ	こんちはー
1:04	ほしりん	こんにちは～🌸
1:05	Ta eGa	あ、お昼からやってる！こんにちはー
1:05	wessan	こんにちは🌸
1:05	アルファタウリ	こんにちはー
1:05	Nights -O	監督は今日も元気だな
1:05	順平	こんにちは🌸
1:05	mituha- shi	こんにちわー🌸
1:05	レッドウッドへいぽう	こんにちわー
1:06	みのる	こんにちはー
1:06	杏【きょう】	こんにちわ！🌸
1:06	あきら	こんにちはー
1:06	じゃにー前田	やきうのじかんだー！
1:06	テーク	こんにちは～🌸
1:06	アマラ	こんにちわー
1:06	ぷるぷる運輸倉庫	よぉ監督～今日も精が出るねぇ
1:06	ココルココ	すごいやるね～
1:07	うみにん	こんにちは
1:08	オ!オ!	ちゃっす
