-1:41	芋下きぬ	間に合った	￥610
-1:36	璃月アフロ		￥200
-1:32	紫ユウキ	しおしおしてきた!
-1:25	E. garland	待機(∩*´ω`*∩)	￥500
-1:21	彗星夜	しお…しお…
-1:16	si n	しおしおっ
-1:16	プルー	サムネかわいあ
-1:15	なす	たのしみ
-1:11	とき	待機
-1:07	焼きそば	しおしお
-1:03	rapid eye rabbit	しおしおしてきた
-1:02	真珠	しおしおしてきた！
-1:00	順平	待機
-0:59	タカぴー	たのしみ
-0:58	真っ黒フウ	しおしおっ！
-0:55	しれいかん	待機
-0:53	カンザキシン	厚いんじゃー
-0:50	ななみさん	しおしおしてきた
-0:49	Westeria	こんなに胸あるのかn
-0:47	Kiichang	しおっしおﾁｬﾝ
-0:43	shigure tokiame	続き気になる
-0:43	年刊木材	しお…しお…
-0:43	グレブナー基底	しお…しお…
-0:40	おたき	サムネ素晴らしい
-0:37	shimo 636	サムネすこ
-0:36	あぎだどら	待機	￥250
-0:34	限界		￥610
-0:33	mu(roku)	サムネいいな
-0:33	ひつじさん-	しおしお
-0:31	かme	待機
-0:25	たかちゃん		￥120
-0:25	めたるチクワ	待機
-0:24	いっちゃん	しおしお
-0:23	パンツ赤ちゃん	わくわく	￥610
-0:22	BOSS	しおしお🌸
-0:18	ぶたどん	きちゃ
-0:18	いざよいさくや	しおしおしてきた
-0:18	ザッハトルテ。	待機🌸
-0:14	ほしりん	しおしお
-0:13	すしゅ	しお…しお…
-0:12	えむえむ	しお…
-0:11	ププリンΩ	しお…しお…
-0:11	omi	しおしお🌸
-0:09	はー	偶然最近自分もニーア始めたので見に来ました
-0:06	のしろん	待機
-0:05	K Tony	しお…しお…
-0:03	広輪凪	ほくろ！	￥610
-0:02	もるぽん	今日もしおしお
0:00	Nights -O	しおしおっ
0:06	tangerineタンジェリン	こんにちはー
0:07	カラスは可愛いのですよ?	しおしお🌸
0:07	博瀧	待機
0:10	嘘800	しおしおしてきた
0:11	スペースデブリ	こんにちは
0:12	焼きそば	きたあ！！
0:12	どらお もちすぎ		￥200
0:13	レーマリカヒ	待機🌸
0:13	うみとり	続きたのしみにしてた
0:14	薙堂哿蓮	ついえら！
0:16	スーパーガク	はじた
0:16	伊田辿と書いていだてん	全てのリスナーは 滅びるようにデザインされている
0:17	akki	こんにちはー
0:18	くろう	こんにちは🌸
0:18	チィヤ	kitya
0:18	ぐぅたら	こんにちはー🌸
0:18	omi	こんにちはー🌸
0:18	とろTak庵	こんにちは🌸
0:19	リベア	こんにちは
0:19	月十字	こんにちは〜🌸
0:19	ゆういち	お
0:20	ね ゙え ゙え ゙	こんにちは～～
0:20	天城久秀	きちゃー
0:20	みかんみかん	こんにちはー
0:20	ムラ	しおしお♡(∩ˊ꒳​ˋ∩)♡
0:20	らにふ	こんにちは🌸
0:20	ぶたどん	きちゃちゃの茶
0:21	ななみさん	こんにちは🌸
0:21	ジャーレッド	かわよ
0:21	帰宅RTA	こんにちはー
0:21	雨の宿り木	こんにちは🌸
0:22	のぎす	こんばんはー
0:22	GPE	こんにちはー
