-0:10	スーパーライト	〇〇〇〇を待っています
-0:09	kyo sirogumi	ふるえてきた
-0:09	しれいかん	1分！
-0:09	ただのF	歌って歌って！
-0:08	Westeria	嬉しさでいえば去年のクリスマス以上だわ
-0:08	me ro	来るぞ！
-0:08	まっちゃ	新人とは思えない待機人数ですね
-0:08	ふらう	しおしおしてきた
-0:07	maphy 1125	待機
-0:07	moti ancoro	しおちゃんをケーキのサンタさんと入れ替えていいですか？いいよ。ありがと
-0:06	ぽたみんとん。	あっロンされた
-0:06	とまらー	1
-0:06	ちべ	声聞いたら泣きそう
-0:06	さ～か	むしろ泣いてる
-0:06	くろしば	ドキドキ
-0:06	まっしゅ	かのかのしてきた
-0:06	クロ	ｸﾙ━━━━(ﾟ∀ﾟ)━━━━!!
-0:05	くぅ	楽しみ過ぎて、震えが止まらない
-0:05	金髪サーモン	待ってた
-0:05	nigo nigo	初配信だから緊張してるだろうな～
-0:05	Yuki Akemi	ドキドキ
-0:03	ネムレス	やっと会える
-0:03	めりはり	🌸😸～😭
-0:03	g 80	あかん涙でてまう
-0:03	ぐっち〜。	くる！
-0:03	口クサス	親満ツモ
-0:03	スカート	ｽﾃﾝﾊﾞｲ
-0:03	氷水:ひすい	同接５０００を超える新人がいるらしい
-0:03	朱猫	あと1分お前ら準備はいいか？
-0:03	ハル	ギリギリ間に合わねー
-0:02	【 叶 】magica〝桜一色〟	初見です 
-0:02	森中それと便座カバー	初めてなのにメッチャ配信慣れしてそう
-0:01	緋月	すっげぇ緊張して来た
-0:01	翠orion	(0ﾟ･∀･)ﾜｸﾜｸﾃｶﾃｶ
-0:01	mezzoforte	早く声が聞きたい
-0:01	十方雷太	くるぞ
0:00	かなどめ	緊張してきた……
0:00	つみっく	もうすぐ声が聴ける！
0:00	black AYANE	もう泣いてる
0:02	rapid eye rabbit	泣きそう
0:02	Belle Rocca	しおちゃああああああん
0:02	ふみぴっぴ	来るぞ！
0:02	p tttak	くるぞくるぞﾊﾊｯ
0:02	フラグクラッシャー	短いようで長かった・・・
0:02	Hira 。	楽しみなんだ😋
0:03	リク	間に合った！
0:03	あかさたなは	待機
0:03	ろっきー	来るぞおおおおおおお！！！
0:06	チユウチユウ	ドキドキがヤバい
0:07	チーズ美味しい	二ヶ月待った二人に会えるの楽しみ
0:07	いるいる	くりゅううう
