-1:22	ねころ豚	しお・・・
-1:21	真っ黒フウ	しおしおっ
-1:15	いざよいさくや	防御強くても2着じゃダメだしなぁ
-1:14	みーや	しおしおしてきた
-1:13	rapid eye rabbit	しおしおしてきた
-1:12	ユーミン	しおしおしてきた
-1:12	Makotola	無理だと思った終盤は振らない鳴かないでひっそりしてるわ
-1:11	ことかげ	しおしおしてきた
-1:11	ミポポ	しおしおっ
-1:05	OG L	さっき裏
-1:05	ns zn	裏は４ハンの時めっちゃのるよ
-1:04	マイケル	しお♡（∩ˊ꒳​ˋ∩）♡しおっ!!
-1:03	ろっきー	裏乗らなくなってきた
-0:52	*ねう*	しおしお！
-0:51	きなこ	しおしおしてきた
-0:51	芝村	しお…しお
-0:49	伊奈ぴょん	マジで裏乗らないの何でなの・・・・(昨日１０回打って一回も乗らなかった)
-0:47	橘黒無幻	今日は裏乗ると聞いて
-0:45	ろっきー	おめでとう
-0:40	Rock Sham	全く勝てんのだが…
-0:39	いざよいさくや	裏ドラ消えてきた
-0:36	ユーミン	こういう大会ルールの時は攻めの麻雀が上手い人がうらやましい…
-0:36	はえよい	４→５は乗るけど５→６は乗らない定期
-0:36	key ton	シオシオ
-0:33	ねこいゆずりは	しょっぱ！！
-0:31	あまなつみかん	裏ドラが震えてる...近いな
-0:31	ケムリン	しおしおっ
-0:30	ろき	しぉしぉ
-0:29	wildcat5314	しおしおしてきた
-0:26	銀河美少年	267位だよ😭
-0:25	ろっきー	栞桜ちゃんの配信見ると裏乗らなくなるぞ
-0:24	spishu	(
-0:23	ぶたどん	メニメニマニマニ
-0:22	わかめ	大会参加者もしおちゃんもがんばれー
-0:21	嘘800	あぁ、それ栞桜ちゃんの御加護ですね(適当)
-0:20	ギンジ	しおしお
-0:19	包茎てぃん	打つのおせーよ
-0:19	レモンP	しおしおしてきた
-0:18	猫歩きACT2	待機
-0:13	レッドウッドへいぽう	血圧あがってきた…
-0:11	ns zn	裏乗らない人間は必死に打点あげるしか…
-0:10	趣スケベマン	こんばんは
-0:08	ユウケン	間に合った
-0:07	kao v	裏ドラ警察だ！！！🚓
-0:05	包茎てぃん	おめぇら打つのおせーよ
-0:02	びっくす	しおしお
0:04	メディカタカタさん北桜神話	こんばんは
0:06	よふかし	しおしお
0:11	飲む牛乳	間に合った
0:12	カヤ	こんばんは🌸
0:13	あのにます	しおしお！
0:13	おは	栞桜ちゃん配信で裏乗せたことあったっけ？
0:14	ばたぁ	こんばんは🌸
0:15	toru0094	箱クラッシャー
0:15	ほわちゃん	しおしお
0:15	wildcat5314	血圧上げ過ぎて、気絶しないようにしなきゃ
0:16	グリヴェン	こんばんはー！しおしおー！
0:16	パイライトテディ	こんばんは～！
0:17	バンキッシャーVIII	こんばんはこんばんは
0:17	レッドウッドへいぽう	ｷﾀ――(ﾟ∀ﾟ)――!!
0:17	飲む牛乳	こんばんはー
0:17	Works TK	歯磨きしてきた
0:17	桑原みー	こんばんは～
0:17	あるて	こんばんは〜
0:18	鉄おから	こんばんは
0:19	妖精の灯り	そろそろ裏乗らない時間だな
0:19	西都なつ	こんばんは
0:20	sarami tarou	こんばんは～🌸
0:20	嘘800	こんばんは🌸
0:20	はえよい	きた
0:21	文伽	こんばんは～
0:21	ぜっトンインパルス	こんばんしおー
0:21	ミポポ	こんばんわー🌸
0:21	テーク	こんばんは～🌸
0:21	ark0125	こんばんは
0:21	ちかげみやま	しおしお
0:21	郭々	こんばんはー🌸
0:21	しばわん	こんばんは！
0:21	ふぉのん	こんばんはー
0:21	雨の宿り木	こんばんは🌸
0:22	猫歩きACT2	こんばんはー
0:23	ユーミン	こんばんは～
0:23	mezzoforte	こんばんは～
0:23	東京特許許可局勤務の真珠	こんばんは～！🌸
0:24	ムームー	こんばんはー！
0:25	sumk27	こんばんは🌸
0:25	芝村	こんばんは～！
0:25	あまなつみかん	こんばんは🌸
0:25	ヌルカちゃんねる	しお
0:26	しれいかん	こんばんは
0:26	U- G	こんばんは
0:26	ナシュナシラ	こんばんは！
0:26	タカぴー	こんばんは
0:27	Josh	こんばんはー
0:27	トキサメ	こんばんはー🌸
0:27	缶こーひー	こんばんは🌸
0:27	てれぽん	こんばんは～
0:28	LOG	こんばんは🌸
0:28	ものくろP	こんばんは～
0:28	ヨタ	こんばんはー
0:28	まっちゃ	こんばんはー
0:28	銀河美少年	こんばんは🌸
0:28	花吹雪	こんばんはー
0:29	レーマリカヒ	こんばんは～🌸
0:29	カマキリ星人	こんばんは
0:29	Jジェイ	こんばんはー！
0:30	ゴリラのきゃんの	こんばんは🌸
0:30	大分か春	こんばんは
0:30	omi	こんばんはー
0:30	Evac 1899	こんばんは！🌸
0:30	ノカゼ	こんばんは
0:31	ひさし	こんばんは！
0:31	にとろ	こんばんは～
0:31	あい	こんばんはー！
0:31	にがうり	こんばんはー
0:31	taka32 S	こんばんは🌸
0:31	メディ	こんばんは！
0:31	〆作	こんばんはー
0:32	レイザーRR	こんばんは～
0:32	木一	こんばんは🌸
0:32	いざよいさくや	裏ドラ警察さん助けてください！私の裏ドラが盗まれました
0:32	さーもばりっく	こんばんはー
0:34	ナオ	こんばんはー
0:34	Fumy H	こんばんはー
0:34	みーや	こんばんは！🌸
0:34	ねこいゆずりは	こんばんはー
0:35	うみにん	こんばんは
0:35	ほわちゃん	こんばんはー
0:35	keg-on{けごん}	こんばんは🌸
0:36	室澤守流世	こんばんわー！
0:37	key ton	こんばんは🌸
0:37	妖精の灯り	こんばんはー🌸
0:37	ふれでぃー	こんばんはー！
0:37	サカナ	こんばんはー🌸
0:37	Takebon[たけぼん]	こんばんは🌸
0:37	pandoゴネーシャ	こんばんは〜
0:37	じゃがまきぃ	こんばんはー🌸
0:38	とな関	こんばんわー🌸
0:38	ムラ	こんばんわー🌸
0:38	シャルム	こんばんはー
0:38	どぎー	こんばんは～🌸
0:39	北傘	こんばんはー
0:39	レモンP	と思ったらワイが2画面だった
0:40	mischa's Lab.	こんばんはー
0:41	Tsubasax	こんばんは
0:41	清水めだか	こんばんはー！
0:41	鏨:re oo96	こんばんはー
0:41	HAYASHI TTT	こんばんは🌸
0:41	FUJI-KEN POWER V	こんばんはー
0:41	やまP	こんばんはー🌸
0:41	みささんべ	こんばんは
0:42	ふぅこ	こんばんは
0:42	いざよいさくや	こんばんは～
0:42	Makotola	こんばんは🌸
0:42	鳥烏[とりからす]	こんばんは～🌸
0:42	しまご	こんばんは
0:42	ねりようかん	こんばんは
0:43	よっしー	こんばんは🌸
0:43	Badluck-shvine	こんばんはー🌸
0:43	シオ	こんばんはー
0:44	ろっきー	こんばんは🌸
0:44	ron pepe	こんばんは
0:47	F K	こんばん破！
0:47	はりはり	こんばんはー
0:48	おは	こんばんは🌸
0:48	ずん	こんばんは🌸
0:48	LOG	昨日は栞桜ちゃん裏乗ったからきっと大丈夫
0:48	mo's!	こんばんはー
0:49	のぎす	こんばんはー
0:49	ダンデライオン	こんばんはー
0:49	シヴァ村卯月	こんばんわ〜
0:49	かげちよ	こんばんはー
0:49	かえるライダー	2回目こんばんは～🌸
0:49	ロザエ	こんばんは～！
0:50	shimo 636	こんばんは～
0:50	鱈子明太子	こんばんはー
0:50	121mj	こんばんは！🌸
0:50	ミツキ	こんばんは🌸
0:52	ちゃぼうず_cyabouzu	こんばんはー🌸
0:52	いざよいさくや	もう打ってる
0:52	やまぶどう	こんばんはー
0:52	紫月	こんばんは🌸
0:53	ヨシムネ	こんばんはー
0:53	鳥烏[とりからす]	もう打ってて草
0:53	ぐりーふ	こんばんは
0:53	ギンジ	こんばんはー
0:53	*らすく*4693	こんばんは
0:54	び	こんばんは～
0:54	杏	こんはんわ！
0:54	ふむふむ	こんばんはー
0:54	みづき	こんばんはー！！
0:55	ありにゃ	こんばんわー
0:56	si n	こんばんは～
0:56	隼人	こんばんわ！
0:56	黒糖ジャンキー	こんばんは
0:56	ShingoMk-Ⅱ	こんばんは～🌸
0:56	郭々	知ってたw
0:56	ゆずき	遊びにきました
0:57	rapid eye rabbit	かわいいｗ
0:57	妖精の灯り	かわいいw
0:57	Levith	こんばんは🌸
0:58	レモンP	また食レポか！？
0:59	あのんまのん	こんばんはー！
0:59	お前ら_	アイスｗｗｗ
1:00	ぎんいろ	かわいい
1:00	シヴァ村卯月	かわいい
1:00	Badluck-shvine	かわいい
1:00	ペコポン	こんばんは🌸
1:00	*らすく*4693	かわいい
1:01	HAYASHI TTT	かわいい
1:01	芋下きぬ	こんばん草
1:01	おおくそん	こんばんは🌸
1:01	月十字	こんばんは
1:01	ただのにゃんこ	こんばんはー
1:01	タニシ11201	こんばんは🌸
1:02	ミーアキャット	かわいい
1:02	ヨタ	もう始まってて草
1:02	Kiichang	うおおこんばんしおちゃん！
1:02	ETFS11	こんばんは
1:03	にいやまざくろ	かわいいかよ
1:03	keg-on{けごん}	かわいいｗ
1:03	sumk27	かわいい
1:03	てれぽん	草
1:03	ミポポ	アイスｗ？
1:05	sora neko	こんばんは🌸
1:05	ユーミン	かわいいｗｗ 待つからゆっくり食べなｗ
1:06	セラフィーウェア	こんばんは
1:06	ゆんゆん	アイスｗ
1:06	凝淵	​こんばんは🌸
1:06	彩りの民	こんばんはー！
1:06	ケケ	こんばんはー！！
1:07	カンザキシン	待ちません
1:07	道中	かわいい
1:07	花吹雪	開幕おやつタイム助かる
1:08	にとろ	何故食べた。。。。
1:08	レーマリカヒ	開幕アイスレポ？ｗ
1:08	やまP	食べてていいよー
1:08	北傘	草
1:09	大豆	観戦中やね
1:09	レイザーRR	あらかわいい理由
1:09	Vノ字	🍨
1:10	でっど	こんばんは
1:10	neji screw	かわいい
1:11	*ねう*	こんばんは
1:11	あい	何食べてるの？
1:11	テーク	初手麻雀+アイスで草
1:12	タネ	歯医者行かなきゃ
1:12	スーパーガク	アイスもぐもぐで草
1:13	sルーク	かわいい
1:13	YaMa	こんばんは🌸
1:13	ユウケン	こんばんは！
1:13	桑原みー	何アイス？
1:14	Jジェイ	違った！ナーガさんか
1:14	さやかマギカ	こんばんは
1:14	いいさん	こんばんは～🌸
1:15	ばたぁ	アイス食べながら麻雀して配信してる...
1:15	すてら	何アイスー？
1:15	室澤守流世	あいすかわいい
1:15	くぅくぅ	ゆっくり食べて〜
1:15	ぐぅたら	こんばんはー🌸
1:16	ポセイン	こんばんはー
1:16	ノカゼ	観戦？
1:17	mother ship	こんばんはー🌸
1:17	key ton	かわえぇ
1:17	204βわかる	こんばんは
1:17	Emma Brown	草
1:18	ケムリン	こんばんはー
1:18	シイカ	こんばんはー
1:18	マナギ	こんばんは🌸
1:19	榎本榎本	こんばんは🌸
1:19	一任	かわいい
1:19	ただのF	急ぐな、頭がキーンってなるぞ
1:19	Makotola	真冬に食うアイス美味しいよね
1:20	masa sun-in	アイス食うたか？
1:20	GPE	こんばんはー
1:20	ゴリラのきゃんの	食レポ頼む
1:20	半袖	こんばんはー
1:20	いざよいさくや	観戦か
1:21	アステマ	アイス食いながらこんばんわー🌸
1:21	てんぷら	こんばんは🌸
1:21	アルパカ探検隊	こんばんは
1:21	どりんこ	AIじゃん
1:21	ピコット	暖房効いた部屋で食べるアイスは最高の贅沢
1:21	月十字	NAGA！！
1:22	妖精の灯り	アイス美味しい？
1:22	うれいし	観戦か
1:22	レッドウッドへいぽう	アイスおいしい？
1:22	猫神楽	こんばんは🌸
1:23	西都なつ	ゆっくり食べなｗ
1:23	ns zn	つのだに虐められてるから慰めて
1:23	燻しTak庵	こんばんは🌸
1:24	ほわちゃん	あ、
1:24	らいず	こんばんは🌸
1:24	うみにん	冬に暖かい部屋でアイスとか贅沢な
