-1:07	サイコロ	栞桜ってきた
-1:03	Mr. yakushasu	しおしお
-1:02	とんとん	とりあえず４画面設置完了
-0:58	壹-ichi-	待機ー
-0:58	レッドウッドへいぽう	待機を待っています
-0:57	ヱスカ		￥400
-0:55	台湾の社畜	待機
-0:49	めたるチクワ	待機
-0:48	カラスは可愛いのですよ?	コンビ打ちを見るのは初めてなので楽しみです。頑張ってー	￥500
-0:45	かえるライダー	４窓待機	￥1,000
-0:45	日神巫言	聴牌したら歌うたわないと
-0:44	ろっきー	楽しみ
-0:43	うぃろ	しおちゃんのお歌枠ってマ？
-0:43	芋下きぬ	楽しみ
-0:43	Jikell	待ってた
-0:42	ナクナク	待機
-0:40	FJK エンタメ	副窓とかむずい
-0:40	司令_つかされい	４人の歌姫が揃うことになるな
-0:39	シリバー	全裸待機
-0:33	鹿出無 RokuDeNashi	待機
-0:32	ori ori		￥500
-0:27	のしろん	楽しみ
-0:27	蓮	待機～
-0:25	omi	待機ー
-0:16	ねこみらーじゅ	期待の待機
-0:15	しおかの推し床フロンターレ	さあこい
-0:15	やまP	どんなコンビ打ちするんだろ
-0:14	レーマリカヒ	待機
-0:13	YaMa		￥500
-0:13	いぬてぃ	サムネがちょっと面白い
-0:12	6th iPodder	しお.... しお....
-0:12	ぶたどん	きちゃ
-0:11	やまぶどう	楽しみー！
-0:11	日神巫言	地味に司さんの歌は気になる
-0:10	いざよいさくや	しおしおしてきた
-0:08	おざきGGE	こんばんは
-0:06	とき	楽しみだ
-0:06	Orpheus1221	しおしおしてきた
-0:05	レイザーRR	さてさて
-0:05	121mj	しお待機
-0:04	リモコン隠し妖怪	こんばんは
-0:04	なーく	わくわく
-0:04	斎藤真方_マサカタ_	待機！
-0:03	アルゴノゥトチームGospel	概要欄チェックOK
-0:03	りんご田べる	たのしみすぎる
-0:02	やる夫	しおちゃ～
-0:02	レモン	しおしおしてきた
-0:01	むあ。	待機ー
-0:01	ガラ	コンビ打ちは初めて、どういうものか・・
0:00	デモア	幼女１人におっさん３人ってまずくない？
