-0:25	いっちゃん	ソルトソルト
-0:24	十三	しおしおしてきた
-0:23	キジバト	前々から気になってたゲームだから楽しみ
-0:23	LOG	サムネめちゃくちゃかわいい
-0:23	夢屋シン	しお…しお…
-0:23	ユウ	こんばんは🌸
-0:22	きなこ	しおしおー
-0:22	カザリアカリ	草
-0:21	愛のままにわがままに僕は栞桜だけを傷つけないべべっち	栞桜対応期待してます！！
-0:21	カワラ	しお……しお……。
-0:21	しれいかん	しお
-0:19	クリスティン.	メガネ！
-0:19	にとろ	しお！！！しお！！！！！
-0:19	ずん	しおしおしてきた
-0:17	碎天	4040...
-0:16	カワラ	しおしおしてきた。
-0:15	アリス・バレンタイン	しお
-0:15	ミュウ	ローグライクの世界にようこそ
-0:15	猫のバロン	しおしお
-0:15	03cco【〇〇っこ】#NCB桜座戦2位	開始リツイしてきた
-0:15	イベリコ豚丼	しおしおど〜ん！
-0:15	カザリアカリ	しおしお
-0:14	ケケ	しおしお
-0:14	Orpheus1221	日本一対する信頼感
-0:14	妖精の灯り	ホラーというより鬱ゲーじゃね？
-0:13	_ MAKA	くすくす
-0:12	山本たろう	これは、日本一の、中でもホラーよりも雰囲気ゲーより
-0:10	しゃかぽこ	しお…しお…
-0:10	ふむふむ	しおしお
-0:10	si n	しおしお～
-0:09	ギンジ	しおしお
-0:09	なす	幼女に厳しいとこのゲーム
-0:08	ベジタイム	しおいな
-0:08	雨の宿り木	サムネかわいい
-0:07	陽炎	不思議のダンジョン系以外でやったことあるローグライクがelonaと変愚蛮怒しかないからこれはどんなやつか気になる
-0:07	tan ge	こんばんは～🌸
-0:06	宍戸環	萎れすぎ…
-0:06	Wing mantk	しおしお！
-0:06	グラハムプリパラ	しおしおしてきた
-0:05	いざよいさくや	ツイートよし！
-0:04	black AYANE	おいおい、なんだよこの美しいサムネは…
-0:04	ハラロボ	しおしおしてきた
-0:04	niryuu	しおしお
-0:04	namu sun	顔見たときにどんな反応するかな…
-0:03	飲む牛乳	くるー？
-0:03	捨てふぁに	しおしお
-0:03	pldra プレドラ	しお分が不足してる
-0:02	桜花	sio
0:00	鱈大根	しおしお
0:05	あぎだどら	さてなにやるのか
0:05	せっとん	しお･･･しお･･･
0:05	やっさん	メガネは最強覚えておくといい
0:06	Wing mantk	しおしお
0:08	あのにます	こん
0:09	サカナ	ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!
0:09	Wing mantk	しおしお
0:10	ばたぁ	ドキドキ(しおしお
0:12	きゃりーほみゅぱみゅ	間に合った～
0:12	やまP	開始ツイートしなきゃ......
0:12	サカナ	こんばんはー🌸
0:13	燻しTak庵	こんばんはー🌸
0:13	シャルム	4040…
0:13	おは	こんばんは🌸
0:13	ちんもくバード	なめくじになりそう
0:15	神無月健二	こんばんわー🌸
0:15	パイライトテディ	こんばんは～！
0:15	氷水:ひすい	こんばんは～
0:16	いいさん	こんばんは🌸
0:16	りんほん	こんばんはー🌸
0:16	F K	あれホラーやめたのん？
0:16	ちかげみやま	こんばんはー🌸
0:16	Wing mantk	きちゃー！
0:16	ロール	こんばんは～🌸
0:16	まんぞく	しおしお
0:17	不思議の国の人形	こんばんはー
0:17	トキサメ	こんばんはー🌸
0:17	ドゴザガゾ	きた！
0:17	るりから	興味あったんよなこれ
0:18	M L	しおしお・・・
0:18	拡散の尖兵	こんばんは
0:18	わかめ	メガネカワイイ
0:18	きなこ	こんばんはー
0:18	ろくじょう	こんばんはー！
0:18	グリヴェン	こんばんしおしおー！今日もかわいいなあ！
0:18	* kaz*	きたー
0:18	メディ	こんばんは！
0:18	雨宮恵	こんばんはっ🌸
0:19	ノカゼ	こんばんはー
0:19	此処葉	こんばんは～🌸
0:19	Makotola	こんばんは🌸
0:19	じゃがまきぃ	こんばんは🌸
0:19	ゆう	おお
0:20	メイダイン	しおしおしてきた
0:22	ムームー	こんばんはー！
0:22	唐揚げ大好き	始まったー
0:22	ワ・カ・メ	こんばんはー！
0:22	Hiroshi Nakakita	こんばんはー
0:22	桑原みー	こんばは～
0:22	ニセゾー	こんばんわー
0:23	黒みりん	こんばんはー
0:23	まこだいあ	こんばんはー
0:23	Orpheus1221	お？BGMいいね
0:23	芝村	こんばんは～！
0:23	K chan	これ見たら眠れない系？
0:24	順平	こんばんは！🌸
0:24	Badluck-shvine	こんばんはー🌸
0:24	なーく#Nark	こんばんはー🌸
0:24	のぎす	こんばんはー
0:24	たい焼き袋詰	こんばんは
0:25	koai777	開始ツイートしてこないと…
0:25	捨てふぁに	開始ツイート…
0:25	バルビン	こんばんわー🌸
0:25	レイザーRR	きた！！
0:25	ヨシムネ	こんばんはー
0:28	ガリガリマン	こんばんは
0:28	ぶるーD	サムネめっちゃ可愛い
0:28	しれいかん	こんばんは
0:28	ププリンΩ	眼鏡かわいい こんばんは～
0:29	猫歩きACT2	こんばんは〜
0:29	くろしば	こんばんは🌸
0:29	グロム	こんばんは〜
0:29	缶こーひー	こんばんはー
0:29	ムラ	こんばんわー🌸
0:29	東京特許許可局勤務の真珠	こんばんは～
0:29	飴あられ	こんばんはぁ～！
0:30	いざよいさくや	ｷﾀ――(ﾟ∀ﾟ)――!!
0:30	ふれでぃー	こんばんはー！
