-0:56	ナシュナシラ	楽しみ～
-0:54	6th iPodder	このポーズ、RFAとちょっと違う
-0:53	ゆんゆん	ふざっカルチョ？
-0:52	よさく	しおしおしてきた！🌸
-0:52	*ねう*	しおしお
-0:51	エビ天	終わりが見えてきた？トレーニングに終わりなんてないでしょｗ
-0:51	くらつ	そういえば最近「ふざっ」全然聞けて無いですね…今日に期待
-0:49	明智光秀	しおしおしてきた
-0:46	まむまむり	待機
-0:45	やはたさん	待機しお
-0:45	Tack song	しおしおしてきた
-0:45	はりはり	しお
-0:43	ばどしが	頭にエビフライ付いてない？
-0:42	rapid eye rabbit	しおしおしてきた
-0:41	捨てふぁにコロナショックで失業決定	ふざっRTA始まるよー
-0:40	いっちゃん	うぉぉお塩分過多ァァァ
-0:36	琵琶丸	サムネかっこよ！
-0:33	飲む牛乳	間に合った
-0:33	ori ori	しおしお！？
-0:31	やまP	しお...しお....
-0:29	蓮dr	開幕息切れに１sio
-0:28	Orpheus1221	しおしおしてきた
-0:28	NSK	しおしおっ
-0:25	Takebon	塩分助かる
-0:24	Fumy H	しおしおしてまいりました
-0:22	kotodama1987	ふざっ待機中
-0:22	ユーミン	しおしおしてきた
-0:21	みづき	間に合った！
-0:20	順平	しおしおしてきた
-0:19	妖精の灯り	間に合った！しおしおっ！！♡(∩ˊ꒳​ˋ∩)♡
-0:18	琵琶丸	こんばんは🌸
-0:18	はりはり	しお
-0:17	趣スケベマン	こんばんは
-0:17	帰宅RTA	ストレッチで息切れしそう
-0:13	カラスは可愛いのですよ?	しおしお🌸
-0:13	いざよいさくや	こんばんは
-0:13	セラフィーウェア	しおしお
-0:10	よさく	高血圧不可避
-0:08	夢屋シン	栞桜リートファイターかな？
-0:08	しおかのういLIVE	栞桜ちゃん需要わかってんね（ﾆｯｺﾘ
-0:07	帰宅RTA	こんばんは🌸
-0:06	ちべ	しおしおしてきた
-0:06	レッドウッドへいぽう	血圧あがってるか？
-0:06	雫凪	くる～！
-0:05	烈火雪月	しおしお…
-0:02	田中雄一郎	全クリしないで最終回なんですね。たまにやってほしいなー
-0:01	タニシ11201	しおしお
-0:01	氷水	しおしお♡
-0:01	*らすく*4693	しおしおしてきた
0:00	はえよい	しおしお
0:06	おいもちん	しおしお
0:07	零巫女446#NCB	しおしおしてきた
0:10	妖精の灯り	久々のRFA嬉しいなぁ
0:10	首都ブラジリア	まだ何も終わっちゃいませんよ！？
0:10	KeKa	来たよ
0:10	121mj	しおしお
0:11	blindfolded056	さあ行こう💮
0:12	エクレアさん	脈拍181
0:12	みかんみかん	こんばんは
0:12	十三姫	こんばんはー
0:13	はえよい	きちゃー
0:13	朱羅	案件が終わっても走り続ける女
0:13	雨劉	こんばんはー
0:16	捨てふぁにコロナショックで失業決定	塩分過多ぁ！！！
0:16	らにふ	こんばんは🌸
0:16	〆作	こんばんはー
0:16	レッドウッドへいぽう	波動拳！
0:16	Makotola	こんばんは🌸
0:16	柾花音・楠栞桜切り抜き //猫歩きACT2	こんばんは
0:17	グリヴェン	こんばんはー！しおしおー！
0:17	ユーミン	こんばんは～
0:17	バンキッシャーVIII	こんばんはこんばんはー
0:17	真珠	こんばんは～！🌸
0:17	ノカゼ	こんばんはー
0:17	芋下きぬ	こんばんわー
0:17	不思議の国の人形	こんばんは​🌸
0:17	SHINJI.K	こんばんは🌸
0:17	Fumy H	こんしおー
0:18	りんほん	こんばんはー🌸
0:18	サカナ	こんばんはー🌸
0:19	黒井へちま	こんばんはー
0:19	いざよいさくや	きたわね
