-0:43	とみぃ	しお.....しお.....
-0:41	しまご	しお
-0:41	芋下きぬ	四人だし早く終わるやろ	￥610
-0:39	十三姫	待機🌸
-0:39	あい	どれくらいかかるかなー
-0:36	じぇいソン	というかいつの間にか１０万人超えてたんか
-0:34	片岡タコス	今来た産業
-0:34	桜色の図書館	しおしおしてきた
-0:34	川嵜太郎丸	三色をNGワード設定できないかな
-0:34	巫女萃香「みこすいか」	凪サンダー
-0:33	なーく	ヤバいのは三暗刻
-0:33	ぷっしろ	各種おじさん歓喜の企画
-0:33	FJK エンタメ	メンゼン三色一気通貫は草
-0:33	カンザキシン	栞桜ちゃん頑張れｗ
-0:29	ばどらび	伯方の塩！
-0:29	ホーレス	三色が見れると聞いて
-0:27	カラスは可愛いのですよ?	しおしおしおしおしてきた
-0:27	Yoshiaki Kurekawa	待機
-0:27	めたるチクワ	待機
-0:26	しみやん	しお
-0:25	パインポイン	はっかったの！
-0:25	にーね	間に合ったー
-0:24	ぶたどん	きちゃ
-0:21	omi	しおしおしてきた
-0:19	甘木	終わるだろ
-0:18	ミーム	4窓する人ってメモリどんくらい積んでるんやろ？
-0:18	月十字	楽しい楽しい耐久配信
-0:17	モスの回し者	始まってないのに牌見えてるやついて草
-0:15	kino	しおちゃんが分身してルイスも気合で分身すれば早く終わる
-0:14	みなせ	待機
-0:13	べべ	よし、間に合った
-0:12	調律	麻雀の時間だぁああああああああ
-0:10	keg-on	ハッカッタっの！
-0:10	Vira luna Kanon /ヴィーラ・ルナ・カノン	罰ゲームのはずなのに結局みんなでやるのね
-0:10	ni-ka	しお、、しお、
-0:10	もののおのの	しおちゃん頑張ってください
-0:09	niryuu	しおしお
-0:08	yamappii	リアルゴールド振っちゃダメやで
-0:08	琵琶丸	地獄の窯の蓋が開くと聞いて
-0:07	Azusa Asami	二盃口も行きますか？？
-0:07	みや☆	待機
-0:06	片岡タコス	三色おじさんしかいねぇのか？？？
-0:04	ともきち	待機
-0:03	ザッハトルテ。	耐久代	￥200
-0:02	のーれっじ	見通しが甘いのかどうなるか
-0:02	koji TC	三色おじさん登場
-0:02	葵午時	しおしおしてきた
-0:01	チィヤ	まだか
0:00	ばどらび	ジョーカーさんどこーー！
0:02	飛鳥	しお…しお…
0:03	花吹雪	がんばれー
0:03	朝来乃宮佐夜	セーフ
0:04	レーマリカヒ	待機🌸
0:04	ramune 48	協力するなら裏ドラ5枚より速そう
