-0:58	marianne van tienen	しおしおっ！
-0:57	グレード	待機
-0:56	限界	何度でも10万祝いたい！改めておめでとうございます！	￥1,140
-0:55	麻雀ビギナーしょーしょん	しかも銀盾とどくのはえーな()
-0:53	Ta Ki	蘭花杯でるのかなぁ？
-0:52	ななみさん	しおしおしてきた
-0:50	真珠	しお…しお…
-0:47	もののおのの	こんばんはー
-0:47	山田エミール	食パン代	￥200
-0:47	Zeiss[つぁいす]	hey, Sio
-0:46	しぐれ	しぉしぉ
-0:40	おg	しお...しお...
-0:39	rapid eye rabbit	しおしお……
-0:29	もののおのの	12
-0:29	天城久秀	きちゃあああああああ！！！
-0:29	趣スケベマン	こんばんは
-0:28	si n	しおしおっ
-0:27	伊吹疾風	しおしお
-0:27	麻雀ビギナーしょーしょん	ｼｵｼｵｼｵｼｵｼｵｼｵ…
-0:27	ずん	しおしおしてきた
-0:26	CarMania E-NA1	待機
-0:24	しあわせターン	待機
-0:24	芋下きぬ	めで待機	￥610
-0:24	十三姫	２位っていうか同率１位だった気がします
-0:22	上海ローマ	銀盾おじさん「銀盾あるな」	￥200
-0:21	アトス	しおしおしてきた
-0:21	やまP	しお....しお.....
-0:21	しおとまかのん大好き丸	こんばんは🌸
-0:17	Ryo	しおしおしてきた
-0:16	桜もち		￥200
-0:16	Ash Alba	しおしおしてきた🌸
-0:14	レプタイル	銀盾おめでとうございます🎉	￥1,140
-0:14	まきすた。	しお…しお…💤
-0:13	BlueMonday	銀盾もう来たんだ、Youtubeこういうのは仕事早いのね
-0:11	プリンスホテル	しおしおしてきた
-0:11	サナ		￥610
-0:11	serion	待機
-0:11	わんたん	しおしおしてきた
-0:10	諦めちゃったけど諦められないれみちゃん446#NCB	しおしおっ
-0:09	Makotola	ここがツイキャス出張版ですか…
-0:09	Nights -O	しおしおっ
-0:08	Kiichang	しおしお…(ヽ´ω`)
-0:07	ダンくま	待機
-0:05	カンザキシン	しおしお
-0:04	ぐぅたら	しおしおしてきた
-0:03	クタビレズク	おめでとう～	￥200
-0:03	ボルツ	しお。。。しお。。。
0:00	嘘800	しおしおしてきた
0:09	Alex Ross	しおしおしてきた
0:10	キャベツ	しお
0:10	ヨシムネ	待機
0:12	HAYASHI TTT	しおしおしてきた
0:12	アイスアイス	きちゃ
0:12	sou ayaton		￥200
0:13	オロロン	しおしお
0:14	りんご田べる	きちゃ
0:14	パイライトテディ	こんばんはー
0:14	ムラ	しおしお♡(∩ˊ꒳​ˋ∩)♡
0:15	チモシーほおばっ太郎	スパチャ読み上げ配信にスパチャ	￥250
0:15	CarMania E-NA1	塩分濃度上昇
0:16	麻雀ビギナーしょーしょん	おふ？
0:16	Nehalem	休息できたかな？ふぁいとやで！
0:17	おきく	しおしお
0:17	ずん	こんばんは🌸
0:17	あのんまのんver.II	こんばんはー🌸
0:17	メイダイン	こんばんはー
0:17	桑原みー	こんばんは～
0:18	おっ	きちゃー
0:18	とろTak庵	こんばんは🌸
0:18	LeirosSkyly[れいろす]	こんばんはー🌸
0:18	グリヴェン	こんばんはー！しおしおー！銀盾かっこいい！！
0:19	J PR	こんばんはー🌸
0:20	真っ黒フウ	こんばんは
0:20	ふぉのん	こんばんはー🌸
0:20	rapid eye rabbit	きたー
0:20	レッドウッドへいぽう	きちゃ
0:21	ね ゙え ゙え ゙	こんばんは～～
0:21	しあわせターン	こんばんは～
0:21	Makotola	こんばんは🌸
0:21	トリフネ	こんばんは🌸
0:21	キャベツ	こんばんは
0:22	ろき	立直棒	￥1,140
0:22	いざよいさくや	こんばんは～
0:22	うみとり	こんばんは
0:22	麻雀ビギナーしょーしょん	おっ
0:22	さぁや	こんばんは〜
0:23	じゃがまきぃ	こんばんはー🌸
0:23	TAKUMI	こんばんは
0:23	Orpheus1221	こんばんはー
0:23	くろう	こんばんは🌸
0:23	ransa ba	こんばんは～
0:23	不思議の国の人形	こんばんは​🌸
0:24	ななみさん	こんばんは🌸
0:24	日高雅治	こんばんはー
0:24	rapid eye rabbit	こんばんは🌸
0:25	コタケリョウ	こんばんわあ！
0:25	サナ	こんばんは
0:25	飛鳥	こんばんはー🌸
0:25	Fumy H	こんばんはー🌸
0:25	ふらう	こんばんはー！
0:26	限界	こんばんはー🌸
0:26	ノカゼ	こんばんはー
0:26	ポリィイイイ	記念配信楽しみにしてた～
0:26	たつた丸	こんばんはー🌸
0:26	朝来乃宮佐夜	しおしおしてきた
0:26	月十字	こんばんは〜！
0:26	serion	しお…しお…
0:26	Ba2O[ばつお]		￥200
0:26	tias estel	こんばんは🌸
0:26	りんほん	こんばんはー🌸
0:27	アイラ	こんばんはー🌸
0:27	むあーん。	ばんわー🌸
0:27	ひこたろ	こんばんはー
0:27	レッドウッドへいぽう	こんばんわー！！
0:27	麻雀ビギナーしょーしょん	きちゃあ！！
0:27	マルコポーロ	きちゃ～
0:27	ミド	こんばんは	￥200
0:28	ドリリングタッピンねじ	こんばんわー
0:29	しまご	こんばんは
0:29	ちゃんちゃんしおしお	こんばんはー🌸
0:29	レモン	こんばんは～🌸
0:30	岩ネコ	こんばんはー🌸
0:30	Takebon	こんばんは🌸
0:30	mezzoforte	こんばんは～
0:30	こやこや	こんばんは～
0:31	のいん	こんばんは～
0:31	雨の宿り木	こんばんは🌸
0:31	どんぐり1986	こんばんは🌸
0:31	みささんべ	こんばんは
0:32	カマキリ星人	こんばんは🌸
0:32	pldra プレドラ	こんばんはー🌸
0:33	ローズマリー	こんばんはー🌸
0:33	shoko haku	銀盾おめでとうございます！
0:33	wanhoho ojisan	🐶こんばんわ～
0:35	マイケル	こんばんはー。
0:35	さんさんさんさんさんさん	こんばんは🌸
0:35	十三姫	こんばんはー🌸
0:35	めたるチクワ	こんばんはー
0:36	とき	こんばんは
0:36	ぐぅたら	こんばんはー🌸
0:36	セラフィーウェア	こんばんは🌸
0:37	6th iPodder	こんばんは～🌸
0:37	ダンデライオン	こんばんはー
0:37	あい	こんばんはー！
0:37	カンザキシン	こんばんは
0:37	うみにん	こんばんは
0:38	とろろ	こんばんは～🌸
0:38	プリヤ氷一郎	こんばんはー
0:38	暁宵	こんばんは～
0:38	Ash Alba	こんばんわー🌸
0:38	はるとら	こんばんはー
0:38	幽谷響	こんばんはー
0:38	21	こんばんは🌸
0:39	Akiteru Fjimoto	こんばんは🌸まったり雑談楽しむぞー
0:39	てぃあミン	親BGM
0:39	O B	こんばんはー🌸
0:39	akki	こんばんはー
0:39	ようχ	こんばんはー
0:39	なしの天然水	こんばんはー
0:39	omi	こんばんはー🌸
0:40	yamappii	こんばんはー！
0:40	あぎだどら	こんばんわー
0:40	Ryo	こんばんはー
0:40	ムラ	こんばんわー🌸
0:40	桜色の図書館	こんばんは🌸
0:40	30 SK	こんばんはー
0:40	架空の人物	こんばんはー
0:41	フェアレディ	こんばんは
0:41	みやまちかげ	こんばんはー！
0:41	セオドル	こんばんはー🌸
0:42	レイザーRR	こんばんは～
0:42	馬宮太郎	こんばんは🌸
0:43	レーマリカヒ	こんばんは〜
0:43	猫島	こんばんは
0:44	紅茶カルピス	こんばんは🌸
0:44	nyatra	こんばんはー🌸
0:45	田代まさし	こんばんはー！
0:45	しぐの	こんばんはー
0:45	ウーパーマン	こんばんはー
0:45	ろっきー	こんばんは
0:45	Alex Ross	こんばんわ〜
0:45	メディ	こんばんは！
0:46	kuromen	こんばんは
0:46	あまなつみかん	こんばんはー
0:46	しゃの	こんばんは🌸
0:47	DA i	こんばんはー
0:48	チモシーほおばっ太郎	こんばんは
0:48	ななこけし	こんばんはー
0:49	佐藤天馬	こんばんは～
0:50	銀河美少年	こんばんは🌸
0:50	ばどしが	こんばんわー
0:51	わんたん	こんばんは
0:51	シャルル・ボネ	S!I!O!S!I!O!
0:51	ななみさん	なんでしょう
0:51	mezzoforte	え？
0:51	とぴあ	こんばんはー
0:51	ぱわーわーど	こんばんはー🌸
0:51	カンザキシン	お？
0:51	おかしろ	銀盾おめでと～～～～～
0:51	ゆういち	ん？
0:51	Nights -O	？？？
0:51	sa	こんばんは🌸
0:51	Westeria	え？
0:51	rapid eye rabbit	なんでしょう
0:52	きなこ	こんばんはー🌸
0:52	HAYASHI TTT	こんばんは🌸
0:52	皇	こんばんは🌸
0:52	田中ふ歳	こんばんわー
0:53	zu ki	こんばんは🌸
0:53	なる	こんばんはー
0:53	しおとまかのん大好き丸	とにかくおめでとうございます🎉🎊㊗	￥300
0:53	桜夏	こんばんは〜！	￥250
0:54	いざよいさくや	ん？
0:54	Cloelia	こんばんはー🌸
0:54	やまぶどう	？？？
0:54	響える	こんばんわー🌸
0:54	ことかげ	うん
0:55	おかしろ	うん
0:55	花吹雪	お？
0:56	霧雨	こんばんは
0:56	姫ノ木あく	こんばんはー🌸
0:57	シルビア	こんばんは
0:57	KA A	こんばんはー
0:58	山本たろう	こんばんは🌸
0:58	びろーん	こんばんは🌸
0:58	雨劉	こんばんはー🌸
0:58	mo's!	こんばんはー🌸
0:58	こけみね	こんばんは
0:58	ばどしが	初手謝罪ｗ
0:58	レッドウッドへいぽう	お？
0:58	雨宮恵	あらら
0:59	serion	こんばんはー🌸
0:59	さみゅ	こんばんは〜
0:59	MA NA	こんばんわー
0:59	kanisora蟹空	こんばんは～
1:00	Ko Ta	こんばんはー
1:00	レイザーRR	あらま
1:00	キミカン	こんばんわ～
1:00	rapid eye rabbit	あらら
1:00	狂詩曲	こんばんは
1:00	かぷ	草
1:00	帰宅RTA	あらー
1:00	コンサイニ!	開幕謝罪
1:00	KA A	あら
1:00	ロザエ	こんばんは
1:00	Astral Clover	あれま
1:00	ななみさん	あらら お大事に
1:00	あのんまのんver.II	草
1:00	鉄おから	こんばんは！
1:00	カンザキシン	あらら
1:01	あぎだどら	あら
1:01	お前ら_	こんばんは🌸銀の盾楽しみだねぇ(*'ω'*)	￥4,040
1:01	Nights -O	だいじょうぶ？
1:01	むあーん。	無理しないでねー
1:01	リベア	大丈夫？
1:02	ゆういち	それは仕方ない
1:02	グリヴェン	まじか！大丈夫？
1:02	芋下きぬ	はよ休め！
1:02	ことかげ	なんてこったいｗ
1:02	ちゃぼうず_cyabouzu	大丈夫？
1:03	ザッハトルテ。	大丈夫？
1:03	NIHO UFO	こんばんはー
1:03	いざよいさくや	あらら…お大事に
1:04	レモン	改めて、10万人おめでとうございます！🌸	￥1,000
1:04	みーや	ありゃま
1:04	Kudrjavka	あらら
1:04	パイライトテディ	何か声違うよね
1:05	やあけ	あらら、お大事に
1:05	妖精の灯り	あらら大丈夫？
1:05	yukime nanashi	こんばんは
1:05	_lili_	あらら、おだいじに
1:05	ゲーマー獅龍	こんばんは〜	￥200
1:05	sakura mituki	おだいじに
1:05	チーズ牛丼	風邪かい？
1:05	限界	大丈夫？
1:05	おかしろ	は～い
1:06	馬宮太郎	お大事に
1:06	十三姫	お大事に
1:06	wanhoho ojisan	大丈夫？
1:06	サナ	あらら、いいよ
1:06	真珠	あらら…お大事に…
1:06	趣スケベマン	喉大丈夫？
1:07	とろろ	いいよ～
1:07	Ryo	量もやばいでしょ
1:07	もるぽん	はなのど調子わるいのねぇ お大事に
1:07	Westeria	あらら無理しないでね
1:07	21	雑談は出来るの？
1:07	ちゃんちゃんしおしお	いいよー
1:07	しおかの推し床フロンターレ	え？大丈夫
1:08	おかしろ	無理はしないで
1:08	明智光秀	銀盾よきでござる	￥200
1:09	レモン	無理しないで…！
1:09	black AYANE	むりしないで～
1:09	ひこたろ	oh…
1:09	Josh	こんばんはー
1:10	のしろん	こんばんはー
1:10	nero大佐	いいよ！
1:10	わんたん	大丈夫？
1:10	国士無双	大丈夫ですか？
1:11	真っ黒フウ	お大事に〜
1:11	ありにゃ	あら、お大事に
1:11	〆作	お大事に～
1:12	TX11 D11	大丈夫？
1:12	otaku bamboo_	こんばんは
1:12	なしの天然水	８時間はやりすぎたんだ……
1:13	taka32 S	こんばんは🌸
1:13	マロニエ	あら大丈夫？
1:14	猫島	耐久のダメージが…
1:14	職業訓練オヂサンの捨てふぁに	無理せずいこー
1:14	アトス	無理しないでいいよ
1:15	あぎだどら	ゆっくり休んでもいいのよ
1:15	おおくそん	龍角散のめっオラッ
1:15	ようχ	お大事に
1:15	なーく	ほいほい
1:15	プリヤ氷一郎	了解です
1:15	杏【きょう】	ほんとだ、やめとこう。てか雑談もあかんやろ
1:15	うぶき	あらまお大事に
1:16	飲む牛乳	無理はなさらず
1:16	チモシーほおばっ太郎	大丈夫かな？
1:16	ReiJougasaki	こんばんは～
1:16	Kudrjavka	大丈夫？
1:16	ダンデライオン	おけ
1:16	ありあす	お大事に
1:17	四季綾ノ乃	大丈夫？？
1:17	司-つかさ-	こんばんわ
1:18	Maywolf	喉お大事に！
1:18	しゃーぺん.	大丈夫ですよ～
1:18	mo's!	無理せんと
1:18	かいちょー	喉大事にー！
1:19	れもみ	あらまぁ…お大事にです。
1:19	ドリリングタッピンねじ	叫ぶと危ないね
1:19	拡散の尖兵	こんばんは
1:19	紫ユウキ	こんばんは🌸
1:20	やまぶどう	お大事に。。。
1:20	ゆもり	喉お大事にね
1:20	マイケル	ＯＫＯＫ
1:20	ミポポ	いいよー！お大事にー！！
1:20	テーク	喉は大事に～！
1:20	けうやぎはすり	安静にね
1:20	岩本敬	生姜湯を飲むと良いよ！
1:21	山田エミール	大丈夫か？
1:21	あまなつみかん	おだいじに	￥1,140
1:21	ruska	ええんやで、お大事に
1:21	おかしろ	喉は大事にしないとね
1:21	西都なつ	こんばんは
1:21	架空の人物	無理しないでねー
1:21	横々	大丈夫？おれマフラーになろうか？
1:22	0oRosettao0	こんばんは
1:22	りんほん	ええよ
1:23	トリフネ	どうぞどうぞ
1:25	帰宅RTA	無理せず
1:25	ちゃんちゃんしおしお	お大事にして・・・
1:26	ろくじょう	無理しないでね
1:26	serion	お大事にー
1:26	フライム	気にすんなよ
1:26	NIHO UFO	お大事に
1:27	しぐの	無理しないで
1:27	はりげね	無理せんでええで
1:27	なじー	のどしっかり休めてね
1:27	あむねこ	お大事にね
1:28	くるん	無理しないでね
1:29	boon	ん？今何でもするって
1:29	とろろ	お大事に
1:29	チィヤ	咳たすかる
1:29	レモン	鼻もその関係か…
1:29	こけウサ	こんばんは～🌸
1:30	ぶるすこ	そも雑談も大丈夫なのか？？？
1:30	エクレールキディ	お大事に
1:30	Akky	耐久で酷使し過ぎやで
1:30	Astral Clover	無理しないでね
1:30	トゥートゥー	お大事にね
1:30	GPE	無理せんでね
1:30	エリクシル	身体大事に!
1:31	rapid eye rabbit	きつそうやねお大事に
1:32	O T	お大事に
1:33	6th iPodder	無理しすぎでは？
1:33	だあでん	お大事に
1:33	暁宵	むしろ明日以降も大丈夫？
1:34	桜花ありす	無理しないでね
1:34	ようすけ	お腹だして寝た？
1:35	紅茶カルピス	お大事にー
1:35	法条裕一	お大事に	￥500
1:35	飛鳥	無理はしないでね
1:35	きなこ	無理しないでー
1:35	かびまる	無理しないで・・・
1:35	どぞう	こんばんはー大会お疲れ様でした！
1:35	30歳副住職	無理しないで
1:36	四季綾ノ乃	無理しないで
1:36	チモシーほおばっ太郎	風邪ひいてるかな？
1:36	罵られて興奮するド変態	銀盾おめでとうございます	￥200
1:36	Tsubasa		￥1,000
1:37	ものくろP	こんばんは
1:37	りんたぁん。		￥250
1:37	グリヴェン	無理しないでね	￥200
1:37	もののおのの	あまり無理なさらずに
1:37	ゆういち	鼻炎もあるよね
1:37	おしゅし修士号	11万人おめでとうございます！！	￥500
1:38	パイライトテディ	エアコンつけっぱでねたか
1:38	Yラシュタ	大会お疲れ様
1:38	藍色	無理は禁物よ
1:38	wanhoho ojisan	🐶無理しないでね💦
1:38	ちゃぼうず_cyabouzu	明日のコラボのために休んだほうが・・・
1:38	もかもか	無理しないでね？
1:38	花吹雪	睡眠しっかりとらないから
1:39	akki	無理しないでね
1:39	849ch	喉の養生の足しに。	￥200
1:39	antidust	あんまり気にしてません。大丈夫ですよ
1:39	ムームー	急に清楚ぶり始めたのかと思ったｗ
1:40	Z旗・ぜっとき	頑張りすぎたんだよ
1:41	しぐの	何回も叫ぶから・・・
1:41	black AYANE	なにしたん(´･ω･`)
1:41	西都なつ	単純な奴？ｗ
1:41	ばどしが	ご自愛くださいな
1:42	白くま	お大事にね…
1:42	ふるーり	ｎｏｔｅとかでもいいのよ？って言うけど読みたいんだろうな
1:42	gontaro	お大事にー
1:42	おおくそん	最近寒暖差がきついからねぇ
1:44	やあけ	無理せんで
1:44	悠々自適	心配だ
1:44	妖精の灯り	無理しないでねお大事に
1:45	エビ天	お大事にね
1:45	友利匡志	大丈夫？
1:45	Kudrjavka	お大事に～
1:45	港区OL		￥100
1:45	此処葉	お腹出して寝たの？
1:46	とろTak庵	喉大事に	￥200
1:46	缶こーひー	今日は配信もほどほどにしときなよ
1:46	アあ	銀銀してきた	￥490
1:47	みかんみかん	お大事に
1:47	真珠	単純なやつか～
1:47	ぐぅたら	単純な奴っすかｗ
1:47	むばぃん	こんばんは～🌸
1:47	由ゆう	ネギいれよ
1:48	sou ayaton	無理はしないでね…
1:48	gucchi7101	寒暖差激しいからね
1:48	みーや	無理せんでね
1:48	嘘800	お大事に
1:48	†すぱいらる†	単純のやつとは？ｗ
