-0:51	伊奈ぴょん	耐久放送やる必要性が見えないのだが･･･
-0:48	6th iPodder	Hello!
-0:48	さんぽプロデューサー	Good evening
-0:47	hsn	しおしおしてきた
-0:46	さーもばりっく	待機🌸
-0:45	Fumy H	しおしおしてきた
-0:43	カラスは可愛いのですよ?	ルー湧きすぎｗ
-0:43	おは	5回言わせたら8時間…
-0:42	メイダイン	しおしおしてきた
-0:42	混ぜ物		￥10,000
-0:39	ちゃぼうず_cyabouzu	Добрый вечер～
-0:37	チースパロー	Sio…Sio…
-0:37	いいさん	待機🌸
-0:37	ありにゃ	#
-0:35	レッドウッドへいぽう	話題振る手腕が問われるぞ
-0:32	なーく#Nark	HARO-!
-0:31	ムームー	ｽﾃﾝﾊﾞｰｲ…
-0:31	中山六郎	挨拶の段階で視聴者が1勝できるのでは
-0:30	Astral Clover	しおしお
-0:28	真珠	しおしおしてきた！
-0:27	Jジェイ	何となくだけど、裏ドラ三桁にはならないよね...？
-0:27	ずん	COCOしてきた
-0:26	mo's!	thio thio
-0:25	湘南シーレ	大柴共
-0:25	si n	しおしおっ
-0:25	はぐるま	シオーワークへようこそ
-0:24	桜色の図書館	しおしおしてきた
-0:24	白桃	サムネかわいい
-0:22	みしまるみしまる	とんでもなく楽しそうなんだが！
-0:22	お前ら_	しお…しお…
-0:21	エビ天	言わせたらそれだけ皆も辛くなるんだよ？とか言ってきそう
-0:21	6th iPodder	It’s shioshio time!
-0:17	上杉謙信	Dio...Dio...
-0:17	れいりす	耐久(視聴者)やぞ
-0:14	いざよいさくや	最低でも5回は言わせないとな
-0:14	妖精の灯り	負けないぞ～！！
-0:13	204βわかる	Waiting🌸
-0:12	ダンくま	はろー
-0:11	木一	待機
-0:11	トキサメ	概要欄読んで楽しく審判するのよー！
-0:08	rapid eye rabbit	しおしおしてきた
-0:07	おかしろ	しお...しお...
-0:06	いざよいさくや	シオ・ワーク
-0:04	Jippa	さて何枚になるかな？
-0:04	わかめ	外来語禁止してきた
-0:04	Nights -O	ハローしおしお
-0:03	高速フーリエ変換	We'll beat KUSUNOKI!! C'moooooon!!
0:00	bito mati	sio! SIO!
0:04	レッドウッドへいぽう	「サムネ」かわいい
0:05	ゆかの妹子	しおしお！
0:06	はりはり	説明する段階で
0:06	_ MAKA	上限あるのかな？
0:10	ほのぼのevening	ステンバーイ
0:11	チースパロー	床CO
0:12	pandoゴネーシャ	良いサムネだぁ
0:13	サカナ	ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!
0:14	takahiro tanaka	Merhaba
0:14	和泉せいいち	絶対負けない！
0:15	Fumy H	здравстбуйте
0:15	芝村	こんばんは～！
0:15	らにふ	こんばんは🌸
0:16	ほわちゃん	しお
0:20	takahiro tanaka	Merhaba
0:20	のぎす	こんばんは
0:21	ダンくま	きたきたー
0:21	うみとり	こんばんは
0:21	ns zn	床ペディアが外来語検索をはじめました
0:23	ムームー	グッドアフタヌーン！
0:23	デシベルたえこ	Mリーグの話でプロは狙い目
0:23	紫ユウキ	こんばんは🌸
0:23	ね ゙え ゙え ゙	こんばんは～～
0:23	がぶりちゅう_	視聴者「も」耐久配信やぞ 最高か
0:24	tias estel	こんばんは🌸
0:24	不思議の国の人形	こんばんは​🌸
0:24	ricoma1205	kita
0:24	ケムリン	こんばんはー
0:24	シャルム	Hello
0:24	暁宵	こんばんは～
0:24	此処葉	こんばんはー🌸
0:24	Westeria	お、広告入った
0:25	ark0125	こんばんは
0:25	ヨウ	こんばんはー
0:25	Jippa	ゲーム開始かな？
0:26	氷水:ひすい	こんばんは～🌸
0:26	沢柳水面	こんばんはー🌸
0:26	Levith	こんばんは🌸
0:26	あい	こんばんはー！
0:27	紫月	こんばんは🌸
0:27	かぷ	こんばんは
0:27	マナギ	こんばんは🌸
0:27	拡散の尖兵	こんばんは
0:27	〆作	こんばんはー
0:27	西都なつ	来たか
0:28	gaty fs	こんばんは🌸
0:28	湘南シーレ	とりあえずカウントでコメ欄を流すと手数が減ってまうな
0:28	オボン	ケーキは外来語だろうか
0:28	Rammy	hi sio 😘
0:28	いざよいさくや	ｷﾀ――(ﾟ∀ﾟ)――!!
0:28	榎本榎本	ハロー
0:29	さっつん	こんばんは
0:30	しばわん	こんばんは！
0:30	ひづるみゆつき	この前の夜勤のゲーム🎮️を観てまたお邪魔しました😅
0:30	トキサメ	こんばんはー🌸
0:30	ふれでぃー	こんばんはー！
