-1:00	HAR	雲龍型土俵入り
-0:59	まむまむり	待機ー
-0:58	FUJI-KEN POWER V	しおしおしてきた
-0:57	きみすまる	平安貴族ニキいらっしゃい
-0:56	si n	しおしおっ
-0:56	はりはり	しお
-0:56	大銀	コメント干乾びタイム
-0:54	AKR OKD	そると
-0:53	omi	しおしお……
-0:53	TX11 D11	待機
-0:53	Evac 1899	しおしお～
-0:53	いざよいさくや	トップ200越えでしょ？意味不明すぎる
-0:50	斎藤真方	しお
-0:49	真っ黒フウ	しおしおっ
-0:49	しまご	しお
-0:48	猫のバロン	しおしお
-0:41	トム	ﾍﾟﾛｯ…これは青酸カリ塩！
-0:41	ねこいゆずりは	お医者さんに怒られるー
-0:39	たっくん00	待機
-0:38	レモンP	しおしおしてきた
-0:37	東京特許許可局勤務の真珠	しお…しお…
-0:36	花吹雪	しおしお
-0:31	犬川いずみ	待機
-0:31	山田エミール	しお(∩ˊ꒳ˋ∩)しお
-0:30	FUJI-KEN POWER V	食塩水おいしいれす
-0:30	tan ge	しろしおー
-0:29	琵琶丸	栞桜さん、2回行動おそれいります
-0:28	あまなつみかん	しおおお....
-0:24	なーく#Nark	60・80・60とかだったね。トップの人
-0:23	はりはり	しお
-0:21	ちかげみやま	しおしおしてきたな
-0:20	きゅーかんばー	待機
-0:18	ぶたどん	間に合った侍
-0:18	文伽	しおしお
-0:17	古鉄	まぁ昨日よりガチになる人多いのは間違いないね
-0:14	121mj	しおしお
-0:12	レッドウッドへいぽう	血圧あがってきたな
-0:12	mezzoforte	しおしお
-0:10	しゅんいち	しおちゃんすき
-0:08	ガリガリマン	（＾ω＾）ﾍﾟﾛﾍﾟﾛ
-0:07	Nights -O	こんにちはー
-0:05	Kiichang	しおしお…(ヽ´ω`)
-0:05	サイコロ	栞桜ってきた
-0:02	はりはり	一回は役満含む大トップが必要
-0:01	倉内ひろ	塩分こいめで1
-0:01	-デビッド-David	15時のおやつはしおラーメン
0:00	妖精の灯り	今日も楽しみだなぁ
0:04	芝村	おーおーおおー
0:05	いざよいさくや	こんにちは
0:06	琵琶丸	60・80・60・・・雀鬼か何かかな？
0:09	ns zn	そろそろ血抜くか
0:09	Orpheus1221	しおしおしてきた
0:09	アル	しおしお
0:10	犬川いずみ	楽しみー
0:10	嘘800	しょっぱくなってきた
0:10	サカナ	ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!
0:11	なーく#Nark	こんちゃーっす
0:14	半袖	こんにちはー
0:14	ろっきー	おしおど~ん
0:14	あるてみす	待機
0:15	グリヴェン	こんにちはー！しおしおー！
0:15	ユーミン	こんにちは～
0:15	筆記丸	こんにちは🌸
0:17	テーク	お！
0:17	ね ゙え ゙え ゙	こんにちは～～
0:18	はえよい	きたかっ
0:18	ミポポ	こんにちはー🌸
0:18	レイザーRR	きた！
0:18	FUJI-KEN POWER V	こんにちはー
0:19	ノカゼ	こんにちは
0:19	拡散の尖兵	こんにちは
0:20	此処葉	こんにちはー
0:20	レッドウッドへいぽう	ｷﾀ――(ﾟ∀ﾟ)――!!
0:20	りんほん	こんばんはー🌸
0:21	nao 77	こんにちは
0:21	ヨタ	こんにちはー
0:21	ちかげみやま	こんにちはー🌸
0:21	秦霧羽	しおしおしてきた
0:22	あるて	こんにちは〜
0:22	不思議の国の人形	こんにちはー
0:22	sumk27	こんにちは🌸
0:22	おかしろ	こんにちわ～🌸
0:23	ろき	塩分摂取の時間
0:23	Evac 1899	こんばんは！🌸
0:23	ナオ	こんにちはー！
0:23	のらキリン	こんにちは！
0:23	やまP	しお...しお....
0:23	key ton	こんにちは🌸
0:23	あおみクリオネ	しおしお
0:23	りんご田べる	来た！
0:23	まむまむり	こんにちはー
0:24	VF ジン【UD】	こんにちはー
0:24	がっち	こんちは
0:25	ヘロン	こんにちはー
0:25	月十字	こんにちは！
0:25	LOG	こんにちは＝！
0:25	サカナ	こんにちはー🌸
0:25	keg-on{けごん}	こんにちは🌸
0:26	おかしろ	開始ツイートえらい
0:26	芝村	こんにちは～！
0:27	花吹雪	こんにちわー
0:27	バルビン	こんばんわー🌸
0:27	東京特許許可局勤務の真珠	こんにちは～！🌸
0:27	十三	こんにちは
0:27	冬虫夏草	こんにちはー！
0:28	紫ユウキ	こんにちは🌸
0:28	つくね	こんにちはー
0:28	mo's!	こんばんはー
0:28	おは	こんにちは🌸
0:28	zu ki	こんにちは
0:28	ろくじょう	こんにちはー🌸
0:29	ちんもくバード	しおしおしている
0:29	限界	こんにちはー
0:29	鉄おから	こんにちはー
0:29	ザッハトルテ。	こんにちは！
0:29	彗星夜	こんにちはー
0:29	ほわちゃん	こんにちはー
0:30	みささんべ	こんにちは
0:30	トキサメ	こんにちはー
0:30	雨宮恵	こんにちはっ🌸
0:30	かえるライダー	こんばんは～🌸
0:30	ガリガリマン	こんにちはー
0:30	ark0125	こんにちは
0:30	koko	こんにちは〜！！
0:31	U- G	こんにちは
0:31	猫のバロン	こんにちわ🌸
0:31	ゆんゆん	こんにちは～
0:32	くめせん	こんにちはー
0:32	アラモード	こんにちはー
0:33	Badluck-shvine	こんにちはー🌸
0:33	カンザキシン	こーんちゃ！
0:33	ケケ	こんにちはー！！
0:34	Leiros Skyly	こんにちはー🌸
0:34	あい	こんにちはー！
