-1:12	たまごやきたまごやき	裏ドラ3枚乗せるまで終われません！よりは早く終わりそうなきがする
-1:11	_ MAKA	なるほどありがとうございます
-1:11	嘘800	天鳳位どれだけ化け物なん・・・？
-1:09	れいりす	徹夜かな？
-1:08	いざよいさくや	徹夜の日
-1:06	アリス・バレンタイン	来るぞ
-1:06	leno nowhere	塩漬けなう
-1:06	ダンくま	待って！４麻とは言ってないからサンマに逃げるという手も・・・
-1:06	芝村	だからマウス買う人が多いと栞桜ちゃんも言ってたんだね
-1:03	shun	待機
-0:55	ばたぁ	レート耐久かぁ
-0:52	Orpheus1221	徹夜だけじゃ1800点にならなよ
-0:51	山田エミール	しお(∩ˊ꒳ˋ∩)しお
-0:50	古鉄	想像がつかないくらい化け物やで
-0:48	ぶたどん	きちゃ
-0:48	なーく#Nark	RATEは本当に徹夜になりかねないけれど…ｗ
-0:48	レモンP	裏ドラ3枚は「一生配信続けます」と同義
-0:47	おは	明日も仕事だから見れるとこまでにしとこ…
-0:47	si n	しおしおっ
-0:45	おかしろ	しお...しお...
-0:43	紅波	しおしおしてきましたね( ˙꒳​˙ᐢ )
-0:42	しんたろ	麻雀ロボなのでエネルギーがあればいける？
-0:41	Jジェイ	三麻は初段です...
-0:40	Nights -O	しおしお
-0:39	しまご	しお
-0:37	姓名	この子の打ち方見てると攻撃より防御の方が光ってる感あるんだけどね。素人目線だがｗ
-0:31	SOS	カッコいい
-0:28	カンザキシン	何日配信になるやら
-0:26	お前ら_	追われなくて寝言配信になることを期待
-0:24	橙すうくるり	天開司も公開特訓やってたからな
-0:24	なぎしき	しおしお
-0:21	やまP	しお...しお....
-0:18	いざよいさくや	昨日のMリーグの風林火山みたいなことになったらそりゃマウス壊しますわ
-0:18	沢柳水面	しお…しお…
-0:16	はえよい	そんな天鳳位が出荷されてる放送があるらしい
-0:15	なーく#Nark	栞桜ちゃん防御寄りだねぇ
-0:14	ねこみらーじゅ	天鳳だとラス回避麻雀になるから防御寄りになりそうではある
-0:09	やまぶどう	おしおどーん
-0:09	sumk27	しおしおしてきた
-0:07	茶とら	今レートどれくらいなんだろ
-0:05	【 叶 】magica〝桜一色〟	しおしお
-0:03	ギンジ	しおしお
-0:02	Orpheus1221	昨日あれは仕方ないよw
-0:02	よふかし	しおしお
-0:02	みんきー。	ｼｵｼｵ…………ｼｵｼｵ………………
-0:02	メイダイン	しおしおしてきた
0:00	不思議の国の人形	すぐ降りがちだからなぁ
0:05	エビ天	しおしおしてきた
0:05	ムラ	サムネかっこいい
0:06	計喜	しおしお
0:09	Akiteru Fjimoto	しおしおー
0:09	03cco【〇〇っこ】#NCB桜座戦2位	しおしおしてきた
0:11	ハクトウ	きｔ
0:12	ShingoMk-Ⅱ	こんばんは～🌸
0:13	サカナ	ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!
0:13	じゃがまきぃ	しおしお
0:15	筆記丸	こんばんは🌸
0:15	芝村	こんばんは～！
0:15	ね ゙え ゙え ゙	こんばんは～～
0:15	ぶたどん	きちゃちゃ
0:15	はえよい	きちゃー
0:16	シモンヌ	ｷｬｰｼｵﾁｬｰﾝ
0:16	marianne van tienen	きちゃああああああああああああああああああああああ
0:17	ヨウ	こんばんは
0:17	Makotola	こんばんは🌸
0:17	なーく#Nark	こんばんはー🌸
0:17	sルーク	こんばんは～
0:17	ユーミン	こんばんは～
0:17	太陽の塔	くるぞ
0:18	ヤン3928	しおしおしてきた
0:18	グリヴェン	こんばんはー！しおしおー！
0:18	Jジェイ	牛さんのアレは悲惨だった
0:19	Westeria	こんばんはー
0:19	醤油砂糖	このヒト結構三位の女だからじり貧になってる未来が見えるな...
0:19	らにふ	こんばんは🌸
0:20	ねこいゆずりは	こんばんはー
0:20	ark0125	こんばんは
0:20	Orpheus1221	こんばんはー！
0:20	高速フーリエ変換	こんばんはー
0:21	ムームー	こんばんはー！
0:21	leno nowhere	明け方にマジのギャン泣きしてほしい
0:21	トンキン湾の人喰い虎	こんばんは🌸
0:22	ザッハトルテ。	しおしお
0:22	あやややや	こんばんはー
0:22	らん	こんばんは
0:22	サカナ	こんばんはー🌸
0:22	Nights -O	こんばんはー
0:22	拡散の尖兵	こんばんはー
0:22	omi	こんばんはー
0:22	ヨタ	こんばんはー
0:23	ネムレス	こんばんは～
0:23	のすのす	ばんわ
0:23	ぎんいろ	こんばんはー
0:24	rapid eye rabbit	こんばんは🌸
0:24	みのる	こんばんはー
0:24	〆作	こんばんはー
0:24	燻しTak庵	こんばんはー🌸
0:24	north tatsu	天鳳初段になったぞ
