-0:21	からんびっと	おめでとうございます！
-0:20	捨てふぁにコロナショックで失業決定	お誕生日おめでとうございます！こんな御時世ですが栞桜ちゃんの声や楽しそうにしている姿に救われます！psこんな情勢でも推しの誕生日位自由に応援してもいいよね!？	￥4,040
-0:20	Makotola	こんばんは🌸誕生日おめでとうございます！
-0:19	アあ	しおしおしおしおしおっしお
-0:18	Jジェイ	さて...くるぞ...
-0:17	夜月	ざわわ…
-0:17	ことこと	栞桜ちゃんお誕生日おめでとう！	￥1,000
-0:16	pandoゴネーシャ	しおっしおっ
-0:16	Aria Yuna	待機
-0:16	姫ノ木あく	来たしお
-0:15	フィーユ。	お目でと尾おおおおおおおおおおおおおおお
-0:15	突撃兵3873号	しお
-0:14	立花ミナタ	お誕生日おめでとうございます！！	￥10,000
-0:13	せしのれ	誕生日おめでとうございます！いつも楽しませてくれてありがとう！	￥10,000
-0:13	桑原みー	しおちゃん尾誕生日おめでとうー！	￥200
-0:12	tassy	誕生日おめでとー！	￥500
-0:12	ザッハトルテ。	お誕生日おめでとうございます！	￥1,000
-0:12	変態南北	しおしおしてる
-0:11	趣スケベマン	こんばんは
-0:10	カレーうどん	おめでとうございます	￥2,000
-0:09	ガリガリマン	待機
-0:09	麻雀ビギナーしょーしょん	おめでとー！
-0:08	ありにゃ	栞桜ちゃんお誕生日おめでとう
-0:07	フラグクラッシャー	動画の説明欄見たけど結局歳いくつなんだ・・・
-0:07	むあ。	たいきー お誕生日おめおめー✨
-0:06	まふぃー	お誕生日おめでとうございます
-0:06	レッドウッドへいぽう	くるぞ
-0:06	ダイヤモンドセカイ	うおおおお
-0:05	あべかわもち	栞桜ちゃんおめでとう
-0:05	Gyamo丸	しおしおしてきた
-0:04	Orange BeeBee	間に合った！
-0:04	おいもちん	おめでとうございます。
-0:04	mischa	お誕生日おめでとうございます。
-0:04	烈火雪月	しお…しお
-0:04	うえってぃR	お誕生日オメデトウございます！！	￥1,140
-0:04	ちゃんあるん	誕生日おめでとう！素敵な1年になりますように	￥1,140
-0:04	ふむふむ	お誕生日おめでとうございます🌸
-0:03	ポンコツ星人	しおしおしてきた
-0:03	おは	さて
-0:03	ノネム	めでてえ
-0:03	pldra プレドラ	誕生日おめでとう！	￥1,140
-0:02	タニシ11201	しおしお...
-0:02	斎藤真方	お誕生日おめでとう栞桜ちゃん！！！！	￥1,220
-0:01	銀河美少年	栞桜ちゃんお誕生日おめでとう🎉🎉🎉	￥1,140
-0:01	しあわせターン	お誕生日おめでとう🎊🌸	￥1,000
-0:01	FJK エンタメ	誕生日おめ🎉
-0:01	Fairy Snow	こんばんは🌸お誕生日おめでとう！！
0:00	V沼ぼーるず	お誕生日おめでとう！
0:00	こげのぜろきち	間に合ったあああああ
0:04	やまぶどう	栞桜ちゃんおめでとう！大好き！	￥1,140
0:05	help	待機
0:05	ひなの羽衣 / Hinano Ui	しおしおしてきた
0:05	鶏肉焼太郎	生まれてきてくれてありがとう	￥610
0:05	6th iPodder	しお...しお...
0:06	桜宮	こんばんは。待機🌸
0:09	さまりば	おめでとうございます。
0:10	ザッハトルテ。	お誕生日おめでとうございます！
0:10	真珠	今日は泣くぞ！絶対泣くぞ！
0:12	鍵桜-かぎざくら-	誕生日おめでとう🌸🌸🌸🌸	￥1,140
0:12	asakota	おめでとうございます🎊
0:13	Cloelia	おめでとー
0:13	ぶたどん	きちゃちゃの茶
0:13	はえよい	うおおおおおおお
0:14	十三姫	お誕生日おめでとう🎉
0:14	kai	おめでとー
0:14	きのこたけのこ	お誕生日おめでとう！これからもずっと応援してます！	￥1,000
0:14	パリッコ	お誕生日おめでとう
0:14	Tak庵[柚子栞桜味]	誕生日おめでとう🌸
0:15	グリヴェン	こんばんはー！しおしおー！
