-2:56	なじー	おはようございます！	￥1,000
-2:52	さーもばりっく あっと 大艦巨砲主義	待機🌸
-2:51	ばどらっく	4,5面打てる子に今更二面打ちでおかしいって言われてもだな
-2:47	ろくじょう	おはようございますー🌸	￥500
-2:37	zu ki	待機
-2:29	六花[リッカ]	2面うちが「あっ、いつものか」で流してしまうリスナー
-2:29	氷水	しおしおしてきた🌸
-2:28	うずら	待機
-2:14	キャベツ	待機
-2:11	sakkon	夜勤終わりの身体に栞桜ちゃんの配信が染み渡る	￥500
-2:09	330		￥200
-1:58	夕凪〇	おはようございます🌸
-1:57	エビ天	仕事前にちょっとだけ
-1:56	suta agera	起きたら枠があって嬉しい
-1:55	Z旗・ぜっとき	おはようございます
-1:51	ささかま。	しおしおしてきた
-1:49	金色犬	朝なら裏ドラ乗るかい？
-1:38	みーや	朝から配信嬉しい～
-1:32	ダンくま	待機
-1:27	紅星 -Akaboshi-	早起きえらい🌸	￥500
-1:27	ビロード	ノンストップで8時間2面打ちしてたし今さら感.... やっぱりおかしいな?
-1:26	あきら	しおしおしてきた
-1:24	真珠	しお…しお…
-1:20	東雲爛	おはようございますー
-1:14	アトス	しおしおしてきた
-1:14	とき	おはよう待機
-1:11	Ash Alba	しおしおしてきた🌸
-1:07	マルコポーロ	徹夜でじゃんたましてまし待機
-1:05	真っ黒フウ	しおしおっ
-1:05	あきら	仕事終わりに来ました
-1:02	みーや	しお…しお…
-0:58	かっぺい	朝活とは新鮮で嬉しい
-0:42	六花[リッカ]	しお…しお…
-0:42	*ねう*	しおしお〜
-0:36	真珠	夜勤の人、お疲れ様です…！
-0:34	Nagatuki P	そろそろかな？
-0:33	キャベツ	しお
-0:30	レプタイル	おはようございます☀	￥500
-0:30	クロシロ	おはようございます
-0:23	Sea weed	最近配信頻度高い
-0:23	シューマイ,シャトルぱーそなる	おはしお～～(/・ω・)/
-0:22	やる夫	おざまーす
-0:18	F 7	おはしお
-0:17	corg	おはようございます！！
-0:17	hey siri	おはよーございます！
-0:16	s y	運転のラジオがわりやー、おはようこざます
-0:13	ルクス-luchs	おはよー
-0:10	yokan neri	おはようございます！
-0:09	くぅくぅ	おはしお〜
-0:08	1 Private	初見です
0:09	ゲーマー獅龍	おはようございます〜('ω')三( ε:)三(
0:11	ramna	おはようございます。本日もよろしくお願いいたします。
0:12	メイダイン	おはようございます
0:12	グレート森	おはようございます！
0:12	パイライトテディ	おはようございます～
0:13	ポッキー	おはしおー
0:13	やまぶどう	左上のひよこ牌かわいい、
0:14	山田計	おはようございます
0:16	とき	きたああああああああ
0:17	鳳桐花	おはようございます
0:18	shigure tokiame	おはようございま～す
0:18	灰冬かほ	おはよーーー
0:18	じゃがまきぃ	おはようございます🌸
0:20	えいの	おはようございます
0:21	LAB	おはようございます
0:23	Nagatuki P	おはようございます🌸
0:23	沢柳水面	おはよ～🌸
0:23	ワ・カ・メ	おはようございます！
0:23	ノーダ	おはようございます
0:23	月十字	おはよ〜！
0:24	kuromen	おはようございます
0:24	samida五月	おはようさん
0:24	ものくろP	おはよー
0:25	アトス	おはようございます🌸
0:25	森林	おはようございます
0:25	あくた	おはようございます～
0:25	ちっそむし	おはようございます
0:25	八雲	おはよーございます	￥200
0:26	ユーミン	おはよ～
0:26	キャスマル	twitter見てなかったから急に予約きて驚いたぜ
0:28	ぷるぷる運輸倉庫	おはよーーーー
0:28	donn donn	おはよー
0:28	あいりす	おはようございます
0:28	あのんまのんver.II	おはよー🌸
0:28	かげちよ	おはようございます🌸
0:29	ネムレス	おはようございます！
0:29	ナゴツク	おはようございます🌸
0:29	のぎす	おはようございます
0:30	らうめん	おはようございます！
0:30	槍御太一	おはよーございまーす
0:30	sakkon	おはようございます
0:31	siraison	おはようございます
0:31	ろっきー	おはざいます
0:31	あい	おはよー
0:31	LOG	おはようございます！
0:31	氷水	おはようございます！
0:32	おかしろ	おはようございます🌸
0:32	sa	おはようございます🌸
0:32	キャベツ	おはようございます
0:32	東雲爛	おはようございます
0:32	メディカタカタさん北桜神話	おはようございます
0:33	りってぃー	おはようございます
0:33	sim	おはよう
0:33	シヴァ村卯月	おはよーおはよー🌸
0:33	村人D	おはようございます
0:33	あきら	おはよう
0:34	シラン	おはようございます🌸
0:35	くろしば	おはようございます🌸
0:35	和野晋太郎	おはようございます
0:35	ねすてぃ	おはよー
0:36	full53100	ohayou
0:36	六花[リッカ]	おはようございます🌸
0:36	岩ネコ	おはよー🌸
0:37	LW	おはようございます！
0:37	ruska	おはようございます～
0:37	ロザエ	おはようございます！
0:37	藍音	おはようございます
0:38	ようすけ	おっはー
0:38	Takebon	おはようございます🌸
0:38	key ton	おはやうございまふ🌸
0:38	とき	おはよう
0:38	ポスポピペロペロ	おっはー！
0:39	シギント_Live	おはようございます
0:39	キムワイプ-SDS-PAGE	おはようございます！
0:39	のくと	おはよー
0:39	ID:ALiST	おはようございます。
0:40	かぷ	おはようございます🌸
0:40	Westeria	おはよー
0:41	芝村	おはよう～
0:41	たっと	おはようございます
0:41	ばどらっく	おはようございます🌸
0:41	汐岡崎	おはようございます〜
0:41	桜夏	おはよ〜！	￥250
0:42	司令_つかされい	おはよう
0:42	% ショウ%	おはよう〜	￥610
0:43	花吹雪	おはよーーー🌸
0:43	こけウサ	おはようございます
0:43	あきら	おはようございます！
0:44	紅星 -Akaboshi-	おはよー🌸
0:44	シューマイ,シャトルぱーそなる	早起き出来てエラいぞ！！！​( ˘ω˘)ｽﾔｧ…	￥500
0:44	真っ黒フウ	おはようございます
0:45	真珠	おはよー！🌸
0:45	Z旗・ぜっとき	おはようございます🌸
0:45	zu ki	おはよう
0:46	ちゃんちゃんしおしお	おはようございまーす！
0:46	飛びフライ	おはようございます🌸
0:46	エクレールキディ	右アームについて行く楠栞桜
0:46	/// sumika	おはようございます～
0:46	東雲爛	打ってて遅くなったな？
0:46	キャベツ	既に打ってる
0:46	沢柳水面	もう打ってるｗ
0:46	ささかま。	おはようございます！
0:47	ばどらっく	もう打ってて草
0:47	Amelia	草
0:47	namaccha tasty	もうやってるー
0:47	*ねう*	おはよぉ
0:47	のくと	すでにはじめてて草
0:47	ネムレス	もう打ってるｗ
0:47	グラコロ	おはようございます
0:47	道中	おはようございます
0:47	ぶるすこ	おはようございます🌸
0:47	Yu sakura	おはようー
0:47	うずら	おはよー
0:48	氷水	もうやっとるぅ～！！？
0:48	じゃーく	おはよう
0:48	corg	いや草
0:48	まぬけの摩耶	おはよう	￥500
0:48	Ba2O	おはようございま
0:48	ろっきー	案の定もう打ってる
0:49	下大久保	もうやってて草
0:49	パイライトテディ	もううってる・・・
0:49	マルコポーロ	当たり前のようにに窓してて草生える
0:49	あきら	もうやってて草
0:49	sルーク	おはようございます！
0:49	あい	既に打ってて草
0:50	おかしろ	既に2面打ちしているだと！？
0:50	Luna	おはよー
0:51	ものくろP	おはようのチー！
0:51	ビロード	もう始まってて草
0:51	破天功	おはようごｚ・・・もうやっとるが
0:51	クリスティン.	おはよー！
0:51	full53100	普通に二面打ちしてるの草
0:52	sdvg	​おはようございます
0:52	月桂樹【げっけいじゅ】	おはようございます！
0:52	汐岡崎	既に始まってる
0:52	月二叢雲花二風	！？
0:52	とぴあ	おはようございますー
0:52	厩かる	おはようございます
0:52	大井御茶	おはようございます、もうやってるしｗ
0:52	芝村	もうやってるしｗ
0:53	彼岸	すでに打ってた
0:54	namaccha tasty	おはようございます！
0:54	やまぶどう	おはよーってええええ
0:55	F 7	おはよう🌸チー
0:55	てぃあミン	すでにはじまってて草
0:55	さささしさすさせ	もう打ってる！
0:55	はえよい	おはようございます🌸もうやってるw
0:56	*ねう*	いきなり
0:56	孤高の探索者	栞桜ちゃん、おはようございます！
0:56	花吹雪	もう打ってて草
0:57	エビ天	おはようございます！
0:57	ロジー	おはようござい
0:57	帰宅RTA	おはよー
0:57	SHINJI.K	おはようございます！
0:58	あいりす	もう始まってる
0:58	すてら	もう打ってる
0:58	いなばんぐ	おはよう…もうやってるｗｗｗ
0:58	あのんまのんver.II	当然のように2面ですでに始まってて草
1:00	疾風	おはよう👋😆✨☀️
1:00	グリヴェン	おはようございますー！しおしおー！
