-1:01	順平	ニーア初見だからうれしい
-0:58	あきら	間に合った
-0:58	山本たろう	アクション上手そうだし、ノーマルでもいけるんじゃない❓️
-0:57	ププリンΩ	しお…しお…
-0:57	Orpheus1221	しお...しお...
-0:55	たけどーら	待機
-0:55	嘘800	三色！？（ｶﾞﾀｯ）
-0:54	カラスは可愛いのですよ?	しおしおっ！
-0:50	おかしろ	麻雀マシーンがついに感情を！？
-0:46	みーや	ネタバレはスルーでいいのでは？
-0:45	K Tony	しお…しお…
-0:44	玄米茶	ネタばれコメは即ブロックかな～
-0:43	とろTak庵	しお…しお…
-0:43	天城久秀	最初はイージーでやってほしいな
-0:43	Tetsu	久々に待機、
-0:40	ムラ	サムネかっこいい
-0:37	にゃえぬも	ネタバレ：犯人はヤス
-0:37	モモンガ 建築祭初代MVP	最初から結構酷だから楽しみ
-0:36	ns zn	ニコニコじゃねぇんだから煩く言わんでも平気やろ
-0:35	四季綾ノ乃	しお…しお…
-0:34	スズメがサンバ	こんばんは
-0:33	やまP	しお...しお...
-0:30	ププリンΩ	自分もニーア初見だなぁ
-0:28	ミルクレープコーヒー	生放送初見だから楽しみ
-0:28	グレブナー基底	しおしお…
-0:28	ういろうおにぎり	三色おじさんの居場所もここにはないです
-0:27	このkz	割と涙もろい定期
-0:27	ぴよぴよ丸。	サムネ綺麗すぎる
-0:26	おいもちん	しおしお
-0:24	あきら	サムネかっこよ
-0:22	汐岡崎	たーーのーーしーーみーーー
-0:17	奇行子	こんちゃーす
-0:17	Orpheus1221	シンはジェクトだ！
-0:17	ミキわっち	しお…しお…
-0:16	有栖ライム	しおしお
-0:14	pandoゴネーシャ	しおっ
-0:14	なんたらかんたら公太郎EX	こーんばーんわぁ
-0:14	嘘800	ネタバレ：コナンは新一
-0:11	もう無理だ	スッ
-0:08	ぶたどん	きちゃ
-0:05	芋下きぬ	先置きえっちじゃん代 初見ゲーム楽しみだ	￥610
-0:05	タニシ	待機
-0:05	hsn	しお…しお…
-0:05	ププリンΩ	このサムネ凄いよねぇ
-0:04	たいし76567	めっちゃ楽しみにしてた・・・
-0:04	あおみクリオネ	間に合った！
-0:04	黄月英	ニーアやってくれるの嬉しすぎる
-0:04	颯斗	このゲーム最初焦る
-0:01	s y	ネタバレ
0:00	ばどらっく	割とどころじゃないやろ
0:02	Orpheus1221	しおしおしてきた
0:03	筆記丸	こんばんは🌸
0:08	らにふ	こんばんは🌸
0:10	テーク	しおしお
0:12	コロナで無職マンの捨てふぁに	サムネめちゃ美人
0:12	真っ黒フウ	こんばんは！
0:13	とんぬらやん	こんばんは〜！
0:15	卜キサメ	ネタバレや鳩は静かにブロックがスマートやね
0:16	あぎだどら	こんばんわー
0:17	わかめ	こんばんはー！
0:17	帝龍姫	神ゲー
0:18	高速フーリエ変換	こんばんはー
0:18	ユズ	こんばんは🌸
0:18	トリフネ	こんばんは🌸
0:18	ゲーマー獅龍	好きなゲームやってもらえるのはありがてぇなぁ	￥200
0:20	ななみさん	こんばんは🌸
0:21	ギンジ	こんばんはー
0:21	おっ	こんにちはー🌸
0:21	Josh	こんばんはー
0:21	うみとり	こんばんは
0:21	ププリンΩ	しお…しお…
0:21	彗星夜	こんばんはー🌸
0:22	sora neko	このゲーム名前しか知らないから楽しみ
0:22	紫月	こんばんは🌸
0:22	sルーク	こんばんはー
0:22	ミポポ	こんばんわー
0:22	レイザーRR	こんばんは～
0:22	らいむ	こんばんはー
0:23	帰宅RTA	こんばんはー
0:23	嘘800	きちゃ！
0:23	ark0125	こんばんは
0:23	SHINJI.K	こんばんは🌸
0:23	おにぎりせんべい	こんばんはー
0:23	キャットフィッシュ	こんばんは
0:23	りんほん	こんばんはー🌸
0:23	のしろん	こんばんはー
0:24	Westeria	こんばんはー
0:24	あるて	こんばんは〜
0:24	ミルクレープコーヒー	こんばんは〜！
0:24	いざよいさくや	ｷﾀ――(ﾟ∀ﾟ)――!!
0:25	ぴよぴよ丸。	塩塩
0:25	ふぉのん	こんばんは🌸
0:25	リコールレーション	こんばんはー
0:25	カマキリ星人	こんばんは🌸
0:26	ね ゙え ゙え ゙	こんばんは～～
0:26	CCR	こんばんはー１
0:26	グレブナー基底	こんばんは
0:26	あナタのうシロにぱーそなる	こんこん！！
0:27	不思議の国の人形	こんばんは​🌸
0:27	桜葉漬け	こんばんはー🌸
0:27	keg-on{けごん}	こんばんは🌸
0:27	グリヴェン	こんばんはー！しおしおー！
0:28	ぶたどん	きちゃちゃの茶
0:28	拡散の尖兵	こんばんは
0:29	山田エミール	こんばんは🌸
0:29	飛鳥	こんばんはー🌸
0:29	くりくん	サムネの質感すごいなぁ
0:30	卜キサメ	こんばんはー
0:30	おかしろ	こんばんわ～🌸
0:31	ムラ	こんばんわー🌸
0:31	レッドウッドへいぽう	こんばんわ
0:31	トゥートゥー	こんばんは～
0:31	ネッシー	しおしおウィーク開幕だぁぁぁ	￥1,140
0:31	たかちゃん	こんばんは
0:32	有栖ライム	こんばんは🌸
0:32	kuromen	こんばんは
0:32	銀河美少年	こんばんは🌸
0:33	Z旗・ぜっとき	こんばんは～🌸
0:33	Orpheus1221	こんばんはー
0:34	斎藤真方_マサカタ_	こんばんは
0:34	じゃがまきぃ	こんばんはー🌸
0:34	雨宮恵	こんばんはっ🌸
0:34	れいりす	こんばんわ🌸
0:34	芋下きぬ	こんばんわー
0:34	きなこ	こんばんはー🌸
0:35	ミド	こんばんは	￥200
0:35	あおみクリオネ	こんばんはー
0:35	寝落ちのJ	こんばんは🌸
0:35	〆作	こんばんはー
0:35	あきら	こんばんはー
0:36	Akiteru Fjimoto	こんばんは🌸
0:36	みささんべ	こんばんは
0:36	ケケ	こんばんはー！
0:36	レーマリカヒ	こんばんは～🌸
0:36	ねみみん	こんばんわー🌸
0:36	レプタイル	こんばんはー
0:36	ハマチ	こんばんは
0:36	さみゅ	こんばんは〜
0:37	ものくろP	こんばんは～
0:37	しまご	こんばんは
0:38	si n	こんばんは～
0:38	H kata	こんばんは～🌸
0:38	rapid eye rabbit	こんばんは🌸
