-0:55	ぜっトンインパルス	た
-0:54	si n	しおしおっ
-0:54	コロナで無職マンの捨てふぁに	しおしおしてきたぁぁぁ🌸
-0:52	氷水	しおしおしてきた🌸
-0:51	がっち	こんしお
-0:49	壊れるほど愛してたんだけど栞桜に10分の1も伝わらなかったべべっち	しおしお・・・！！
-0:49	ささかま。	しおしお
-0:48	木一	待機
-0:48	やまP	しお...しお....
-0:47	ういろうおにぎり	せっかくだから最大音量で聴くぜ！
-0:47	太陽の塔	明日仕事でも４時くらいならイケまっせ！
-0:46	Fumy H	しおしお
-0:44	いいさん	待機🌸～
-0:43	はりはり	しお
-0:42	あのにます	塩… 塩…
-0:38	spishu	早朝出勤だが？
-0:38	コロナで無職マンの捨てふぁに	塩分過多定期
-0:37	mezzoforte	待機🌸
-0:36	y軸	待機
-0:33	トリウナギ	しお…しお…
-0:31	wildcat5314	塩分上昇・血圧上昇
-0:28	Jジェイ	栞桜ちゃんの雑談は...何週間ぶりだ？
-0:28	桜色の図書館	まにあったまにあった
-0:27	help	しお…しお…
-0:26	首都ブラジリア	イヤホンしました
-0:26	指定暴カ団竹書某	お父さん寝ているかなぁ？
-0:23	a i	しっおしおにしてやんよ
-0:19	shimo 636	しおしお
-0:19	のすのす	塩分補充に来た
-0:18	倉内ひろ	しお濃い目で
-0:18	のしろん	塩分濃高まってきた
-0:13	たけどーら	しおしお
-0:11	グレード	しおしお
-0:10	a i	きたーーー？？
-0:09	ばどしが	待機
-0:08	レッドウッドへいぽう	塩分ください
-0:08	taka32 S	しおしお
-0:06	桜月マサ	しおしお
-0:06	Nights -O	血圧がやばい
-0:05	シャルム	しおしお
-0:04	朱羅	きちゃ
-0:04	いざよいさくや	小声絶叫
-0:03	フライム	し
-0:02	山北	しおしお
0:00	流石乃ジュダリン	しょっぱくなってきた
0:00	朝永空	しおしおしてきた
0:12	ピンヒロ	さとう…さとう…
0:12	丘小路亭しば太_OkacoroTeiShibata	へい
0:13	太陽の塔	しお漬けだぁ～！
0:13	司-つかさ-	しおしおしてきた
0:15	。超大型小人	塩濃度高まってきた
0:17	むあ。	お
0:17	カンザキシン	しおしお
0:17	神無月健二	しおしお
0:19	雨宮恵	こんばんは🌸
0:19	マナギ	こんばんは🌸
0:20	はりはり	しお
0:20	。超大型小人	しおしお
0:20	ギンジ	しおしお
0:21	法条裕一	しおしお
0:21	ねこいゆずりは	こんばんは
0:21	グリヴェン	こんばんはー！しおしおー！
0:22	趣スケベマン	こんばんは
0:22	ark0125	こんばんは
0:22	スーパーガク	しょっぱくなってきた
0:22	芝村	こんばんは～！（深夜帯突入
0:23	桜色の図書館	お
0:23	フライム	みりんみりん
0:23	無名	🧂
0:23	卜キサメ	こんばんはー🌸
0:23	あい	こんばんはー！
0:23	とな関	こんばんわー🌸
0:23	びっくす	こんしお
0:24	のくと	こんばんわ
0:24	雨の宿り木	こんばんは🌸
0:24	wessan	こんばんは🌸
0:25	ぜっトンインパルス	待ってた
0:26	なーく	こんばんはぁ🌸
0:26	わんわん	しおしお
0:26	さみゅ	こんばんはー
0:26	ナオ	こんばんは
0:26	いざよいさくや	（こんばんは）
0:26	mischa's Lab.	こんばんは
0:26	あるて	こんばんは〜
0:26	Jジェイ	無音...
0:27	不思議の国の人形	こんばんは​🌸
0:27	グレブナー基底	こんばんはー
0:27	どぎー	こんばんは～🌸
