-0:21	あのにます	しおどんー
-0:20	_ MAKA	伯方の塩塩
-0:19	Celeste_H5	干上がってるよ！
-0:19	バルビン	しおど～ん
-0:19	にとろ	しお？しお？
-0:19	悠々自適	サムネもかわいい
-0:19	天鳳爆発しろ	しおしお
-0:18	はりはり	しおしおしてきたぁぁぁぁあ
-0:17	しまご	しおしおっ
-0:17	玄米茶	しおしおしてきた
-0:17	アリス・バレンタイン	お、来るぞ
-0:16	たいやき	しおしお
-0:16	ちかげみやま	しおしおーっ
-0:15	灯油ゆう太郎	ふざふざしてきた
-0:15	グラコロ	間に合った
-0:14	にとろ	しお！しお！
-0:14	お前ら_	塩分が足りない！
-0:13	クロスティア	しおしお
-0:12	南下	こんにちは
-0:12	pv order	しおっさんすき
-0:12	帝龍姫	しおたんは剣派か
-0:11	Nights -O	こんにちは
-0:11	ns zn	高血圧で死にそう…
-0:11	シロ組ドルフィンズ	はよはよはよはよはよ
-0:10	井上卜口	おやつは妖精の羽たべよう
-0:10	レッドウッドへいぽう	うす塩にしていけ
-0:10	はえよい	しおっ…しおっ…
-0:10	カンザキシン	しおしお
-0:09	藤原忍	骨盤骨盤してきた
-0:09	エスカる	一応間に合った・・・
-0:08	あぎだどら	しおしおしてるポケモンって実写ピカチュウだなって
-0:07	シヴァ村卯月	御三家なに選ぶんやろ
-0:07	- cab	サムネ絵すごく良い
-0:07	ゆっきい	しおしお🌸
-0:07	Vtuberをすこる麦農民さん	しおしお
-0:05	アル	しおしお！
-0:04	大分か春	しおしお
-0:03	ミルクティー.	待機
-0:03	ガリガリマン	しおくれしお
-0:03	。のぎひな	こんにちはー
-0:02	【 叶 】magica〝桜一色〟	⚔
-0:02	ザッハトルテ。	しおしお
-0:01	ゆう	しおしお
-0:01	箒星.ホウキボシ	しおしおしてきた
0:00	はるかな	しおしお？
0:00	rapid eye rabbit	こんにちは
0:00	紫ユウキ	塩丼！！
0:04	ガブガブ	こんにちは
0:04	ふむふむ	しおしお
0:05	秋名	まにあった
0:05	はりはり	くるぞーー
0:08	ケケ	しおしお
0:08	ぐぅたら	しおしおしてきた
0:08	半袖	こんにちは
0:08	よさく	しおしおしてきた
0:10	イベリコ豚丼	サムネいいね
0:10	花吹雪	しおしお
0:11	サカナ	ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!
0:11	嘘800	ういちゃんいつの間にかセミになってて草
0:11	_ MAKA	ふざふざは草
0:11	永月河 eigetugawa	しおしおしてきた
0:11	くめせん	しおしおっ
0:12	にとろ	きたああああああ
0:12	桜色の図書館	最初のポケモンに逆キレしそう…
0:12	辻洋平	剣に塩塗っておいたぜ！
0:12	いざよいさくや	こんにちは
0:12	ユーミン	こんにちは～
0:13	バルビン	こんにちはー楽しみ🌸
0:13	まくらんど	こんにちは！🌸
0:14	いもこどー	しおしお！！
