-1:37:45	バンキッシャーVIII	たのしみ
-1:36:30	おうめ	🌸
-1:12:36	氷水:ひすい	たいき～
-1:11:06	友利匡志	楽しみやな〜
-51:46	Tomoaki Miyazaki	待機
-44:32	いざよいさくや	さてさてどのような戦いになるのか…
-34:42	カンザキシン	待機っと
-31:18	暁宵	楽しみだ～
-19:50	芝村	こんばん待機
-19:02	やまP	待機🌸お邪魔します
-18:22	Makotola	正座待機
-18:12	HAR	お邪魔するます
-17:48	ShingoMk-Ⅱ	待機🌸
-14:02	やまP	比嘉さんがプロでウルトラ立直さんもメカゼットンさんもプロ級に麻雀うまいんですね
-13:18	あめとりん	パンダ 麻雀ロボ 比嘉さん煽る人 FGOやる人
-12:37	21	楽しみです
-11:37	やまP	FGOやる人だけカテゴリーがおかしいｗ
-11:29	Jジェイ	初見です、お邪魔します
-9:59	かえるライダー	待機。今日はよろしくお願いします
-9:20	itc idk	比嘉さんはプロだけどプロ並みにうまいか？🤔
-6:53	やまP	違うの？ウルトラ立直さんは天鳳位、メカゼットンさんは天鳳10段になった事あるって出てきたから...違ってたらゴメン
-4:04	いざよいさくや	FGOやる人草
-3:58	ns zn	天鳳行こうと思ったらもう10分前やんけ
-3:30	ns zn	東ならワンチャン…？
-2:56	レモンP	待機
-2:55	みそおにぎり	こんばんは。栞桜ちゃん効果ですごいいますね・・・どうもメカゼリスナーです
-2:42	テーク	待機
-2:21	ちゃぼうず_cyabouzu	待機～楽しみだ
-2:17	ns zn	わいわい
-2:10	とつげき東北	チラチラ
-2:00	燻しTak庵	お邪魔します🌸
-1:57	ns zn	ざわ…ざわ…
-1:38	ウーパーマン	お邪魔します
-1:36	wanhoho ojisan	こんばんわ～間に合った
-1:25	パイライトテディ	たのしみですね
-1:17	Ganohr C	有名人多いな
-1:16	CEO T	ぃよし!間に合った!
-1:15	ねむむ	初見
-1:14	ミポポ	お邪魔しますー楽しみですね！
-1:13	Orpheus1221	待機
-1:08	ns zn	とつげき東北さんかｗ
-0:58	花吹雪	所見です
-0:56	HAR	東北先生！！
-0:52	揚げ出し豆腐	待機
-0:40	大分か春	待機
-0:38	雨宮恵	待機っ
-0:31	シャルム	待機
-0:22	アステマ	待機、皆さんがんばれー
-0:06	はえよい	こんばんはー
0:11	蓮dr	待機、楽しみー
0:13	朝永空	こんばんわ－
0:15	桜庭葵	ゼットン！
0:15	Jジェイ	お...？
0:16	あまなつみかん	およ
0:17	ns zn	オンしとるぞ
0:17	芝村	こんばんは～！
0:18	kai	こんばんはー
0:19	テーク	こんばんは～！
0:19	ザッハトルテ。	こんばんはー！
0:19	メディカタカタさん北桜神話	こんばんはー
0:19	西都なつ	え？
0:19	桜庭葵	こんばんは
0:19	ナオ	こんばんはー
0:19	そーだ	こんばんはー
0:19	半袖	こんばんは
0:21	ぺんど	はじまった
0:21	やまP	こんばはー、お邪魔します
0:21	HAR	きこえるー！
0:22	トリウナギ	こんばんは～
0:22	みのる	こんばんはー
0:22	にとろ	はじまった
0:24	雨宮恵	はじまった？
0:24	大分か春	こんばんは
0:25	000 Nakato	始まった？
0:25	sa	こんばんはー
0:26	ネムレス	こんばんはーー
0:26	HAR	こんばんはー
0:26	ことこと	こんばんは～
0:26	Badluck-shvine	こんばんはー
0:27	ダンデライオン	こんばんはーはじめまして！初見です
0:27	Jジェイ	こんばんはー...？
0:28	レッドウッドへいぽう	もうはじまってます
0:29	あのにます	こんばんは
0:29	シヴァ村卯月	こんばんわ！！！
0:29	暁宵	こんばんはー
0:29	サカナ	はじまた
0:30	かえるライダー	はやｗｗ
0:30	ぺんど	こんばんはー
0:30	芋下きぬ	フライングだこんばんわ
0:30	花吹雪	こんばんはー聞こえてます
0:30	mukumuku Inu	こんばんわー
0:30	にとろ	聞こえる～
0:31	sa	きこえてます
0:31	月十字	始まってますよ
0:31	わかめ	もう始まってる！？
0:31	〆作	こんばんはー
0:32	セミの抜け殻	こん
0:32	Orpheus1221	音声大丈夫よ
0:33	西都なつ	びっくりした
0:33	ns zn	きこえまーす
0:33	カロヤ.	こんばんはー
0:34	くらつ	聞こえてます
0:34	シャルム	きこえるー
0:34	あまなつみかん	開いた瞬間始まってびっくりした
0:34	ShingoMk-Ⅱ	聞こえます
0:35	Badluck-shvine	聞こえてますー
0:35	ɥʇɹıᙠ	こんばんはー聞こえますよー
0:35	雨宮恵	こんばんはー
0:35	みのる	きこえてます
0:35	朝永空	聞こえますよー
0:35	かえるライダー	は～い
0:35	蓮dr	聴こえますー
0:35	ロザエ	こんばんは！
0:36	借り物の靴	こんばんはー
0:36	燻しTak庵	こんばんはー
0:37	ミポポ	こんばんわー！
0:38	シャルム	こんばんはー
0:38	ネムレス	聞こえてますよー
0:39	いいさん	こんばんは～
0:39	シヴァ村卯月	きこえてます～～
0:39	レプタイル	こんばんはー
0:39	みーや	こんばんは！聞こえてます！
0:39	あまなつみかん	こんばんは
0:41	サカナ	こんばんはー
0:41	SHINJI.K	こんばんは！
0:41	雨の宿り木	聞こえますよー
0:41	あい	こんばんはー！
0:42	KA A	聞こえてますー
0:42	いざよいさくや	こんばんは
0:42	颯斗	こんばんはー！
0:42	揚げ出し豆腐	こんばんはー
0:43	ことこと	聞こえてます
0:43	HAR	歌！？
0:44	フゥ	声聞こえています
0:45	やまP	5分前なんですね
0:47	西都なつ	歌！？
0:47	かme	こんばんわ
0:48	Badluck-shvine	歌振るの草
0:50	sルーク	こんばんは～
0:51	秦霧羽	聞こえてます
0:52	Jジェイ	聞こえてますー
0:53	びっくす	こんばんわ～
0:53	大和カケル	こんばんは～
0:54	ろくじょう	こんばんはー
0:55	とつげき東北	主に聞こえています もう少し全体大きいと嬉しい程度です
0:55	銀河美少年	こんばんは
0:55	琵琶丸	聞こえております。こんばんはー！
0:58	ns zn	調整中
0:59	もるぽん	あ、はじまった！？
0:59	わっさん	誰が誰の声か全く分からないや
1:01	ややけけ	こんばんはこんばんは
1:04	ぐぅたら	こんばんはー
1:05	悪の戦闘員K	お歌だと？
1:06	アリス・バレンタイン	こんばんは
1:07	Westeria	あれ、もう始まってる？
1:08	じゃがまきぃ	こんばんは～
1:08	サナ	はじまってるんですか？
1:08	gaty fs	こんばんは！
1:09	カワラ	こんばんわー
1:12	ヤトリシノ	歌のおにいさんといえばメカゼットン
1:13	リベア	こんばんは
1:15	みーや	テスト配信
1:15	カンザキシン	おばんでーす
1:15	No Name	こんばんは
1:16	〆作	音量調整中か
1:20	オボン	あれ？
1:21	H. K	こんばんわ
1:23	メイダイン	もうはじまってる！！
1:24	しまご	こんばんは！
1:28	あやややや	こんばんはー
1:28	霧雨レイン	待ってよと思ったらもう始まってる！
1:29	ささら	あら
1:33	天鳳爆発しろ	フライング？＿
1:35	黒川ありす	３時間前から待機してました
1:40	ろっきー	こんばんは
1:41	いざよいさくや	テスト中か
1:41	藤原健司	音小さくない？
1:43	カワラ	なるほど
1:45	鶏丸	こんばんは
1:46	琵琶丸	メカゼットンさんが、お歌を歌うとな？
1:48	カワラ	遅刻したのかと思って焦った
1:49	shigure tokiame	こんばんは～
1:50	やまP	こんばんはー
1:50	マグ	こんばんみー
1:51	ns zn	もうちょい上げてもいいっす
1:53	シヴァ村卯月	歌うたってください～
1:54	オボン	こんばんは
1:55	にとろ	こんばんは～
1:55	かえるライダー	こんばんわ～
1:55	ザッハトルテ。	こんばんはー！
1:56	Westeria	こんばんはー
1:56	東京特許許可局勤務の真珠	こんばんは～
1:57	文伽	こんばんは
1:57	ネムレス	こんばんはーー
1:57	順平	こんばんは
1:59	- OG	うおおおおおおおお
1:59	もるぽん	こんばんは～ はじめまして～
1:59	十三	こんばんはー
2:00	天鳳爆発しろ	こんばんわ
2:00	クタビレズク	こんばんは〜お邪魔します〜
2:01	Takebon[たけぼん]	こんばんは！
2:07	Nich	こんばんはー
2:10	銀河美少年	ごちそうさまでした
2:12	カワラ	いいこと言う
2:12	ShingoMk-Ⅱ	こんばんは！
2:14	琵琶丸	ごちそうさまでしたW
2:14	レイザーRR	こんばんは～
2:15	パイライトテディ	こんにちは～
2:16	アイリス	こんばんはー
2:16	ミタケモカ	全体的に音量上げてもらえると助かります。
2:16	エビ天	こんばんはー
2:17	ロザエ	ごちそうさまでした
2:18	西都なつ	こんばんは
2:18	うみとり	こんばんは～
2:19	悪の戦闘員K	お歌は？
2:22	LOG	ごちそうさまでした
2:23	とつげき東北	若干ぶつぶつです
2:24	バルビン	こんばんわー
2:28	オボン	ちらっと栞桜ちゃんいたな
2:30	藤原健司	音量MAXで全く聞こえん
2:31	ミポポ	なるほど！了解ですー
2:31	ねこいゆずりは	こんばんは
2:32	サナ	こんばんは
2:33	琵琶丸	三味線はありやろか
2:35	やまP	了解しました
2:41	銀河美少年	オネシャス
2:51	にとろ	聞こえてるよ
2:52	唐澤清彦	誰が主人公なの?
2:54	鏨:re oo96	ｗ
2:54	天鳳爆発しろ	聞こえます
2:54	ayt sin	こんばんは
2:56	Jジェイ	今は聞こえてますよ
2:59	わっさん	あ、丁度よくなりました
2:59	ミポポ	聞こえてますよー
2:59	琵琶丸	おっきー！
3:00	いざよいさくや	聞えてます
3:00	シヴァ村卯月	こちらはふつうに聞こえてます～
3:01	Takebon[たけぼん]	聞こえてますよ
3:02	ミタケモカ	ありがとーございます！
3:02	りんご田べる	こんばんは
3:03	にとろ	聞こえます
3:03	mukumuku Inu	聞こえてます
3:04	アリス・バレンタイン	聞こえます
3:05	Jジェイ	聞こえてますよ
3:05	あやややや	ひがさん聞こえてる
3:05	yura temu	超えて行け
3:06	レーマリカヒ	反響してるｗ
3:06	生姜	こんばんわー
3:07	あのにます	ちょうどいいぐらいです
3:07	銀河美少年	聞こえます
3:11	あめとりん	おっさんやんけ
3:11	ずん	こんばんは
3:12	ザッハトルテ。	聞こえますよ
3:15	なーく#Nark	聞えておりますー
3:15	元気だしてこ	こんばんは初見です
3:16	黒川ありす	比嘉さんよく聞こえます
3:18	揚げ出し豆腐	聞こえます
3:18	Ganohr C	音量上げすぎでホワイトノイズが入ってますね
3:19	琵琶丸	ちょい大きめでございあｍす
3:26	Westeria	クリック音聞こえるぐらい
3:28	Phosphophyllite	比嘉さん今日はディナー何だったの？
3:28	シヴァ村卯月	やったぜ。
3:29	ありにゃ	こんばんわー
3:29	ムームー	こんばんはー
3:29	ミポポ	ですねぇｗ
3:32	唐澤清彦	既に人が普段の放送の30倍おるな
3:34	なーく#Nark	比嘉さん大きめですねｗ
3:35	Nights -O	こんばんは
3:37	うみにん	こんばんは
3:38	ヤトリシノ	発声優先が板
3:41	8192 ryu	全て麻雀に帰結するの草ｗ
3:41	koai777	ポン！
3:41	mukumuku Inu	麻雀と一緒？？
3:43	yura temu	ｻｰって聞こえる
3:43	Jジェイ	音量大きめの方が比嘉さんですか...？
3:44	いざよいさくや	この先はおま環
3:45	銀河美少年	栞桜ちゃーん
3:46	おこげ	こんばんは～
3:46	友利匡志	始まっとるやんけ！
3:49	芋下きぬ	30倍は草
3:50	鷹綾	こんばんは
3:52	なーく#Nark	麻雀と一緒に食いついたｗ
3:52	琵琶丸	メカゼットンさんと栞桜さんの声が少し小さいようです
3:55	ややけけ	比嘉さんだいぶ大きめですね
3:56	にとろ	麻雀とどう一緒なのかわかりません
4:00	叫び	ラーメンつけ麺
4:03	ゴリラのきゃんの	こんばんはー
4:03	此処葉	こんばんは
4:04	なーく#Nark	比嘉さんがだいぶ大きめですね
4:04	ちんもくバード	欠陥ランダムゴミカスクソゲーやるんですか！？
4:04	みーや	麻雀と一緒とは
4:04	moon type	比嘉さんだけやたらデカい
4:11	ほわちゃん	こんばんはー
4:11	永月河 eigetugawa	比嘉さん大きいっす
4:12	さっつん	こんばんは
4:14	ns zn	そうね
4:17	友利匡志	こんばんは〜
4:17	ネムレス	草
4:19	いざよいさくや	比嘉さん大人しくｗｗ
4:20	やまP	おとなしくさせるｗ
4:22	Westeria	しおちゃーん
4:23	唐澤清彦	比嘉さんわきまえて
4:23	サカナ	大人しくさせるは草
4:24	Jジェイ	栞桜ちゃん聞こえましたー
4:24	あのにます	大丈夫だね
4:24	mischa's Lab.	こんばんはー
4:25	天鳳爆発しろ	栞桜ちゃん大丈夫
4:25	りべ	大人しくさせるか草
4:27	にがうり	大人しくさせる（物理）
4:27	黒川ありす	癒し助かる
4:27	ミポポ	栞桜さんも大丈夫そうですー
4:27	銀河美少年	おとなしくさせるｗ
4:28	けうやぎはすり	おとなしくｗ
4:28	みそおにぎり	こんばんは！この配信にめっちゃ人いるｗ
4:28	琵琶丸	おとなしくｗ
4:29	パイライトテディ	たのしみだ
4:30	ありにゃ	栞桜ちゃん音量おっけ
4:30	なーく#Nark	大人しくさせるｗｗ
4:31	とつげき東北	リロードで直りました だいたいきれいです！
4:31	アイリス	草
4:32	芝村	栞桜ちゃんも大丈夫そうで～す
4:35	シヴァ村卯月	OK!
4:36	ns zn	ジャスト
4:36	yura temu	比嘉さん大人しくなった
4:36	かえるライダー	栞桜ちゃんも大丈夫
4:37	HAR	しおしお聞こえました
4:37	琵琶丸	とっても良いです！
4:37	ゴリラのきゃんの	よさげです
4:37	いざよいさくや	いい感じ
4:38	Orpheus1221	比嘉さんw
4:38	Takebon[たけぼん]	栞桜ちゃん聞こえました
4:39	アリス・バレンタイン	楽しみだなぁ〜
4:40	sa	草
4:40	ネムレス	いい感じですよー
4:40	ザッハトルテ。	大丈夫ですね
4:40	やまぶどう	おとなしく
4:41	hai	扱いが酷いｗ
4:42	さっつん	大人しくｗ
4:42	South C	だいじょうぶそうでーす
4:42	ミタケモカ	スピーカから音出してるの拾ってる感じですかこれ…？
4:43	ɥʇɹıᙠ	自己紹介等は20時からしていただけると思ってよろしいでしょうか？
4:44	なーく#Nark	栞桜ちゃん大きすぎかも？
4:46	moon type	最近比嘉さんFGO課金してる？
4:47	くらのくら	こんばんはー
4:47	〆作	大丈夫そうかな
4:47	slyness	初めまして
4:51	タコ助	大丈夫ですー
4:53	西都なつ	あっ
4:53	木一	こんばんはー
4:55	友利匡志	栞桜ちゃんの声聞こえたよ
4:57	シヴァ村卯月	草
4:58	Jジェイ	比嘉さーんw
5:00	ゆゆゆ	こんばんは〜
5:00	桑原みー	歳がw
5:01	wanhoho ojisan	比嘉プロがんばぇー！
5:01	隼人	よく聞こえます！
5:01	ヤトリシノ	超えていけ
5:06	古鉄	もう始まってたのね
5:07	くろしば	こんばんはー
5:07	タコ助	こんばんばー
5:12	いざよいさくや	40代の落ち着きを取り戻した
5:13	カワラ	反響してると思ったらそういうことか
5:15	芝村	！？
5:17	大豆	とつげき東北がいる？
5:18	にがうり	草
5:18	ガリガリマン	こんばんは
5:18	缶こーひー	こんばんは
5:20	銀河美少年	！？
5:20	グリヴェン	こんばんはー、初見です
5:21	桜宮	始まってた。こんばんは～
5:22	西都なつ	えぇｗ
5:22	ヤトリシノ	配信のプロ
5:23	けうやぎはすり	え
5:23	芋下きぬ	草
5:26	鏨:re oo96	はえー
5:26	なーく#Nark	さーって聞こえてる
5:27	マグ	今から設定ｗ
5:27	ricoma1205	sio chan suki
5:27	はえよい	OBSのプロ
5:28	rapid eye rabbit	こんばんは
5:28	SOS	こんばんは
5:28	琵琶丸	さすが配信者・・・
5:28	木一	！？
5:28	シヴァ村卯月	草
5:29	タニシ11201	こんばんは
5:29	kotodama1987	さすがVtuber
5:29	taka32 S	こんばんは
5:30	いざよいさくや	あーそれでこの音声なんおか
5:30	揚げ出し豆腐	栞桜ちゃん頭に猫乗せてる
5:30	ムームー	それで栞桜ちゃんの声が篭もってるのかｗ
5:31	銀河美少年	はえー
5:31	hai	そんな力技が…
5:32	港区	ずいぶんアナログですね...
5:32	おかしろ	草
5:32	シャルム	草
5:32	木一	はえー
5:33	とつげき東北	どこだとつげき東北
5:33	ゴリラのきゃんの	楠栞桜のOBS講座
5:34	Levith	草
5:34	やまぶどう	草
5:35	Orpheus1221	これは有能
5:35	ns zn	草
5:35	みそおにぎり	配信のプロだｗｗｗ
5:35	グレブナーb	さすが
5:36	カワラ	さすが栞桜ちゃん
5:36	ろっきー	頼もしいなｗ
5:36	テーク	流石栞桜ちゃん
5:36	ぷももみ	草
5:36	オボン	このタイミングで
5:36	マナギ	草
5:36	ɥʇɹıᙠ	えらくアナログですねｗ
5:36	ささら	さすが配信者…
5:36	トリウナギ	ここで教えてもらえるの草
5:37	Westeria	配信直前に教えてもらってるｗｗｗ
5:37	黒川ありす	ｗｗｗ
5:37	パイライトテディ	さすが配信者
5:37	ミポポ	さすがVtuber
5:38	琵琶丸	設定！
5:38	かえるライダー	説明ｗｗｗ
5:39	あやややや	草
5:39	Nights -O	今設定するんかｗ
5:39	Vノ字	しおレクチャー
5:40	あおいみどり	草
5:40	わっさん	今から設定は草
5:41	ちゃぼうず_cyabouzu	レクチャー始まったｗｗ
5:41	いざよいさくや	今からOBS設定ｗｗｗ
5:41	隼人	栞桜さんたよりになる
5:42	タコ助	草
5:42	けうやぎはすり	ここでするのｗｗ
5:42	あのにます	オンラインサポート
5:43	不思議の国の人形	ラジコン配信？
5:43	司令_つかされい	もう流れてるぞ
5:43	銀河美少年	草
5:44	Phosphophyllite	メカゼニキ栞桜ちゃんに教えてもらってるｗ
5:44	鷹綾	草
5:44	じゃがまきぃ	OBS講座はじまってんねえｗｗｗ
5:44	アイリス	音質草
5:44	moon type	介護かな？
5:44	ことこと	さすが配信者ｗ
5:44	おかしろ	OBSの指導中ｗ
5:45	雨宮恵	栞桜ちゃん先生ｗ
5:45	GPE	なんでOBS設定配信してるんやｗｗｗｗｗ
5:45	レイザーRR	流石に練度が違う
5:45	桑原みー	今なおせるかな？
5:45	sora neko	まさかの配信設定
5:45	芋下きぬ	設定配信は笑う
5:45	ヨタ	OBS設定講座始まったｗ
5:45	Ganohr C	OBS講座ｗｗｗ
5:46	Takebon[たけぼん]	さすが栞桜ちゃん
5:50	叫び	配信講座はじまってます？
5:50	8192 ryu	OBS講座もできるのね！
5:51	ロザエ	Vtuberやるやん
5:51	カンザキシン	あれ？内容がｗｗｗ
5:51	唐澤清彦	勉強になるな
5:52	kotodama1987	レクチャー配信ｗｗｗ
5:52	サカナ	配信講座はさすがに草
5:52	北傘	OBS講座始まってて草
5:53	mukumuku Inu	しおちゃんつよいｗ
5:53	古鉄	ものっそいアナログな音の拾い方してたのね
5:53	さっつん	まさかこんなところでOBS講座ｗ
5:55	木一	今説明するのか…ｗ
5:55	東京特許許可局勤務の真珠	流石ですw
5:55	あのんまのん	こんばんは
5:55	レーマリカヒ	草
5:55	ききうん	サポートセンターかな？
5:56	メイダイン	楠栞桜さんのOBS講座
5:56	暁宵	obs講座見に来たんだっけかｗ
5:56	なーく#Nark	さす栞桜ちゃん
5:57	アイリス	頼もしい栞桜ちゃん
5:57	カワラ	OBS講座はじまってるの笑う
5:57	〆作	配信講座はじまったｗ
5:57	ミタケモカ	直前レクチャー草ｗｗ
5:58	ramna	講座が始まっている
5:58	イベリコ豚丼	さすが配信者
5:58	mischa's Lab.	これは笑うｗ
5:58	マイケル	配信のプロ。
5:59	etona	OBS講座は草
5:59	琵琶丸	配信教室はじまった
5:59	yura temu	現場調整感半端ない
6:00	わかめ	楠栞桜のオンラインサポート配信
6:00	あめとりん	パソコンの先生かよ
6:02	銀河美少年	さすしお
6:03	タコ助	OBS講座かな?
6:03	sルーク	さすがバーチャルYoutuber
6:04	かえるライダー	草
6:05	鶏丸	草
6:05	生姜	草
6:05	たいやき	麻雀じゃなかったか
6:06	半袖	ｗｗ
6:06	rapid eye rabbit	なんの配信だｗ
6:07	バンキッシャーVIII	ありがてえ
6:07	テステスト	為になるな
6:08	ゴリラのきゃんの	さすしお
6:08	ムラ	さすしお
6:08	hai	ベテランｗ
6:08	Badluck-shvine	ホントだよｗ
6:08	ずん	草
6:08	カワラ	たすかるたすかる
6:09	氷水:ひすい	もう８時じゃん
6:10	りんご田べる	配信講座始まったな
6:10	ネムレス	配信講座は草
6:10	叫び	配信講座配信か？
6:10	8192 ryu	配信講座助かる
6:12	レーマリカヒ	配信講座は草
6:12	銀河美少年	草
6:13	000 Nakato	OBS講座ありがてぇ
6:13	ザッハトルテ。	配信講座ｗｗ
6:13	シヴァ村卯月	助かる
6:13	ろっきー	講座ｗ
6:13	鏨:re oo96	ありがてぇありがてぇ
6:13	友利匡志	栞桜ちゃん〜！
6:13	ガンちゃん	楠（新人）
6:13	ヨシムネ	配信講座は草
6:14	Fu ki	こんばんはー
6:14	ありにゃ	タイトル変えますか
6:14	いざよいさくや	OBS講座で草
6:15	ミポポ	たすかる
6:15	ns zn	めっちゃうける
6:15	オボン	番組趣旨変わってる
6:20	- OG	台本ka?
6:21	Nights -O	たすかる
6:22	タコ助	麻雀配信じゃなかった
6:22	sa	さすしお
6:23	芋下きぬ	配信初心者かな？
6:23	元気だしてこ	詳しいｗｗ
6:24	ヤトリシノ	健康麻雀の先生VS配信の先生
6:24	ユーミン	こんばんは～
6:25	moon type	メカゼットンさん遅刻で－20ｐです
6:26	御傘哀歌	草
6:27	Maha raja	助かる
6:28	なーく#Nark	あ、だいぶ良くなった？
6:29	shigure tokiame	さすがベテランの新人ｗ
6:31	霧雨レイン	さすが個人勢詳しい。。。
6:31	隼人	草
6:32	唐澤清彦	対局前に完全にマウントとられたな
6:32	ナオ	配信講座ためになりますね
6:32	サンドパン	OBS
6:33	パイライトテディ	いいね
6:34	まるかね	こんばんは〜
