-0:45	あぴと	あー(^p^)つ	￥1,000
-0:45	ナナフシ	おめです	￥1,000
-0:43	KURONEKO NYA	凄いは本当。。。
-0:42	焦がし牛乳	個人勢一位の金額が知りたい
-0:42	捨てふぁに	人生初スパチャ！(笑) 益々のご活躍応援させていただきます！	￥1,000
-0:41	那智優	浪漫ねぇ
-0:38	辻斬りロータ	収益化おめでとう！これからも応援していきます！	￥3,900
-0:35	Orpheus1221	しおしおしてきた
-0:35	帰宅RTA	🎉	￥1,140
-0:34	きなこ	しおしおしてきた！
-0:32	Takebon[たけぼん]	すごいことになってるなｗ
-0:30	井伊直弼	スパチャ凄い
-0:29	夢見るひつじ	収益化とおったんだったおめでとう
-0:28	黒井へちま	収益化おめでとうございます🎉	￥4,040
-0:27	どんぐり1986	めでてぇひだ
-0:27	まりも茶	ウユニ塩湖
-0:24	ヌルカちゃんねる	すごくしおしおしてきてる
-0:24	大銀	しおしおしてきた
-0:24	オボン	はじまる〜
-0:23	ザッハトルテ。	しおしおしてきた
-0:18	rapid eye rabbit	しおしおしてきた
-0:18	お前ら_	しおしおしてきた！
-0:16	豆雪	めでてぇな
-0:14	Fumy H	しおしおしてきた
-0:13	めすけ	しおしお～
-0:12	テーク	しおしお…！
-0:12	雫凪	本当のおまつりが始まるぞ～！
-0:12	趣スケベマン	こんばんは
-0:12	あいりす	これだけで半年は遊んで暮らせそうだな
-0:11	あまなつみかん	しおしお～
-0:10	kotodama1987	スパチャがすごい…
-0:09	ヨルネ	こんばんは
-0:08	ねみみん		￥40,400
-0:05	もいちゃん	てえてえ
-0:03	やまP	しお...しお....
-0:03	こばやし	ナースの子じゃね？個人一位は
-0:03	ユウケン	間に合った！
-0:02	そにも	しおしお
-0:02	くらまと	おめでとうございます！	￥2,000
-0:02	道中	収益化おめでとう！！	￥200
-0:02	榊道昭	しお…しお…
-0:02	ちかげみやま	しおしおっ
-0:01	くろしば	しおしおしてきた
-0:01	ori ori	しおしおー
0:00	みーや	しおしおしてきた
0:00	もいちゃん	すぱちゃすご！！！
0:02	tan ge	こんばんはー
0:04	イベリコ豚丼	おめでとう！！！	￥1,000
0:04	ダンデライオン	始まるー！
0:04	やまぶどう	読み上げは今度にしたほうがいいねこれ。。。笑
0:06	wildcat5314	月末でなければスパチャ出来るのに・・・
0:07	斎藤真方	しお
0:07	なんか青い	しおしお
0:07	Nights -O	しおしお
0:08	隼人	しおー
0:10	カラスは可愛いのですよ?	昨日の配信後のnoteの形式で書かれたら怖いな
0:12	ありにゃ	こんばんわー
0:12	U- G	きちゃ
0:12	山田エミール	しお(∩ˊ꒳ˋ∩)しお
0:12	カンザキシン	こんばんはー
0:13	ハラロボ	収益化したんやな
0:13	なーく#Nark	こんばんはー
0:13	ケムリン	しおしおっ
0:13	シャルム	しお
0:14	西都なつ	来たぁ！
0:14	サカナ	ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!
0:14	お前ら_	こんばんは🌸
0:14	あのんまのん	こんばんはー！
0:14	ほよよ	しおしお～
0:15	氷水:ひすい	こんばんは～🌸
0:15	芝村	こんばんは～！
0:15	郭々	しおしおしてきた
0:15	サカナ	こんばんはー🌸
0:16	ね ゙え ゙え ゙	こんばんは～～
0:16	ミタケモカ	収益化おめでとー！	￥4,040
0:17	バルビン	こんばんはー🌸
0:17	バンキッシャーVIII	しおしお
0:17	ひこたろ	きたー
0:17	花吹雪	こんばんはー🌸
0:17	MON JA	こんばんは!
0:18	ぶたどん	ｷﾀ━(ﾟ∀ﾟ)━
0:18	十三	こんばんはー
0:18	雨の宿り木	こんばんは🌸
0:18	wildcat5314	きた
0:18	燻しTak庵	こんばんはー🌸
0:18	tassy	🌸楽しみ！	￥500
0:18	ムームー	こんばんはー！
0:19	Amelia	きたああああ
0:19	ヨタ	こんばんはー
0:19	_タカヤマ	しおしお！
0:20	taka32 S	こんばんは🌸
0:20	トキサメ	こんばんはー🌸
0:21	〆作	こんばんはー
0:21	メディ	こんばんは！
0:21	辻斬りロータ	しおしおしてきた
0:21	此処葉	こんばんはー🌸
0:21	あい	こんばんはー！
0:21	とな関	こんばんわー🌸
0:22	Gyamo丸	こんばんは🌸
0:22	フゥ	こんばんはー！
0:22	きなこ	こんばんはー🌸
0:22	リベア	満貫放銃喰らえ	￥12,000
0:22	道中	収益化おめでとう！！	￥1,000
0:23	彗星夜	こんばんはー🌸
0:23	CCR	きたーー！
0:23	ひっきー	こんばんはー
0:23	ノカゼ	こんばんはー
0:23	SHINJI.K	こんばんは🌸
0:23	サナ	こんばんは
0:23	あまなつみかん	こんばんは🌸
0:24	21	こんばんは🌸
0:24	トリウナギ	こんばんは～🌸
0:24	さとーりん	収益化おめでとうございます🎉	￥1,000
0:25	ナオ	こんばんはー
0:25	Cloelia	しおしおー	￥1,000
0:25	*らすく*4693	こんばんは
0:25	レッドウッドへいぽう	ｷﾀ――(ﾟ∀ﾟ)――!!
0:25	おかしろ	こんばんわ～🌸
0:26	メイダイン	こんばんはー
0:26	Josh	こんばんはー🌸
0:26	U- G	こんばんはー
0:26	桜葉漬け	こんばんはー🌸
0:26	Tetsu	こんばんはー
0:26	めざ炎	こんばんはー🌸
0:26	じゃがまきぃ	こんばんはー🌸
0:27	zu ki	こんばんは🌸
0:27	おうどん	きちゃああああ
0:27	*ねう*	収益化おめでとう！	￥12,000
0:28	れめれめ	こんばんわー
0:28	SOS	収益化おめでとう！！	￥4,040
0:28	順平	こんばんは🌸
0:28	めたるLv1	収益化おめ
0:28	びっくす	収益化おめでとうございます	￥4,040
0:29	MAXIMUM PRO	ランダムに曲をー♬
0:29	らにふ	こんばんは🌸収益化おめでとう！	￥4,040
0:29	真珠	こんばんは～！🌸
0:30	焼きそば	こんばんは！！！！！！
0:30	ヨウ	こんばんはー
0:30	あおいみどり	こんばんは🌸
0:31	かげ	こんばんは～
0:31	とりあたま	こんばんわ～
0:31	ふぉのん	こんばんは🌸
0:31	タカぴー	こんばんは
0:31	がっち	こんばんは
0:31	かげちよ	こんばんはー🌸
0:31	北傘	こんばんはー
0:32	Et Ranger	こんばんはー🌸
0:32	いいさん	こんばんは～
0:32	はてら	こんばんはー
0:32	なじー	こんばんは～
0:32	らいばぁ#端末	初コメ初スパチャ！収益化おめでとうございますー🎉	￥1,140
0:32	月十字	こんばんは🌸
0:32	さーもばりっく	こんばんはー🌸
0:33	七鳩	きたああああ
0:33	204βわかる	こんばんは
0:33	司令_つかされい	おっ始まったか
0:33	ねりようかん	こんばんはー
0:34	ケムリン	♪♪
0:34	大銀	こんばんはー
0:34	なんごくとうふ	こんばんは
0:34	隼人	きた
0:35	まにく	こんばんはー
0:35	神原カリス	収益化おめでとうございます!
0:36	広輪凪	こんばんわー
0:36	アイリス	こんばんはー
0:36	焦がし牛乳	こんばんはーー
0:36	ささかま。	収益化おめでとう！	￥4,040
0:37	ロザエ	こんばんは～
0:37	ちゃんちゃんしおしお	きたー”
0:37	なっきぃ/Nakky	こんばんはー！
0:37	マロニエ	こんばんは！
0:37	03cco【〇〇っこ】#NCB桜座戦2位	こんばんわー🌸
0:38	SOS	こんばんは
0:38	うどんすきすき	こんばんは
0:38	ケムリン	こんばんはー！
0:38	マナギ	こんばんは🌸　収益化おめでとう！！！	￥1,000
0:38	ふぅこ	こんばんは🌸
0:38	寒冷地仕様の俺	こんばんはー！
0:38	斎藤真方	こんばんはー
0:39	あおばーん	こんばんは
0:40	蓮	こんばんは～
0:40	neji screw	こんばんは🌸
0:40	あまみ	こんばんはー
